,ticker,content
0,ROST,"Top-rated retailer Ross Stores (ROST) as well as IBD 50 names Twitter (TWTR), TAL Education (TAL) and Momo (MOMO), scored new highs Friday. The latter three are well-extended past proper buy points.But Ross Stores is still in buy range from its handle entry at 84.67. Ross flashed a sell signal from a prior 82.91 entry when it fell 7.8% below the buy point. A key IBD sell rule says to always cut losses at 7% or 8% from your purchase price. Sometimes, a loss can be cut sooner than that.Despite a strong move for the stock in the past 10 years, Ross's latest breakout is still early stage, because the stock reset its base count when it made a big consolidation last year. The low undercut the low of the prior base, shaking enough sellers out to reset the base count. The breakout on Nov. 17 was first stage.Bright Horizons Family Solutions (BFAM) also made the new highs list. The stock looks poised for its third straight gain Friday. It cleared a 105.14 buy point Wednesday in higher volume. It's still within the 5% buy zone, although the market faces some risk.As of Thursday's close, the S&P 500 and Nasdaq showed five distribution days each. Meaningful losses for the major stock indexes in higher volume are a sign of institutional selling. The number of distribution days should always be monitored closely when the market is in a confirmed uptrend — like now.The financial sector also delivered some new highs. Small-cap Cadence Bancorp (CADE) popped above a 30.60 buy point Friday. It's plenty liquid with an average daily volume of more than 1 million shares. It also sports a Composite Rating of 95, which points toward plenty of positive traits from a fundamental perspective. Umpqua Holdings (UMPQ) also hit a new high as it tries to clear a flat base with 24.83 buy point.RELATED:Retail And E-Commerce Stocks And Industry NewsBanks And Financial Stocks News And Analysis
"
1,ROST,"Dow Jones futures today rose Friday morning, as did S&P 500 futures and Nasdaq futures. Splunk (SPLK), Veeva Systems (VEEV), Ross Stores (ROST) and Deckers Outdoor (DECK), top stocks that closed Thursday's session in buy range, were active late on earnings reports. Meanwhile, Autodesk (ADSK), near a buy point, also reported earnings.The four stocks in buy range have strong Composite Ratings. Splunk boasts a best-possible 99 Composite Rating, while Veeva Systems has a 97 CR and Ross Stores a 96. Ugg boots maker Deckers Outdoor is at a 91. Meanwhile, Autodesk has a mediocre 60 Composite Rating, but that reflects weak earnings as it transitions to a cloud-based subscription model. The Composite Rating provides an overall score for stocks. All-time stock winners often have a CR of at least 95 near the start of big runs.The Dow Jones, S&P 500 index and Nasdaq composite sold off Thursday morning after President Trump abruptly canceled a June 12 summit with North Korean leader Kim Jong Un. But the major stock market averages pared losses, with the Dow Jones closing down 0.3%, the S&P 500 index 0.2% and the Nasdaq composite fractionally lower.Dow Jones futures today rose 0.2% vs. fair value. S&P 500 futures climbed 0.2%. Nasdaq 100 futures advanced 0.3%. U.S. crude oil futures fell nearly 2%, dropping below $70 a barrel.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseMeanwhile, Foot Locker (FL) skyrocketed early Friday toward a buy point. Foot Locker reported a surprise earnings gain.Splunk earnings and revenue topped views for the first quarter, while the data analytics software firm gave Q2 revenue guidance that's just above the consensus. Shares fell 1.8% to 114.25 before the open on the stock market today. That would still be above a 112.76 buy point.The health sciences software maker comfortably topped earnings views. Veeva raised full-year guidance as well. Veeva stock fell 0.2% to 77 in the premarket. Late Thursday, Veeva signaled it would undercut its 75.67 buy point from a double-bottom base.The off-price apparel retailer topped first-quarter profit and sales estimates. But Ross Stores' earnings guidance was light for Q2 and the full year. Ross Stores had closed up 0.4% to 82.96, just moving back above an 82.91 buy point from a cup-with-handle base. Ross stock was not yet active early Friday but fell 4.8% late to 78.98.Deckers Outdoor topped fiscal Q4 earnings and revenue views, but guidance was mixed. Deckers' fiscal Q1 EPS target is below the consensus. So is the full-year revenue view.Deckers was not yet active in the premarket. Late Thursday, the stock rose 4.4% to 108.25, suggesting that it will open extended from 99.02 flat-base buy point. Deckers had closed at 103.67, near the top of the 5% chase zone.The maker of computer-aided-design software topped adjusted EPS views, with revenue in line. Autodesk's earnings guidance for Q2 is below the analyst consensus. Autodesk stock fell 4.7% to 132.40 in the premarket.YOU MIGHT BE INTERESTED IN:The Big Picture: Stocks Hold Places, But This Sector Outperforms AgainAmong Top FANG Stocks, Here's Why Netflix Has Reached A New Buy PointForget Trump: This Is Why A Cold China Trade War Looms9 Ways To Profit From Trump Canceling Of North Korean Summit
"
2,ROST,"Big-box retailer Target (TGT) missed first-quarter earnings estimates Wednesday as the slow start to spring weather weighed on some sales.XEstimates: Earnings per share of $1.38, up 14%, on revenue of $16.43 billion, up 3%, according to Zacks Investment Research. Same-store sales are expected to notch a 2.8% gain, according to Consensus Metrix.  Results: EPS of $1.32 on sales of $16.56 billion. (Sales missed Thomson Reuters estimates.) Same-store sales rose 3%, with traffic up 3.7%. Digital sales climbed 28% vs. 29% in Q4.Management said that spending on its online efforts as well as price cuts and higher wages also hit margins.Outlook: Q2 EPS of $1.30-$1.50, with the midpoint above consensus views for $1.34, with comparable sales growth accelerating into the low to mid single digit range.""Strong sales growth in our home, essentials and food & beverage categories offset the impact of delayed sales in temperature-sensitive categories, which accelerated rapidly in recent weeks as weather improved across the country,"" said Chairman and CEO Brian Cornell in a statement. ""Additionally, our team is delivering excellent execution and guest service every day, and momentum in our traffic has accelerated in the second quarter.""Stock: Shares tumbled 5.7% to close at 71.17 on the stock market today. They had been working on a 78.80 buy point from a flat base. Rival Walmart (WMT), which reported strong earnings and improved e-commerce growth last week, dipped 0.4% Wednesday.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseTarget's results follow an aggressive effort by the company to move into delivery and pick-up services to better compete with Walmart and Amazon.Over the past year, the company has acquired Shipt, and online delivery service. It has offered a drive-up app service in which items are brought to a customer's car. Target has also bought a transportation tech company to better handle delivery.Other retail stocks, like discounter Ross Stores (ROST), department-store Kohl's (KSS) and Amazon (AMZN), are setting up in bases or in buy range. Ross Stores reports on Thursday.Kohl's, however, crashed on Tuesday after the department-store chain signaled weaker same-store sales in the second quarter. Urban Outfitters (URBN) beat estimates late Tuesday.TJX Cos. (TJX), the parent of T.J. Maxx, jumped Tuesday after the company turned in a strong quarterly report.YOU MIGHT BE INTERESTED IN:Making Money In Stocks: How To Find The Correct Buy PointWhich Stocks Are Showing Rising Relative Strength?Retail And E-Commerce News And Stocks To Watch
"
3,ROST,"A bearish earnings-options trade worked out quite well in the latest week for Toll Brothers (TOL). Meanwhile, a cheap call-option trade for Ross Stores (ROST) turned out to be cheap for a reason. X Investors have several intriguing charts to consider for earnings options trades in the coming week. High-quality names like Salesforce.com (CRM) and Costco[ticker…
"
4,ROST,"Clothing retailer Gap (GPS) reported a steeper-than-expected drop in same-store sales for its namesake stores in the first quarter, while earnings per share also missed estimates.XEstimates: Earnings per share to jump 25% to 45 cents, as revenue grows 4.9% to $3.61 billion, according to Zacks Investment Research. Overall same-store sales are expected to rise 1.5%, according to Consensus Metrix, with namesake comps down 0.4%, Banana Republic down 0.4% and Old Navy up 3.1%.Results: Earnings per share of 42 cents. Net sales of $3.8 billion, up 10%. Same-store sales at Gap Global stores fell 4%, while Banana Republic and Old Navy both gained 3%.The figures for Gap stores slowed the company's overall same-store sales from a year ago. Same-store sales overall rose 1%, compared to a 2% gain last year.The company held to its full-year EPS outlook of $2.55-$2.70, compared to analysts' estimates for $2.61. Gap sees 2018 same-store sales coming in ""flat to up slightly."" The retail chain also held its 2018 capital spending level at $800 million, a move intended to built out its efforts to be a more digitally-oriented retailer.Stock: Shares crashed 7.6% to 30.37 after hours in the stock market today, drifting further from a consolidation with a 35.78 entry.The stock's Relative Strength Rating on Wednesday reached a 81, potentially foreshadowing a bigger rise ahead. The rating measures a stock's price movement compared to others on the big indexes. The higher, the better.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseCEO Art Peck said in a statement that the difficulties at Gap were ""expected.""Like other apparel retailers, Gap has to deal with rivals slashing prices to prop up sales in the nation's increasingly vacant malls. But Telsey Advisory Group, in upgrading Gap last week, said those discounting pressures were already priced into Gap's stock.Off-price apparel chain Ross Stores (ROST), which also reports earnings after the close, cleared an 89.91 buy point of a handle on a cup base on Thursday. Shares tumbled 5.1% late Thursday.Those earnings will follow a week that has been stuffed with earnings from the retail sector, which has shown signs of strength online and improvement in a healthy global economy.Urban Outfitters' (URBN) first-quarter results easily beat estimates this week. The company's same-store sales gain of 10% was the best so far this week, Thomson Reuters said on Wednesday. Shares of the company were unchanged after-hours, after finishing 3.4% higher during the day.Shares of TJX (TJX), the parent of T.J. Maxx, also got a lift after the company's earnings topped views.E-commerce helped Williams-Sonoma (WSM). Luxury international tourism, Thomson Reuters said, helped Tiffany (TIF), and the stock cruised past a buy point after Tiffany reported earnings.However, Kohl's (KSS) sank on its same-store sales outlook. Target (TGT) blamed the weather for weaker sales and said that higher wages, discounts and spending on online efforts cut into margins.YOU MIGHT BE INTERESTED IN:Ralph Lauren Retakes Buy Point, And Then Some, On Surprise Earnings GainThe Basics: How To Analyze A Stock's Cup With HandleMaking Money In Stocks: How To Find The Correct Buy Point
"
5,ROST,"Here's your Investing Action Plan for Thursday: what you need to know as an investor for the coming day. Tech companies Splunk (SPLK) and Veeva Systems (VEEV) report earnings, while 58.com (WUBA), the so-called Craigslist of China, also reports. X Ross Stores (ROST), electronics chain Best Buy (BBY) and Gap (GPS) continue a week heavy with retail results.…
"
6,ROST,"Shares of Target (TGT), Ross Stores (ROST), RH (RH), Kohl's (KSS) and Amazon (AMZN) are nearing entry points Monday, so keep an eye on these retail stocks as they approach or hover around buy territory.Before the open, Kohl's reports, with Wall Street expecting the department store retailer to report a 26% increase in earnings to 49 cents a share on 3% revenue growth to $3.95 billion. The stock is consolidating, with shares climbing toward a 69.58 entry point, and it rose 2.8% to 65.47 on the stock market today.Off-price chain Ross Stores is on tap to report earnings on Thursday, where analysts are expecting 29% earnings growth to $1.06 a share on a 9% sales rise to $8.5 billion. The stock briefly broke out of a cup-with-handle base, clearing an 82.91 entry point, but is struggling to definitively stay in the zone. On Monday, it dipped 0.65% to 81.93.Target has been climbing for 10 consecutive sessions as it builds the right side of a flat base with 78.80 entry point, and climbed 1.2% Monday to 76.87. This months-long base has the stock reaching highs it hasn't seen since late 2016. Consensus is for EPS to grow 14% to $1.38 and for sales to notch a 3% gain to $16.43 billion when the big-box retailer reports Wednesday.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseRH shares are in an area of messy consolidation, with the stock swinging above and below its 50-day moving average. Since late April, the stock has been on an uptrend and gained 1.9% to 103.72 on Monday. Its retail strategy to build out enormous showroom spaces has bucked the trend of creating smaller-format stores and focusing on e-commerce.Amazon shares, on the surface, appear to have formed a cup-with-handle base, edging 0.7% higher to 1,585.46. But that base was not quite seven weeks long, the minimum to be considered a true cup-with-handle base. (Handle-less cup-shaped bases can be six weeks long.) Look for a 1,617.64 entry point on Amazon shares, although investors might want to wait for the stock to clear its post-earnings peak of 1,638.10.YOU MIGHT BE INTERESTED IN: Facebook CEO In Hot Seat Again; TJX, Intuit Earnings: Investing Action PlanBest Buy, Target Lead Retail Earnings; Splunk Tops Tech: Investing Action PlanRoss Stores, Kohl's, Best Buy Headline Busy Week Of Retail EarningsRetail and E-Commerce Stocks And Industry News
"
7,ROST,"Option trading continues to grow in popularity, and bullish call-option buyers have plenty of earnings reports to consider in the coming week. X Option trading will be busy in the retail sector as several top-rated names with healthy charts will release results. On the heels of strong earnings from Macy's (M) in the latest week, department…
"
8,ROST,"Here's your weekly Investing Action Plan: what you need to know as an investor for the coming day. Best Buy (BBY), Target (TGT) and Ross Stores (ROST) will lead another busy week for retail earnings, while Splunk (SPLK), Veeva Systems (VEEV), 58.com (WUBA) and Pure Storage (PSTG) lead tech earnings for the week. Top players in the space industry will…
"
9,ROST,"Retail stocks are a dicey bunch, but several names are moving higher ahead of a week full of key earnings reports, including Target (TGT), Best Buy (BBY), Walmart (WMT), Ross Stores (ROST) and specialty retail ETF Direxion Retail 3x Bull (RETL).Target rose 3.8% to 72.90 on the stock market today, swiftly retaking its 50-day moving average as Baird analysts reiterated their confidence in the big-box chain through an outperform rating and 85 price target. The retailer, which reports Q1 results early on May 23, is building a flat base with a 78.80 entry point.Walmart, having recently nailed down its deal to acquire a 77% stake in India's Flipkart, rose 1.2%, striving to retake its 50-day. The level recently crossed below its longer-term 200-day, and shares haven't come up for air above the 50-day since mid-February. Walmart reports Thursday.Best Buy cleared a 77.60 buy point from the handle of a cup-with-handle base, though in below-average volume. Shares rose 0.6% to 78.26. Shares have been climbing steadily for the last seven weeks or so.Meanwhile, off-price chain Ross Stores briefly surpassed an 82.91 entry Monday as it emerged from a cup-with-handle base. Ross Stores stock closed up 0.9% at 82.66 in slow trade.Both Best Buy and Ross report Q1 earnings next Thursday, May 24.And Direxion Retail 3x Bull hit a two-month high, charging 3.8% higher amid the session's retail rally. The top holdings in this thrice-leveraged retail ETF include Guess (GES), Finish Line (FINL), DSW (DSW), Dick's Sporting Goods (DKS) and other specialty retailers.The moves come as department stores Macy's (M), Nordstrom (JWN) and J.C. Penney (JCP) ready themselves to disclose quarterly results on Thursday and Friday.YOU MIGHT BE INTERESTED IN: The Ink Isn't Dry On Walmart's Flipkart Deal, But An IPO Could Come In Four YearsWalmart, Home Depot, Tencent, Cisco Earnings: Investing Action PlanWalmart Taps Postmates For Grocery Delivery As Amazon Revs Up In Los AngelesIndexes Close Near Highs In Resilient Session; Trump Backs Out Of Iran DealHow To Invest In The Stock Market: Start With A Simple Routine
"
