,ticker,content
0,RTN,"Raytheon (RTN) expects missile defense demand to remain strong, in the Asia region specifically, regardless of what happens in expected U.S.-North Korea talks, as the maker of the Patriot defense system reported strong Q1 earnings.The Trump administration dispatched CIA Director Mike Pompeo to Pyongyang earlier for preliminary discussions, and negotiations between President Trump and Kim Jong-Un may start in the next month or so. Meanwhile, North Korea has already announced it would stop nuclear missile tests.But Raytheon CFO Toby O'Brien told IBD that he sees demand across all regions of the world and doesn't see that slowing down any time soon.Regional customers also continue to modernize their arsenals with increased demand for new capabilities, such as the latest version of the Standard Missile-3 and the Standard Missile-6.The Patriot missile-defense system remained a strong driver of Q1 results. Raytheon's Integrated Defense Systems unit saw sales rise 7% to $1.49 billion, led by an international Patriot contract award. During Q1, the unit booked over $2 billion for Patriot capabilities to the U.S. and its allies.Earnings per share from continuing operations jumped 27% to $2.20, beating Zacks Investment Research estimates by 10 cents. Net sales climbed 4.5% to $6.27 billion, better then views for $6.17 billion.Intelligence, Information and Services revenue grew 5% to $1.58 billion. Missile Systems sales climbed 5% to $1.85 billion, led by higher net sales on classified programs. Space and Airborne Systems sales edged up 1% to $1.57 billion.Missile sales should get a further boost after the State Department cleared the way last month for Saudi Arabia to buy nearly 6,700 Raytheon anti-tank missiles following Crown Prince Mohammed bin Salman's visit to Washington, D.C., as the Trump administration relaxes export restrictions on U.S. weapons.Bookings improved to $6.3 billion from $5.7 billion a year ago. Total backlog at the end of Q1 was $38.14 billion, down from $38.21 billion at the end of 2017 but up from $36.05 billion a year ago. Operating cash flow from continuing operations was $283 million compared to an outflow of $41 million a year ago.Raytheon now sees full-year EPS at $9.70-$9.90, above consensus for $9.69 and up from its prior views of $9.55-$9.75, on net sales of $26.5 billion-$27 billion, vs. consensus for $26.81 billion, up from a prior view of $26.4 billion-$26.9 billion. Management still sees 2018 operating cash flow at $3.6 billion-$4 billion but said it is also tracking above views.""We delivered strong operating performance in the first quarter with our sales, earnings per share and cash flow all ahead of our expectations,"" Chairman and CEO Thomas Kennedy said in a statement.Shares were down 1.2% at 211.09 on the stock market today, slipping into sell territory intraday after breaking out last week. Defense stocks were slammed this week after Lockheed Martin (LMT) didn't raise its cash flow guidance after raising the outlook on EPS, revenue and other key financial figures amid a steep increase in Pentagon spending.Get Free Access To IBD Digital Through April 29
"
1,RTN,"Get premium stock lists, pass or fail stock ratings and more. Start HereIn addition to missile defense, hypersonic capabilities are another emerging priority for the U.S. and its adversaries, and the Pentagon awarded Lockheed a hypersonic strike weapon contract earlier this month as Russia and China push the race to develop the disruptive technology.While Raytheon was passed over for that contract, O'Brien said the company is continuing to develop a number of hypersonic programs, from an air-breathing engine to hypersonic weapon countermeasures, while demand for traditional munitions will remain.""When you look to the future of missiles you're going to see some form of hypersonics,"" he said. ""Not going to get rid of conventional missile technology. There is going to be a time and place for both.""Raytheon's results also follow U.S.-led air strikes in Syria earlier this month that involved the company's Tomahawk cruise missiles.But Russia claimed this week that it took possession of an unexploded Tomahawk and will use it to improve its own weapons, according to the TASS government run news agency. U.S. officials have refuted those claims, according to a CNBC report.O'Brien said in an interview that he heard of the report but referred comment to the Pentagon.On Wednesday, Northrop Grumman (NOC) reported Q1 earnings and revenue above Wall Street estimates, but kept cash flow and sales guidance flat. General Dynamics (GD) beat on earnings and met revenue views when it announced results Wednesday.YOU MIGHT BE INTERESTED IN: Hypersonic Weapons: The Biggest Warfighting Disrupter Since Stealth Is ComingBoeing Nearly Done With China Plant, Brushes Off Trade-War FearsDefense And Aerospace Stocks To Watch And Industry News
"
2,RTN,"Raytheon (RTN) had its Relative Strength (RS) Rating upgraded from 70 to 74 Thursday -- a welcome improvement, but still below the 80 or higher score you prefer to see. X This exclusive rating from Investor's Business Daily tracks share price performance with a 1 (worst) to 99 (best) score. The score shows how a stock's price performance over the trailing 52 weeks compares to all the other stocks in our database. Over 100 years of market history shows that the top-performing stocks tend to have an 80 or higher RS Rating as they begin their biggest price moves. See if Raytheon can continue to show renewed price strength and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HereRaytheon broke out earlier, but has fallen back below the prior 190.35 entry from a flat base. If a stock you're watching climbs above a buy point then retreats 7% or more below the original entry price, it's considered a failed base. It's best to wait for the stock to form a new consolidation and breakout. Also understand that the most recent pattern is a later-stage base, and such bases are more prone to failure. The company posted 7% earnings growth in its most recent report. Sales rose 4%. Raytheon earns the No. 18 rank among its peers in the Aerospace/Defense industry group. Teledyne Technologies (TDY), Mercury Systems (MRCY) and Curtiss-Wright (CW) are among the top 5 highly rated stocks within the group.RELATED:Defense And Aerospace Stocks To Watch And Industry NewsStocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,RTN,"Here's your Investing Action Plan for Friday: what you need to know as an investor for the coming day. X Boeing (BA), a key contributor to the Dow Jones industrial average's record scramble to 26,000, is down Thursday but has seemingly defied gravity in recent months. Other aerospace-defense stocks, such as Lockheed Martin (LMT), Northrop Grumman (NOC)…
"
4,RTN,"UBS raised profit estimates for Boeing (BA) and other aerospace/defense giants like Lockheed Martin (LMT), United Technologies (UTX) and Raytheon (RTN) Thursday after lawmakers slashed the corporate tax rate.X In a note, analyst Darryl Genovesi said that tax reform will lower Boeing's effective tax rate to 18% from 28% and boosted his 2018 EPS estimate to $13.50 from $11.20, noting that production-rate increases on the 737 and 787 will also help. UBS raised Boeing's price target to 325 from 253 but kept its neutral rating on the stock.Shares of Boeing, which is scheduled to report fourth-quarter results Jan. 31, closed up 2.45% at 328.12 on the stock market today and have marched more than 10% higher in five days of consecutive gains.IBD'S TAKE: Read IBD's The Big Picture column each day to stay on top of the market direction, a key indicator that lets you know when you can be aggressive and when you should move to the sidelines.Here are other estimates on earnings and the tax rates upon which they're based:Shares of Lockheed finished essentially flat at 331.13, United Tech edged up 0.1% to 134.99, Raytheon dipped 0.1% to 193.35, and GD rose 0.4% to 205.51.YOU MIGHT BE INTERESTED IN:These Numbers Show How Much China, Asia Mean To BoeingDefense And Aerospace Stocks To Watch And Industry News
"
5,RTN,"Key market index funds reversed higher Wednesday as FANG stocks boosted the tech-heavy Nasdaq 100 and corresponding QQQs.X PowerShares QQQ Trust (QQQ) led with a  0.8% gain, SPDR S&P 500 (SPY) added 0.4% and SPDR Dow Jones Industrial Average (DIA) ticked up 0.2%. Emerging markets outperformed: iShares MSCI Emerging Markets (EEM) rose 1.2%.Rising FANG stocks helped boost QQQ. Facebook (FB) leapt 2.3%, Amazon (AMZN) 1.6%, Netflix (NFLX) 2.4% and Alphabet (GOOGL) 1.4%. QQQ regained its 50-day line in its fourth consecutive up session. In a confirmed market uptrend, that would mark a potential buy opportunity. However, all purchases are riskier in the current market environment.Gold miners soared. VanEck Vectors Gold Miners (GDX) and VanEck Vectors Junior Gold Miners (GDXJ) vaulted nearly 4% each. Both ETFs reclaimed their 50-day moving average lines as they extended their advance for a third straight session. Biotech, banks and semiconductors were also among top sector fund gainers in the stock market today.Bitcoin finally got back above the $9,000 barrier. It rallied 8% to $9,226.99, according to CoinDesk. Bitcoin Investment Trust (GBTC) gapped up and rose 8%. It had slumped to its 200-day line before finding support there last week.Real estate, utilities and energy plays lagged.A defense play topped by jet maker Boeing (BA) is successfully defending its gains thus far at its 50-day moving average.After a sharp drop in the Feb. 5 market sell-off, iShares U.S. Aerospace (ITA) has found support at and is rising off the 50-day line. In a confirmed market uptrend, the rebound would mark a new buy opportunity. But the recent market volatility increases the risk for all stock and ETF purchases.ITA gained 14% from an early-December bounce off the 50-day to its Feb. 1 intraday high. It was featured in the ETF Leaders column on Feb. 8.The $5.5 billion fund, which tracks the Dow Jones U.S. Select Aerospace & Defense Index, will mark its 12th anniversary in May. Its top five holdings — Boeing, United Technologies (UTX), Lockheed Martin (LMT), Raytheon (RTN) and Northrop Grumman (NOC) — made up 41% of assets as of Feb. 12.Top name Boeing, which accounted for 12% of the portfolio, has been a highflier. Despite a market-tumble-related dip, the jet maker's shares are up 16% this year. The stock marked record highs early this month and held above its 50-day line during last week's market rout. Boeing's relative strength line is also near all-time highs; the stock boasts a 97 Relative Price Strength Rating.IBD'S TAKE: Don't try to guess where the market is headed next. Read The Big Picture every day to understand the action of the major averages and leading stocks.Most of the fund's other top five holdings are also outperforming the broader market. Raytheon and Northrop Grumman were up 12% each through Tuesday's close and Lockheed Martin was up 9%. Their relative strength lines are also healthy, at or near new highs. The S&P 500 was flat.The ETF has returned 3.1% year-to-date as of Feb. 12, according to Morningstar Direct. Its average annual returns of 18.5%, 23.7% and 13.5% over the past three, five and 10 years, respectively, outpace the S&P 500's 10.5%, 14.1% and 9.3% gains over the same periods. ITA bears a 0.44% expense ratio.Tuesday's pick, iShares North American Tech-Software (IGV), extended its move above the 50-day line, which it regained Monday.RELATED:Apple Helps Dow Go Positive; Do You Know How To Handle Bitcoin?Boeing's Cash Flow Could Jump 35%; Lockheed Cash Boom Also Seen2 Defense ETFs Near Buy Points As U.S. Faces North Korea Threat
"
6,RTN,"If your ETF tumbled in the market sell-off, consider it a good sign if it's bouncing off the 50-day moving average.X That's what iShares U.S. Aerospace & Defense (ITA) is trying to do, after it came 10.6% off its Feb. 1 peak. Shares are near the 50-day line. If it bounces back above the line, it would give the ETF a follow-on entry. But bear in mind that the stock market is on shakier ground, and buying any stock or ETF is riskier right now.The fund's so-far bullish reaction mirrors that found in the charts of its major components. Boeing (BA) is near new highs after making a second pullback to the 10-week moving average, a cousin of the 50-day average plotted on weekly IBD Charts.The company — the largest iShares U.S. Aerospace holding, accounting for more than 12% of  its portfolio — is seeing strong demand for its commercial jets, despite stiff competition from Airbus (EADSY). Reports say Boeing will form a joint venture with Embraer (ERJ) on the Brazilian company's regional jets.United Technologies (UTX) (8% of the portfolio) briefly erased a 13% gain from its 123.38 buy point before it bounced back temporarily. Lockheed Martin (LMT) (nearly 8%), Raytheon (RTN) (6.5%) and Northrop Grumman (NOC) (about 6%) have risen from pullbacks to the 50-day line.While the commercial plane business is helping mainly Boeing and its suppliers, the defense side of the ETF is witnessing its own boom. The Pentagon's National Defense Strategy published last month shows a shift from anti-insurgency warfare to fighting traditional foes such as Russia and China.""With the heightened focus on near-peer adversaries, such as China and Russia, we believe support for increased defense spending, and more importantly some of the specific areas of focus, will remain high,"" analysts at Canaccord Genuity noted in a Jan. 22 report.In the Defense Department paper, nuclear forces, cyberspace warfare, missile defense and command and control systems were some of the areas where modernization is planned, and where major defense contractors could play significant roles.Aerovironment (AVAV), Kratos Defense & Security (KTOS) and Cubic (CUB) are smaller holdings of iShares U.S. Defense that Canaccord says have high percentages of their business in defense. The fund has 40 total holdings.Defense spending rarely goes out of fashion, and the fund has a good long-term track record. As of year-end, its three-year average annual total return is 19.2%, the five year return is 23.9% and the 10-year is 12.1%, according to the iShares website.RELATED:Boeing's Cash Flow Could Jump 35%; Lockheed Cash Boom Also SeenLockheed Martin, Raytheon Missile Defense System Fails Test Over Hawaii2 Defense ETFs Near Buy Points As U.S. Faces North Korea ThreatBoeing, Embraer Will Reportedly Form Commercial Jet Joint Venture  
"
7,RTN,"Here's your weekly Investing Action Plan: what you need to know as an investor for the coming week. How much will earnings even matter to stocks if markets are still seized by terror next week and locked in sell mode? Estimate-beating numbers may produce a one-day lift, but it's anyone's guess what will happen after that. If the bears stay…
"
8,RTN,"Here's your weekly Investing Action Plan: what you need to know as an investor for the coming week. X Earnings season grinds along with results due out from Tesla (TSLA), Nvidia (NVDA), Grubhub (GRUB), Disney (DIS) and Match Group (MTCH). More social media companies, restaurants, cybersecurity firms and chip-sector companies will report as well. Meanwhile, the…
"
9,RTN,"Lockheed Martin (LMT), Raytheon (RTN) and other defense stocks rallied as President Trump's plan to leave the Iran nuclear deal turned up the heat on already-rising tensions in the Middle East.XIran blasted Trump's decision, though President Hassan Rouhani also said Tehran will remain in the nuclear deal without the U.S.Syrian state-run media reported Tuesday afternoon that Israel allegedly fired missiles on Iran-linked sites near Damascus, adding to the uncertainty in the region.And Saudi Arabia said Wednesday that its air defenses shot down two more ballistic missiles over Riyadh that were fired by Houthi rebels in Yemen.""If we go back a couple of weeks they were underperforming,"" said Jeff Windau, senior equity analyst at Edward Jones, told IBD after Trump's announcement. ""This probably swings the pendulum in the other direction. There are more concerns of something escalating over there in the next several months as the sanctions start to get implemented.""If talks to keep the nuclear deal alive fail by year's end, and the U.S. reimposes the sanctions that were in place before the deal, then the situation grows more ominous, warned Bob McNally, president of the Rapidan Group energy consulting firm.""The next scenario is that Iran walks away from the deal, and that risks a military conflict,"" he said in an interview Tuesday.Lockheed shares rose 0.6% on the stock market today, after closing up 2% Tuesday. Northrop Grumman (NOC) dipped 0.5% but after rallying 3.8% Tuesday. Raytheon climbed 0.9% after finishing 2.6% higher Tuesday. General Dynamics (GD) added 0.7% to yesterday's 1.6% rally.Boeing (BA) rebounded Wednesday despite Treasury Secretary Mnuchin announcing that the aerospace giant's license to sell nearly $20 billion in jets to Iran would be revoked.Iran Air had ordered 50 737 MAX 8 jets, 15 777-300ER jets and 777-9X jets and Iran Aseman Airlines signed an agreement for 30 737 MAX planes.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseBut Boeing didn't have any Iranian deliveries scheduled this year as uncertainty on the license loomed.""I can tell you with confidence that we've continued to build risk mitigation into our 777 production plan,"" CEO Dennis Muilenburg said during the company's first-quarter conference call last month. "" The plan that we outlined for you, the production rate that we've put in place is not dependent on the Iranian orders. If those orders do come to fruition, if we do ultimately deliver airplanes, those represent opportunities for us.""And analysts don't expect the Iran order cancellations to affect Boeing in the long run.""They hadn't been doing business with Iran for a long time,"" Windau said. ""There was some opportunity for incremental growth but if that doesn't materialize it won't impact the overall health of business and growth in the long term.""But Boeing's European rival Airbus (EADSY) rushed more eagerly into Iran, adding 98 jets onto its order books and delivering three jets to Iran.While European countries are staying in the deal, Airbus will likely have to pull out of the contract as it needed a U.S. license for the deal since over 10% of parts and labor were provided by U.S. companies.Boeing shares rose 1.8% after dipping 0.6% Tuesday. Airbus' U.S.-listed stock fell 0.9%.YOU MIGHT BE INTERESTED IN:Defense And Aerospace Stocks To Watch And Industry NewsLooking For The Best Stocks To Buy And Watch? Start Here
"
