,ticker,content
0,SRCL,"General Electric (GE) helped pace outperformance by blue chip stocks as the Dow Jones industrial average gained more than 1% at one point, but then cut the gains to around 0.6% in late-afternoon trading on Thursday.X GE, up 1.1%, does not have the same impact on the Dow as it once did. At 14.70, even a future 1 point rally, equivalent to a gain of more than 6%, would not significantly hoist the Dow industrial higher by much.The Nasdaq composite lagged, losing early gains to fall 0.1%, as names such as digital TV hardware play Roku (ROKU), LendingTree (TREE) and waste control products play Stericycle (SRCL) all fell sharply, weighing on the tech-centered index.The S&P 500 was up 0.1%. At 2731, the large-cap gauge is trying to rally back above its 50-day moving average after a follow-through took place on Feb. 14. A follow-through is a bullish signal that confirms a new tradable market rally could be underway.The Innovator IBD 50 (FFTY) exchange-traded fund slumped nearly 0.7% lower. At 33, the collection of top-flight growth stocks is trading fractionally lower since Jan. 1. FFTY gained 37% in 2017.Winners led losers on the NYSE at one point by a comfortable 9-5 margin. On the Nasdaq, rising stocks virtually matched falling ones in number. But the Nasdaq is still the market leader since Jan. 1, up nearly 4.8% while the Dow industrials trail with a gain of less than 0.5%.At least six of the 30 components in the price-weighted Dow Jones industrials rose 2 points or more, including United Technologies (UTX). The industrial and manufacturing play burst back above the 10-week moving average near 132 in bullish fashion as shares rose more than 3% to 133.47 in volume running more than 50% above its 50-day average.United Tech, which makes aircraft engines, elevators and security systems, has been showing steady single-digit top and bottom line growth in most of the past seven quarters. But in 2018 and 2019, the Street expects earnings to accelerate, rising 6% to $7.05 a share this year and up 11% the next.United has risen 8% since rallying out of a five-month cup with handle at 123.38 in mid-December. At one point, before the intermediate-level correction flattened the market, United was up as much as 12.8%.Sign Up For Free IBD Newsletters: Market Prep | Tech ReportReturning to GE, one of the positive developments for the former market leader is the fact that Wall Street is encouraged by major reform plans by the new CEO John Flannery. Proof? The 2019 consensus earnings estimate has been revised higher, now seen at $1.06 a share, up 10% vs. an expected profit of 96 cents this year.This means GE is trading less than 14 times expected 2018 earnings; the Boston-based company recently slashed is quarterly cash dividend by half.  So with a 12-cent dividend per share, the annualized yield comes out to 3.3%, which hardly puts a dent into capital losses caused by the stock's 16.6% slide year to date.The S&P 500 trades roughly 20 times trailing 12-month earnings and shows an annualized dividend yield of 1.8%. (You can track the yield of the S&P 500 at the top of the General Market Indicators page, a PDF link at the bottom of the daily IBD Big Picture column.)The challenge, however, for GE, will be to find new avenues to boost the top line. Healthy sales, delivered by innovative new products and new markets, are the mother of strong earnings.GE is certainly in danger of falling out of the Dow due to its sharply hammered stock price. The stock is more than 52% below its 52-week high and trading well below the 50- and 200-day moving averages, a clear sign of weakness.Former Dow Jones industrial stocks such as Alcoa (AA), which has been split into two public companies including Arconic (ARNC), suffered such a fate in late 2013.At the time, the aluminum giant traded well below 10 a share. Computer and printer titan HP Inc. (HPQ), formerly Hewlett-Packard, and Bank of America (BAC) also departed the blue-chip Dow due to miserable stock performance.On IBD Stock Checkup,Elsewhere, the Dow Jones utility average rebounded 0.9%. But at 671, the interest rate-sensitive index is still down 7.3% since Jan. 1.The yield on the benchmark U.S. Treasury 10-year bond eased to 2.92%, signifying some bargain-hunting among fund managers, even as the U.S. dollar fell against both the euro and the yen. West Texas Intermediate crude oil prices rallied 1.6% to $62.66 a barrel.(Please follow Saito-Chung on Twitter at @IBD_DChung for more commentary on breakouts, top stocks, major indexes and financial markets.)RELATED:Where Is The Stock Market Headed? Read This Column Every DayThe Follow-Through Day Works: How It Sparked A Market Rally In December 1903When Did The Stock Market Follow-Through Take Place? What Should You Do Next?
"
1,SRCL,"Stocks took an early dive Thursday, after a volatile session in Japan rippled through to global markets.XThe Dow Jones industrial average opened down 0.4%, with Intel (INTC) and Caterpillar (CAT) posting the heaviest early losses. The S&P 500 slumped 0.5% and the Nasdaq Composite tumbled 0.8%, with Stericycle (SRCL) and Ebay (EBAY) weighing on both indexes.In Japan, Tokyo's market flashed a possible warning signal, rising nearly 2% in morning trade, then crashing to a 1.7% loss before paring losses to 0.2% at the close. The Nikkei 225 had gained in 23 of 25 prior sessions and broke above the 23,000 level for the first time in 25 years just before the reversal.China's markets notched a positive session, with the Shanghai Composite up 0.4% Thursday and carrying a 1.7% gain so far for the week. Hong Kong's Hang Seng Index added 0.8%, up 1.9% for the week.Europe's markets traded sharply lower, as volatility in Tokyo compounded uncertainty tied to Brexit negotiations and U.S. political tax plans, topped off by corporate earnings. Frankfurt's DAX was down more than 1.1% in afternoon trade. The CAC-40 in Paris fell 0.9% and London's FTSE 100 dropped 0.5%.Intel took the Dow's hardest early hit, down 1.1%, possibly due to news late Wednesday that Qualcomm (QCOM), which received an unsolicited $130 billion takeover bid this week from Broadcom (AVGO), was launching a chip aimed at competing with Intel in the market for server processing in cloud computing and data processing applications. Qualcomm shares traded down 1.1% at the open.Boeing (BA) rose 0.2%, buoyed by news of a $37 billion agreement to provide 300 single- and twin-aisle aircraft to China Aviation Suppliers, signed as part of President Trump's trade mission to Asia.On the Nasdaq 100 and S&P 500, beaten down shares of Stericycle pared losses to 8% in premarket trade, after the company's earnings and revenue missed analysts' third-quarter targets.Monster Beverage shed prem,arket losses and rose  0.6% at the starting bell.  Its third-quarter earnings met, and revenue slightly topped, consensus expectations. Gross margins decreased to 62.6% during the quarter, down from 63.8% a year ago. The move left the stock in a buy range above a 57.35 buy point in a flat base.Apple (AAPL) dropped 0.3% and all four FANG stocks traded lower ahead of the open. Netflix (NFLX) fell hardest, down 1.6%, possibly in response to Roku's third-quarter results.New issue Roku (ROKU) soared 38% in opening trade after a healthy first-time report as a publicly traded company. The gain left shares 14% below their September high, and 91% above their Sept. 28 IPO price.Generic drug maker Perrigo (PRGO) pounded out an early 12% advance. The Allegan, Mich.-based company reported a big beat on its third-quarter earnings line and its first earnings gain in seven quarters. Revenue slipped 2%, less than expected. The gain put shares in a buy range above two buy points: an early, alternative flat base entry at 89.29, and the base's standard buy point at 89.97.IBD 50 stock Alarm.com (ALRM) tumbled 15%, despite reporting a strong third-quarter performance and raised fourth-quarter revenue guidance. The loss sent shares diving below their 10-week moving average, and erased most of the stock's gain since clearing a flat base in August.Israel-based SolarEdge Technologies (SEDG) shot 14% higher out of the starting gate as third-quarter earnings and revenue, and fourth-quarter revenue guidance, topped analysts' views.  The stock is now up 29% since breaking out from a cup base in September.Sage Therapeutics (SAGE) scorched ahead 47% after announcing its post-partum depression treatment  brexanolone showed positive results in two late-stage clinical trials. The gap up gain sent shares to a new high, putting them in a buy range above a cup base buy point at 90.90.In economic news, first-time unemployment claims rose to 239,000 in the week ended Nov. 4, the Labor Department estimated. That was up from 229,000 claims in the prior week and above economist projections for 232,000 new applications.September wholesale inventories numbers from the Commerce Department are expected at 10 a.m. ET.RELATED:Nvidia Leads These 4 Top Earnings Reports Thursday: Investing Action Plan The Big Picture: Does This Gauge Point To Excessive Optimism? 
"
2,SRCL,"Stocks launched higher at the starting bell Friday, boosted by a positive July payrolls report and earnings news that stirred a swarm of early stock moves.XThe Dow Jones industrial average jetted 0.2% higher at the open, looking to add a ninth day to the index's rally and turn the 22,000 mark into a level of support. JP Morgan (JPM) and Microsoft (MSFT) led the index in early trade.The S&P 500 also added 0.2%, and the Nasdaq Composite struggled just below that level, with Viacom (VIAB) and Stericycle (SRCL) weighing heavy on early trade.The Labor Department's July payrolls report showed jobs growth at 209,000 for the month, down from 231,000 new hires in June, but holding well above consensus expectations for a slump to 178,000 added employees. The closely watched unemployment rate ticked lower, to 4.3% from 4.4%, in line with expectations. Manufacturing payrolls swelled by 16,000, far above estimates for a 3,000-job increase.The Commerce Department reported the trade deficit tightened in June to $43.6 billion, down May's $46.4 billion gap and below consensus views for a narrowing to $44.4 billion.Baker Hughes (BHGE) delivers its weekly rig count report at 1 p.m. ET.On the Dow, JPMorgan vaulted to the front of the index with a 1.2% gain. Walt Disney (DIS) took the Dow's hardest opening hit, down more than 1%.
"
3,SRCL,"Apple rose 0.5%, and the four FANG stocks all traded higher. Facebook (FB) and Google parent Alphabet (GOOGL) ran at the head of the class, each with 0.6% gains.On the earnings front, GoPro (GPRO) spiked 17% in opening action. The action camera maker turned in a hefty second-quarter beat and an increase in third-quarter revenue guidance after Thursday's close. Longbow Research upgraded GoPro to neutral from underperform Friday. The move returned shares to well above their 40-week moving average for the first time since November, starting the right side of a 10-month consolidation.Yelp (YELP) screamed 26% higher after topping analysts' second-quarter expectations, meeting views for third-quarter guidance, and agreeing to sell its Eat24 business to Grubhub (GRUB). The stock also returned to support above its 40-week moving average, breaking out past a double-bottom buy point of 36.35.Weight Watchers (WTW) packed on a 22% premarket gain after its second-quarter sales and earnings trounced analyst estimates. The gap up gain left shares extended above the stock's first rebound from support at its 10-week moving average since clearing a seven-week cup base in April.IBD 50 stock Arista Networks (ANET) powered up 21% on a powerful second-quarter performance and third-quarter guidance. Arista's move cleared two alternate flat-base buy points at 159.10 and 163.07. The gap up move created an extended buying range opportunity, ranging to 175.98.Early stock moves were even more enthusiastic to the downside.Applied OptoElectronics (AAOI) cratered 28%, despite a hefty second-quarter earnings beat. Chipmaker Impinj (PI) swooned 20%. Natural Grocers Vitamin Cottage (NGVC) toppled 23%.MercadoLibre (MELI) dropped 9% after reporting mixed second-quarter results. The loss sent shares below their 10-week moving average in heavy trade, marking a sell signal.RELATED: Do Diverging Stock Indexes Signal Trouble? Grubhub, Yelp Join Forces As Earnings Reports Beat ViewsApplied Optoelectronics Plunges On Weak Guidance; Opticals HitThe Big Number For Stocks In Friday's Jobs Report Isn't JobsAcacia Communications September Quarter Guidance Light, Stock SlipsHere's Why Optical Stocks Are Selling Off Today 
"
4,SRCL,"Stocks traded lower soon after Friday's opening bell, with earnings reports and disappointing second-quarter GDP estimates factoring into early trade.The Dow industrials fell 0.4% while the S&P 500 and Nasdaq dropped 0.2%.The economy grew 1.2% in the second quarter, according to an initial GDP estimate from the Commerce Department, effectively level with the first quarter's 1.1% gain and far below expectations for a 2.6% increase. Prices, on the other hand, jumped more than expected -- up 2.2% vs. a  0.4% increase in the first quarter and above views for a 1.8% gain.Labor costs were in line with expectations, with the Labor Department's Employment Cost Index up 0.6% during the second quarter.An update on July Midwest manufacturing from Kingsbury International's Chicago Purchasing Managers' Index is up next at 9:45 a.m. ET, followed by the University of Michigan's July Consumer Sentiment Index at 10 a.m.San Francisco Federal Reserve Bank President John Williams speaks at 9:30 a.m. ET.  Dallas Fed President Robert Kaplan speaks at 1 p.m.Techs were on the move ahead of Friday's open, with Alphabet (GOOGL) and Amazon.com (AMZN) pacing the pack after strong quarterly reports late Thursday.Google parent Alphabet rose 3.7% in morning trade as its second-quarter earnings bounced back from a first-quarter miss, topping analysts' expectations.Amazon climbed less than 1% after handily clearing analysts' second-quarter targets and giving generally healthy guidance, but gains were moderated somewhat by weaker-than-expected third-quarter operating income guidance. One of IBD's Leaderboard stocks, Amazon ended Thursday's session just off its July 12 high and extended after a June rebound from its 10-week moving average.IBD 50 stock Gigamon (GIMO) swung up 4% after a nice beat on its Q2 results. The network security firm's stock is extended above a 34.24 cup-with-handle buy point.Beyond tech stocks, Rubbermaid products maker Newell Brands (NWL) climbed 7% on stronger-than-forecast second-quarter earnings and revenue. The report marked Newell's first quarter since its $15.4 billion acquisition of Jarden in April.Stamps.com (STMP) was an early winner, but reversed to trade down nearly 8%.Railcar manufacturing and leasing operation Trinity Industries (TRN) surged 6.5% after its quarterly results.On the downside, Expedia (EXPE) dropped 3% after a mixed second-quarter report. Expedia is considering spinning off its majority stake in Trivago, a unit that brought in $201 million in second-quarter sales, up 41% vs. the year-earlier period.Wynn Resorts (WYNN) dived 7.5%, despite stronger-than-forecast Q2 revenue and earnings. The company said it had received far fewer table permits than requested for its new $4.2 billion casino in Macau, China.Other earnings-related losses included a 18% plunge for Stericycle (SRCL), Western Digital (WDC) falling 9%, and Baidu (BIDU) down 5%.Oil prices were under some early pressure, with West Texas Intermediate down a fraction and near $41 a barrel, and Brent crude off more than 1% and just above $42. Gold ticked up 1% to above $1,344 an ounce. The dollar moved broadly lower, and the 10-year Treasury yield reversed, slipping 2 basis points to 1.49%.In the other global markets, China's leading indexes slipped on Friday, while Tokyo's Nikkei 225 bumped up 0.6% after the Bank of Japan voted for a mild increase in its monetary stimulus measures. Europe's markets were mixed, with up and down gaps widening in afternoon trade.As the stock market heads into the final trading session of July, tech stocks and small caps have been the month's clear leaders. The Nasdaq climbed 6.5% for the month through Thursday, giving the index a 2.9% year-to-date gain. The S&P 500's July gain was 3.4% through Thursday, its fifth straight monthly advance, putting it 6.2% above its Dec. 31 close.Blue chips lagged the market, with the Dow industrials up 2.9%. Among the small-cap gauges, the Russell 2000 showed a 5.7% gain through Thursday and the S&P Smallcap 600 advanced 4.9%, rising to new highs mid-month, then holding its ground.
"
5,SRCL,"Stocks backed out of mixed trade into increasing losses early Friday, as weak economic news and earnings reports placed pressure on the morning's trade.The Dow and the S&P 500 dropped 0.5% apiece, while the Nasdaq slipped 0.6%. Small caps fell at a slightly faster pace, with the Russell 2000 showing a 0.8% decline.  Volume rose in the stock market today, gaining 3% on the NYSE and 7% on the Nasdaq, vs. trade at the same time Thursday.Economic news opened with below-forecast growth in personal spending and prices for March, although personal income outpaced projections. Midwest manufacturing slowed, with Kingsbury International reporting its April Chicago purchasing managers index at 50.4 for the month, down from 53.6 in March and far weaker than the 53.4 tally expected by analysts.Consumer views also dimmed in April, according to the University of Michigan, which put its Consumer Sentiment Index at 89 for the month — below March's 89.7 and disappointing forecasts for an increase to 90.4.More than 25 of the 30 Dow stocks moved lower at the open. Cisco Systems (CSCO) and Intel (INTC) were the only two to drop more than 1%. Exxon Mobil (XOM) led, rising 1% after reporting mixed first quarter results.Tech stocks soaring after quarterly reports were the market's focal point in early trade: Amazon.com (AMZN) soared 10%, Expedia (EXPE) leapt 9% and LinkedIn (LNKD) advanced 6%.Get detailed chart analysis on Amazon.com by subscribing to IBD's Leaderboard feature. Oil and energy stocks were pounding out strong gains, holding many of the top slots in the S&P 500, as oil prices advanced almost 1% ahead of the weekly rig count report from Baker Hughes (BHI), due out at 1 p.m.ET.But earnings news also energized broader segments of the market.Housewares leader Newell Brands (NWL) gapped up to a 7% gain after its first quarter revenue and earnings topped projections, and management lifted its Q2 guidance above consensus views. The heavy volume gain hoisted shares above a 45.67 buy point in a first stage cup-with-handle base.Among pharmaceutical stocks, Ireland's Shire (SHPG) popped 4% in powerful volume after a a strong Q1 report. The stock is working on its sixth straight weekly advance. Gilead Sciences (GILD) dived 5% as both its earnings and revenue missed first quarter expectations.  The loss put shares down nearly 10% for the week, killing an attempt to build the right side of a six-month consolidation.Medical waste collection specialist Stericycle (SRCL) crumbled to a 20% loss. As an analyst downgrade followed Thursday's Q1 earnings miss. The loss set the stock back to 2013 levels.Hard drive makers Western Digital (WDC) and Seagate Technologies (STX) posted deep declines after reporting their fiscal Q3 results.Seagate unraveled 15% as earnings fell far short of consensus projections and revenue just met previously lowered guidance. S&P Global maintained its hold rating on the stock and lowered its price target to 29, from 31.Western dropped 10% as both earnings and revenue stopped short of analyst projections. Robert W. Baird downgraded the stock to neutral from outperform and lowered its price target to 50, from 55.Among IBD 50 stocks, nearly all of the list moved lower at the start of trade.  Stamps.com (STMP) was among the few exceptions, rising 2% in strong trade, taking back a small piece of Thursday's 12% tumble.On the downside, Ellie Mae (ELLI) pared an initial 12% dive to 8% ,after what appeared to be a solid Q1 report. Earnings and revenue topped analyst consensus views. Management gave an upbeat view of company performance and outlook, and raised guidance above projections.  Stephens & Co. downgraded the stock to equal weight, from overweight, following the report. The loss put Ellie's shares below their 50-day moving average in very heavy trade. 
"
6,SRCL,"Tech stocks led a broad early rally Friday, as earnings surprises and foreign stimulus news buoyed global markets. The Nasdaq bolted ahead 2%. The S&P 500 climbed 1.1%. The Dow Jones industrial average lagged with a 0.8% gain.
"
7,SRCL,"Volume was mixed, rising 32% on the Nasdaq and dipping a fraction lower on the NYSE, in relation to trade at the same time Thursday.
"
8,SRCL,"While much of the week has been focused on company news and quarterly reports, the stock market today tapped into a wide range of influences.
"
9,SRCL,"The European Central Bank's news Thursday that it would consider additional stimulus measures in December launched a rally on global markets. China's central bank trimmed interest rates and announced a swathe of banking policy changes. U.S. markets received a psychological lift as both the Nasdaq and the S&P 500 punched decisively through resistance at their respective 200-day moving averages.
"
