,ticker,content
0,STX,"Here is your Investing Action Plan for Friday: What you need to know as an investor for the coming day. Beer giant Constellation Brands (STZ) reports quarterly earnings with the stock near a buy point. Meanwhile, the Fed's favorite inflation gauge will highlight the May personal income and spending report. X Constellation Brands The largest beer…
"
1,STX,"Seagate Technology (STX) reported quarterly earnings before the market open Tuesday that beat estimates but the stock fell on cautious comments about tariffs.XThe disk-drive manufacturer reported revenue of $2.8 billion, beating analyst predictions for $2.7 billion and up 5% from the year-ago quarter. Seagate also said adjusted earnings were $1.46 per share, up 33% and beating estimates of $1.31 for its fiscal third quarter ended March 30.The stock dropped 6.4% to close at 54.21 on the stock market today. Shares are up about 38% this year.Seagate and Western Digital (WDC) are the two largest providers of disk drives. Western Digital also does a big business in computer memory chips. Western Digital reported quarterly earnings last week that beat on the top and bottom lines.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseDuring the conference call with analysts, Seagate's Chief Financial Officer David Morton, expressed caution on the topic of tariffs.""In the area of tax and trade the U. S. and China have recently announced potential trade actions that could increase tariffs on some products imported into the U.S.,"" Morton said, as reported by MarketWatch. ""Given the fluid nature of the issue it is too speculative to determine any impact or changes for Seagate's operations. However, we continue to monitor the situation.""Seagate said cash and cash equivalents totaled approximately $2.9 billion at the end of the quarter.YOU MIGHT ALSO BE INTERESTED IN:Trump Punts Again On Steel Tariffs As China Draws LineData Storage Key Link In Emerging Data-Centered Computing Cycle
"
2,STX,"The U.S.-China trade war started with the Trump administration accusing China of unfair practices related to the forced transfer of American technology and intellectual property. But U.S. tech companies are seeing little impact so far from the trade dispute as the U.S. on Friday imposed the first round of tariffs on Chinese goods.The U.S. is imposing an additional duty of 25% on about $34 billion worth of Chinese imports covering 818 products. The list does not include products commonly purchased by U.S. consumers such as mobile phones or televisions. It targets mostly products that are part of the ""Made in China 2025"" industrial policy. That policy includes industries such as aerospace, robotics, industrial machinery, new materials, and automobiles.The list of Chinese products impacted includes engines, motors, generators, furnaces, pumps, compressors, machine tools, and manufacturing, construction and agricultural equipment. It also includes aircraft and aircraft parts, cars, trucks, oil and gas drilling gear, television cameras and broadcast gear.China retaliated on Friday with 25% tariffs on imports of U.S. products, mostly agricultural goods. The impacted U.S. goods include grains, corn, soybeans, meat, fish, dairy, nuts, fruits and vegetables, alcohol and tobacco. China's levies also cover U.S.-made autos.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe U.S. is planning a second wave of tariffs covering 284 Chinese goods worth about $16 billion, but does not have an implementation date yet.""While tariffs on both sides should have limited direct head wind to IT (information technology) hardware and semiconductor companies, there are a few ways for U.S.-China trade wars to impact companies,"" RBC Capital Markets analyst Amit Daryanani said in a report Friday.For instance, companies that procure components and materials from China could see an uptick in their costs, he said.U.S. technology companies also could be subject to retaliatory actions by the Chinese government, Daryanani said. Memory-chip maker Micron Technology (MU) losing a patent infringement case in a Chinese court this week could be a result of the trade disputes, he said. Micron stock was up fractionally 53.23 at the close.Also, China has held up chipmaker Qualcomm's (QCOM) acquisition of NXP Semiconductors (NXPI). That deal has been ""in limbo 17 months and counting,"" Daryanani said. Shares of both were up fractionally in afternoon trades Friday.While the first wave of Chinese products subject to U.S. import tariffs includes computer hard disk drives, U.S. data storage systems vendors Seagate Technology (STX) and Western Digital (WDC) should see minimal impact, he said.The impact will be ""manageable and transitory"" given that Seagate and Western Digital also have factories outside of China, he said. Seagate stock was off 2 cents to 58.59 while Western added 0.6% to end the regular trading session at 77.93.If the trade conflict lingers, though, it could impact the U.S. tech industry in other ways. President Donald Trump has threatened to block Chinese investment in U.S. companies.That could cut off investment capital being used to fund such things as electric and self-driving vehicles. U.S. firms like Tesla (TSLA) could be impacted. Tesla stock slipped marginally to close at 308.90.RELATED:Trump Tariffs Go Live; Still One Chance To Avert Brutal China Trade WarMicron Says China Injunction Will Impact Only 1% Of RevenueChina Approves Marvell Acquisition Of Cavium As Chip Stocks StruggleWhat's Next In Trump's China Trade War? Watch ZTE
"
3,STX,"Stocks angled sharply lower at Friday's open, as a mixed April payrolls report and another a wave of earnings news defined early trade.The Dow Jones industrial average shed 0.6%, and the S&P 500 carved a 0.5% loss. Apple (AAPL) held the high ground on the Dow, as nearly all of the 30 Dow stocks traded lower. Intel (INTC) and Caterpillar (CAT) led the declines. Energy construction leader Flour (FLR) dragged on the S&P 500 with an early 20% dive.The Nasdaq Composite held to a 0.1% decline, buoyed by Apple and big cap biotech Celgene (CELG).Hiring in April missed expectations, but that was offset by the unemployment rate falling more than expected and a slightly better-than-expected read on inflation.Nonfarm employers added 164,000 new workers in April, the Labor Department reported, well below expectations for 191,000 added workers. The report also boosted the department's March estimate to 132,000 new workers, up from an original estimate of 103,000 new hires.The unemployment rate fell to a better-than-expected 3.9% — its lowest level since 2000. Average hourly earnings rose 2.6%, below the 2.7% consensus target, a signal that inflation remains within the anticipated range.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseOn Thursday, the leading indexes largely maintained their stance for the week. The Dow heads into Friday's open down 1.6% for the week. The S&P 500 is 1.6% lower, while the Nasdaq held to a 0.5% decline. The Dow and S&P 500 are feeling their way along their 200-day moving averages. The Nasdaq has stuck close to its 50-day line, despite rising institutional selling, or distribution, through the past week.China's stock markets were active as the country wrapped up two days of trade talks with a team of U.S. negotiators led by Treasury Secretary Steven Mnuchin. The talks were the first sit-down meeting between the two countries since the Trump administration intensified efforts to reframe the U.S.-China trade relationship. U.S. negotiators presented a list of requirements, including that China trim $200 billion from its U.S. trade imbalance. U.S. officials did not comment on results of the talks. A statement released Friday by China's official Xinhua News Agency said the discussions were  ""frank, efficient and constructive.""Hong Kong's Hang Seng dropped 1.3% Friday, ending the week down 1.2%. In Japan, Tokyo's Nikkei 225 shed 0.2%, leaving it with a fractional gain in its sixth-straight weekly advance.In Europe, Frankfurt's DAX and London's FTSE 100 defended their gains after the release of U.S. jobs data. The CAC-40 in Paris posted a narrow decline. All three indexes are tracking toward gains for the week. The DAX leads, up 1.3% from last Friday's close.On the Dow, Apple maintained its early lead, up more than 1%. Apple retook both its 50-day line and 200-day line of support this week, after reporting fiscal second-quarter results Tuesday. A number of the stock's technical indicators are lagging, but it is sitting atop a four-day advance, and below a 179.04 buy point in a double-bottom base.On the earnings front, streaming audio pioneer Pandora (P) bolted 16% higher, while auto components maker American Axle (AXL) spiked 5%.Weight Watchers (WTW) launched 8%  higher in opening trade, after reporting a sharp acceleration in first-quarter revenue and profit growth. Weight Watchers is forming a cup base with a 77.29 buy point.Boise Cascade (BCC) scrambled up 7% after first-quarter revenue eked past consensus estimates, but earnings were nearly double what analysts expected. Shares are up 10% from an early April low and moving up the right side of a three-month cup base.On the IBD 50 list, Stamps.com (STMP) popped 5% higher. The postage and postal service innovator rang up a 39% gain in earnings per share for its first quarter, far above expectations. Revenue growth of 27% also cleared analyst targets by a wide margin, and the company boosted its full-year earnings guidance to well above consensus forecasts. Shares are extended above a 215.86 buy point.Alibaba Group Holding (BABA) slipped 1.4%, after fiscal fourth-quarter profit and revenue outpaced analyst projections. Cloud-computing revenue surged 103%, while digital media and entertainment revenue rose 36%. Alibaba's retail marketplaces saw an increase of 37 million mobile monthly-active-users, to 617 million, during the quarter. The IBD 50 stock has climbed for six straight sessions, building the right side of a possible double-bottom base.IBD 50 peer Arista Networks (ANET) plunged 11.7% lower, despite outpacing analysts' first-quarter estimates. But the network gear and software developer's sales guidance just met consensus views, disappointing investors. The stock is up 91% over the past 12 months, but has been struggling to hold support at its 10-week moving average as it forms a late-stage base.Cybersecurity IPO Carbon Black is set to launch its initial offering. The issue priced at 19 a share late Thursday, placing its valuation at $1.27 billion.RELATED:The Big Picture: Stock Indexes Reverse Higher Despite Muddy MarketKeep Track of The Market TrendSix Stocks Added To Stock Spotlight, Including Adobe and Mastercard Arista Revenue Outlook In Line, Stock Falls; Is Cisco Gaining? Alibaba, Carbon Black IPO, Jobs Report: Investing Action Plan    
"
4,STX,"Western Digital (WDC) stock broke out to a multi-year high Wednesday as a confluence of recent events appears to have emboldened Wall Street, which has given the disk-drive maker a slew of price-target increases in recent days and weeks.X The largest manufacturer of disk drives and a leading provider of flash-memory chips, Western Digital shares are up for the fifth straight day, and its stock was up 1.6% to close at 95.27 on the stock market today. Helping its cause, Western Digital has reported five quarters in a row of double or triple-digit earnings growth, and recently settled a spat with Japan's Toshiba over the sale of a flash memory business.Among those singing the company's praises has been Mizuho Securities analyst Vijay Rikesh. Rikesh in early February raised his price target on Western Digital to 110 from 105, with a buy rating. He noted that major users of memory have reported earnings, and a drop in iPhone projected sales has helped sales of so-called NAND flash memory, which Western Digital markets.Rikesh said that ""NAND pricing has held steady, pointing to strong fundamentals for (Western Digital) combined with, as we noted prior, a constructive settlement with Toshiba.""Christian Schwab, an analyst at Craig Hallum, on Tuesday raised his price target on Western Digital to 120 from 110. He maintained a buy rating, citing lowered interest expense at Western Digital and improved capital structure. The company recently restructured its debt to more favorable terms.Late last month, Stifel analyst Kevin Cassidy resumed coverage on Western Digital with a buy rating and a price target of 105. Cassidy is optimistic about Western Digital's disk drive business and the recent joint venture agreement with Toshiba, which ended a lengthy battle over a previous joint venture. Cassidy also resumed coverage of Seagate Technology (STX) with a hold rating and price target of 49. Seagate is the main competitor to Western Digital in the disk drive market. Shares of Seagate Technology were up 0.1% to 56.30.IBD'S TAKE: Shares of Western Digital broke out of a three-and-a-half-month base in strong volume, with a buy point of 93.41. The stock on Wednesday hit a level not seen since May 2015. The company holds a strong IBD Composite Rating of 95 out of a possible 99.Western Digital reported fiscal second-quarter results on Jan. 25 that matched the consensus revenue forecast and showed a solid beat on the bottom line. Western Digital reported revenue of $5.3 billion, up 9% from the year-ago quarter for its fiscal second quarter ended Dec. 29. The company posted adjusted earnings of $3.95 per share, beating the consensus estimate by 16 cents.Western Digital raised its financial outlook in mid-December after settling a lengthy legal battle with Japanese conglomerate Toshiba that removed a major overhang regarding access to advanced memory chips.UBS analyst Munjal Shah on Tuesday assumed coverage on Western Digital with a neutral rating and a price target of 90, saying an expected decline in flash-memory chip prices in the second half of this year represents an overhang for the shares.YOU MAY ALSO LIKE:Western Digital Announces 'Breakthrough' In Disk-Drive StorageChip Stocks Fall As Morgan Stanley Expects Memory Prices To DropSeagate Stock Soars On Report Of Investment In Ripple CryptocurrencySeagate Technology Quarterly Results Top Expectations
"
5,STX,"Snoop Dogg, Sir Patrick Stewart and a large British tobacco company: all vaguely in the same news story, thanks to an investment deal announced late Wednesday that an analyst called Big Tobacco's ""most significant"" attempt yet to gain exposure to the marijuana industry.Imperial Brands Ventures, a subsidiary of U.K. tobacco giant Imperial Brands (IMBBY), and Snoop Dogg's venture capital firm, Casa Verde Capital, said they are investing in Oxford Cannabinoid Technologies, a British medical marijuana research firm backed by Stewart of ""Star Trek"" and ""X-Men"" fame.The decision by Imperial, whose cigarette brands include Winston and Kool, comes roughly a year after the company appointed the chairman of a medical cannabis company to its board. It also comes amid flagging demand for cigarettes, and on the heels of the FDA's approval this week of Epidiolex, a cannabis-based drug from GW Pharmaceuticals (GWPH).""We are pleased to be partnering with OCT,"" Matthew Phillips, Imperial Brands' chief development officer, said in a statement on Wednesday.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""Cannabinoid products have significant potential and our investment enables Imperial to support OCT's important research while building a deeper understanding of the medical cannabis market,"" he continued.Earlier this year, an Imperial spokesman told IBD that the tobacco company was ""tracking developments in what is a fast-growing (cannabis) segment.""Oxford said in Wednesday's statement that it had secured investments from Imperial Brands Ventures and Casa Verde and others as part of a Series A funding round. Oxford will use the funds to set up a strategic research partnership and a laboratory in Europe.The company, founded in 2017, intends to fund research surrounding cannabinoids in academic institutions internationally.""With indications ranging from pain and inflammation to cancer and neurological disorders, OCT has commissioned research in many critical areas,"" the statement said.Cowen analyst Vivien Azer, in a research note on Thursday, said Imperial's investment was ""the most significant move among the global tobacco players in the cannabis industry to date. We continue to expect to see more activity in cannabis from both global tobacco and global alcohol.""Last year, Imperial appointed Simon Langelier, the chairman of PharmaCielo, a Canadian medical cannabis company, to its board. The spokesman for Imperial told IBD this year that the company appointed Langelier largely due to his three-decade stint at Philip Morris International. However, the spokesman added that Langelier's cannabis background was not ""irrelevant,"" either.Some analysts believe that the quickly growing — and destigmatizing — marijuana industry presents more of an opportunity for tobacco firms than alcohol.""Vaping is one of the fastest-growing segments in both nicotine and cannabis,"" Azer said in 2016. ""Upon federal legalization, Big Tobacco could leverage its expertise to explore the legal cannabis market through vapor.""Still, tobacco stocks like Altria Group (MO) and British American Tobacco (BTI) crashed two months ago after Philip Morris International (PMI) turned in weak first-quarter sales and weaker-than-expected demand for so-called ""reduced-risk"" devices.Turning Point Brands (TPB), which owns rolling-paper-maker Zig-Zag, has expressed excitement about pot legalization in Canada and the cannabis industry broadly. Philip Morris International planned to invest around $20 million in an Israeli company that makes a cannabis inhaler, according to reports in 2016.Imperial Brands rose 2.8% in over-the-counter U.S. trading. Altria was up 2.3% in the stock market today.British American Tobacco rallied 3.15%. Philip Morris gained 2.2%. Turning Point Brands ticked up 0.9%.Cronos Group (CRON) stock advanced 3.9%. Fellow Canadian marijuana producer Canopy Growth (CGC) rebounded nearly 11%. Canopy Growth reported earnings earlier this week. Corona beer maker Constellation Brands (STX), which bought a stake in Canopy last year, reports earnings Friday morning.YOU MIGHT BE INTERESTED IN:Will Marijuana Industry Overtake Beer As Legalization Spurs Innovation?Here's How Enormous Pot Sales Could Get With LegalizationMedMen Eyes Marijuana Delivery, U.S. Expansion As Sales Jump 760%Marijuana Sales Trends: How Customers, Products, Habits Are ChangingMarijuana Stocks To Buy And Watch
"
6,STX,"On Wednesday, Seagate Technology (STX) reached a key performance benchmark, seeing its Relative Strength (RS) Rating jump into the 90-plus percentile with an improvement to 91, up from 87 the day before. X IBD's unique RS Rating measures market leadership by using a 1 (worst) to 99 (best) score that shows how a stock's price performance over the last 52 weeks matches up against other publicly traded companies. Decades of market research reveals that the market's biggest winners typically have an 80 or better RS Rating as they launch their biggest climbs.Looking For Winning Stocks? Try This Simple RoutineSeagate Technology is now considered extended and out of buy range after clearing a 51.06 buy point in a first-stage cup without handle. See if the stock forms a new pattern or follow-on buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week line. Although earnings and sales growth came in at -3% and -6%, respectively, in the latest report, that showed improvement for both earnings-per-share and sales. Seagate Technology is expected to release its next quarterly numbers on or around Jan. 24.The company earns the No. 8 rank among its peers in the Computer Software-Storage industry group.  (SGH), NetApp (NTAP) and Micron Technology (MU) are among the top 5 highly rated stocks within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
7,STX,"Some of the best software stocks were the hardest hit Thursday as sellers finally came into the Nasdaq composite after four straight gains. The Dow Jones industrial average ended higher, helped by solid performances from McDonald's (MCD), Chevron (CVX) and Procter & Gamble (PG).The Nasdaq lost 0.7%, but selling was more subdued in the S&P 500. The benchmark index eased 0.1%, while the Dow gained 0.4%. Preliminary data showed volume on the NYSE and Nasdaq coming in higher than Wednesday.Big decliners in the Nasdaq 100 included chip-equipment firms Lam Research (LRCX) and Applied Materials (AMAT). Adobe Systems (ADBE) also took hit, along with disk driver makers Western Digital (WDC) and Seagate (STX). Losses ranged from 2.5% to 6%.IBD's enterprise software group slumped 2.8%. Inside the IBD 50, some of the best software stocks like ServiceNow (NOW), Paycom (PAYC) and Atlassian (TEAM) fell sharply. Losses ranged from 5% to 6%.In stock market results today, oil and gas-related groups outperformed as oil prices firmed up. Drillers and exploration and production firms led the way. In the drilling group, Transocean (RIG) jumped 4% to 13.48. A breakout over a 12.50 buy point still looks pretty good. Carrizo Oil & Gas (CRZO), meanwhile, added nearly 8% to 26.67. It's back above a 25.20 buy point.U.S. crude oil futures for July delivery settled at $65.95 a barrel, up 1.9%.Other gainers included Leaderboard name Five Below (FIVE). Shares surged 22% on strong earnings. Wall Street liked the look of an earnings and sales beat as well as bullish sales guidance.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseElsewhere, new issue Zscaler (ZS) jumped past an alternate entry of 34.93, ending at 37.79, up 23%. A 30.20 buy point in a double bottom also could be seen on the chart. The security software name isn't profitable yet shows big sales growth in recent quarters.But earnings enthusiasm was short-lived in fellow security software name Okta (OKTA). Shares reversed sharply lower after hitting an intraday high of 61, up nearly 13%. Shares closed at 50.88, down 6%.You May Also Like:McDonald's Plans More Corporate Job Cuts Amid Tech Push: ReportIBD Stock Of The Day: Look For This Tasty Signal From GrubhubAs Retail Stocks Boom, Will These Be Next?  
"
8,STX,"Capital spending on building up cloud computing picked up in early 2018 led by Amazon.com (AMZN), Microsoft (MSFT) and Alphabet's (GOOGL) Google, as well as Facebook (FB) and Baidu (BIDU), a report released Tuesday said.That spending on the cloud's infrastructure also could boost providers of data center technology, says the report from Morgan Stanley.""The largest contributors to overall 2018 year-over-year growth continue to be Google, Facebook, Amazon and Microsoft,"" the report said.The increased spending on internet data centers and other cloud infrastructure signals strong demand for technology suppliers such as Arista Networks (ANET), Seagate Technology (STX), Micron Technology (MU), Nvidia (NVDA) and Broadcom (AVGO), says the report.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseArista Networks makes high-speed computer network switches while Seagate sells data storage systems. Nvidia and Broadcom make chips built into computer servers and networking gear while Micron produces computer memory devices.So-called ""hyperscale"" data centers are packed with high-performing servers, communications and data-storage infrastructure.""We see hyperscale data center investment inflecting above our prior expectations,"" said the Morgan Stanley report.Amazon Web Services, the cloud computing business of the e-commerce giants, continues to rent more data center space from the likes of Digital Realty (DLR), says the report.Facebook is likely to spend $14 billion to $15 billion in 2018 on data centers, servers, network infrastructure and office facilities, Morgan Stanley says.YOU MAY ALSO BE INTERESTED IN:Cloud Computing: Find Top Cloud Stocks And Track Industry TrendsTV Industry Tests Limits Of Consumer DemandAmazon Yanks Own Digital Advertising On Google As Rivalry GrowsSell And Take Profits Or Hold? Here Are Several Guidelines To FollowChart-Reading Basics: How A Buy Point Marks A Time Of Real Opportunity
"
9,STX,"One important metric to look for in a stock is an 80 or higher Relative Strength Rating. Seagate Technology (STX) just hit that mark, with a jump from 70 to 82 Tuesday. X This proprietary rating measures technical performance by using a 1 (worst) to 99 (best) score that indicates how a stock's price performance over the trailing 52 weeks matches up against the rest of the market. History reveals that the market's biggest winners often have an 80 or higher RS Rating as they begin their biggest price moves.Looking For The Best Stocks To Buy And Watch? Start HereSeagate Technology is working on a cup without handle with a 51.06 entry. See if it can break out in heavy volume. Although earnings and sales growth came in at -3% and -6%, respectively, in the latest report, that showed improvement for both the top and bottom lines. The company is expected to release its next quarterly numbers on or around Jan. 24.Seagate Technology holds the No. 9 rank among its peers in the Computer Software-Storage industry group.  (SGH), Micron Technology (MU) and NetApp (NTAP) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Improved Technical Action?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
