,ticker,content
0,TAP,"Beer giant Molson Coors (TAP) is reportedly considering whether to offer marijuana-infused drinks via a partnership with a Canadian marijuana producer. An analyst said such a move would give Molson ""meaningful exposure"" to the North American cannabis market and some of the biggest marijuana stocks.A cannabis push could echo attempts by rival Constellation Brands (STZ) to head off the plant's perceived threat to alcohol sales. And it could accelerate the race of U.S. companies into Canada — and Canadian companies into the U.S. — following a vote in Canada last week to legalize recreational marijuana.Molson Coors has held talks with companies as Aurora Cannabis and Aphria, according to BNN Bloomberg. The brewer has been exploring whether to ""invest in (the companies) and collaborate on future cannabis-infused beverages,"" the report said. Molson has been in talks with the those companies and others over the past six months, the report said.A Molson spokesman, when reached for comment, said ""we don't comment on rumor or market speculation."" Aurora Cannabis was not immediately available for comment.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseLast year, Molson Coors CEO Mark Hunter said the company had a team to gauge the ""potential impacts and/or the opportunities"" of the marijuana industry. Molson this spring told IBD that it was ""working actively"" to understand cannabis' potential impacts on its business, and would ""take our time and get it right.""A few weeks ago, at the company's Investor Day, Hunter said ""we have assembled a team in Canada to actively explore the risks and opportunities of entering the cannabis space in that market, where it will be federally legal by this fall.""Prime Minister Justin Trudeau said that recreational legalization will take hold on Oct. 17. Legalization of edibles and other ingestibles — which have grown in popularity — will come later.U.S.-traded marijuana stocks, like Canopy Growth (CGC) and Cronos Group (CRON), jumped after Canadian lawmakers approved the legislation, but then sold off Friday.Marijuana stocks retreated on Monday. Canopy Growth, which began trading in the U.S. in late May, sank 5.1% in the stock market today. Cronos stock, which began trading in the U.S. in February, slid 4.7%. But it's still above its 50-day line. ETFMG Alternative Harvest (MJ), an exchange-traded fund with exposure to the marijuana industry, retreated 2.8%, piercing its 200-day line.Cowen analyst Vivien Azer, in a research note on Friday, said any Molson Coors move into the cannabis industry by Molson would likely resemble the one Constellation made with Canopy Growth last year.In that deal, Constellation Brands took a 9.9% stake in Canopy to help ""identify, meet and stay ahead of evolving consumer trends and market dynamics."" The companies also agreed to share ""knowledge and expertise."" Constellation aims to collaborate with Canopy on cannabis-infused drinks.Andy Thomas, the CEO of Craft Brew Alliance (BREW), whose brands include Red Hook, told IBD this spring he would consider making or selling cannabis drinks if pot were federally legalized.On Friday, Constellation Brands, which sells Corona Beer as well as other alcoholic beverages, reports quarterly earnings.Constellation Brands stock fell 1.5% Monday. Molson Coors stock rose 1.1%.Azer said the report from Bloomberg was not a surprise. She said that Molson Coors ""has meaningful exposure to the North American cannabis market (as the No. 2 participant in beer in both Canada and the U.S.).""She also said that a potential partnership with Aurora or Aphria ""makes sense to us as they are two of the more sizable competitors in the market."" She said that the news of Molson Coors indicates that ""a stake could be announced by the end of the year.""YOU MIGHT BE INTERESTED IN:Marijuana Stocks To Buy And WatchMarijuana Stocks: High Times Buys Rival Publications Ahead Of IPOMedMen Eyes Marijuana Delivery, U.S. Expansion As Sales Jump 760%Marijuana Stocks: MedMen, The Apple Store For Weed, Is Now Public
"
1,TAP,"Beer-and-wine giant Constellation Brands (STZ) on Friday said it was looking closely at what it could and couldn't do within the U.S.' growing marijuana industry — saying that if a legal opportunity surfaced, ""we will do it.""""We're looking at it pretty carefully,"" CEO Rob Sands said on a call to discuss Constellation Brands' fiscal first-quarter earnings. ""If we see that opportunity within the confines of what we can legally do, we will do it.""The remarks came in response to an analyst question about Sands' broader thinking about the cannabis market, and to what extent Constellation Brands saw an opening to enter the marijuana business in states like California.Recreational marijuana sales became legal in California in January. Constellation Brands last year invested in Canopy Growth Corp. (CGC) a Canadian pot producer. Canada is legalizing recreational pot use, starting in October. Sands on Friday said Constellation had recognized gains of more than $700 million since it invested in Canopy, which recently listed in the U.S.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseLegalization has raised concerns about how the marijuana industry might cut into alcohol sales. It's also spurred speculation over how it could change the way people socialize.In an effort to get ahead, Heineken (HEINY)-owned Lagunitas, a brewer in California, said this week it will launch a THC-infused sparkling water in California dispensaries on July 30. Sands said Constellation was ""pretty interested"" in what Lagunitas was doing, and how it was doing it.Lagunitas' cannabis beverage, Hi-Fi Hops, stems from a collaboration with AbsoluteXtracts, which is part of CannaCraft, a California marijuana producer.Pot is still illegal on a federal level in the U.S. Making a cannabis-infused beverage directly would put brewers' licenses to make beer at all at risk, according to a story from the Santa Rosa Press-Democrat.Under the collaboration, however, Lagunitas supplies the sparkling water, while CannaCraft handles the THC-infusion process.Molson Coors (TAP) is also reportedly weighing whether to partner with a Canadian marijuana company to offer cannabis-infused drinks. U.K. tobacco company Imperial Brands (IMBBY) this week said it was investing in a medical marijuana research company.Constellation Brands skidded 5.55% in the stock market today, after its earnings per share and full-year profit outlook missed analyst estimates. The company blamed marketing expenses, bad weather, and higher transportation costs.Elsewhere during the call, Sands said its Toronto-based affiliate, Greenstar, was working ""diligently"" with big advertising, marketing and consulting firms to figure out how to take advantage of the cannabis industry. He said the Canopy collaboration aims to develop products ""for the world market.""Canopy in June also said Greenstar had bought up 200 million Canadian dollars' worth of its convertible debt. Canopy, which also reported earnings this week, said during its conference call that the offering got about 60 new institutional investors.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MIGHT BE INTERESTED IN:Marijuana Stocks Rise Higher, Eye These IPOs As Canada Fully Legalizes WeedReefer Merger Madness: Aurora Cannabis, MedReleaf In Record Deal; Canopy Growth Plans NYSE ListingCould Big Tobacco Become Big Cannabis As Marijuana Business Soars?Marijuana Stocks To Buy And Watch
"
2,TAP,"To get ready for earnings season, look for stocks in or near a potential buy range ahead of their next quarterly report. One company that fits that bill is IBD 50 member Red Hat (RHT). It's expected to report on Jun. 21. It's trading approximately 2% above a 167.46 buy point from a third-stage flat base.X Keep in mind that buying just before a stock reports is risky, since an EPS or sales miss could send it sharply lower. You can minimize your exposure by waiting to see how the company reports and how the market reacts. Using an options strategy during earnings season is another way to put yourself in a position to profit, while minimizing the potential downside.See How IBD Helps You Make More Money In StocksRed Hat saw both earnings and sales growth rise last quarter. Earnings-per-share increased from 20% to 49%. Revenue rose from 22% to 23%. Analysts expect EPS growth of 23% for the quarter, and 15% growth for the full year. Annual growth estimates were recently revised upward. Red Hat has a 99 Composite Rating and earns the No. 1 rank among its peers in the Computer Software-Desktop industry group. Red Hat (RHT) and Microsoft (MSFT) are also among the group's highest-rated stocks.Note: Dates for earnings reports are subject to change. Check the company's website for any updates. Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Earnings Calendar, Analyst Estimates And Stocks To WatchNew Option Strategy Limits Risk Around Earnings
"
3,TAP,"Here's your Investing Action Plan for Thursday: what you need to know as an investor for the coming day. The earnings docket includes Lululemon Athletica (LULU), Ulta Beauty (ULTA), Burlington Stores (BURL) and Workday (WDAY), among a clutch of retail-oriented names. X Lululemon Athletica The yogawear retailer reports after the close. Estimates: Lululemon earnings to increase 41% to…
"
4,TAP,"SS&C Technologies (SSNC) is expected to report earnings on Jul. 25. SS&C Technologies now trading right around the 54.09 buy point from a second-stage flat base that it cleared earlier.X Understand that buying just before a stock reports is risky, since disappointing numbers could send it sharply lower. You can reduce your risk by waiting to see how the company reports and how the market reacts. Using an options strategy during earnings season is another way to put yourself in a position to profit, while minimizing the potential downside.See How IBD Helps You Make More Money In StocksWhile sales growth fell last quarter from 9% to 3%, the bottom line grew 20%, up from 17% in the prior report.Analysts are looking for EPS growth of 19% for the quarter, and 20% growth for the full year. Annual growth estimates were recently revised lower.The company has a 95 Composite Rating and earns the No. 4 rank among its peers in the Computer Software-Financial industry group. Intuit (INTU) is the No. 1-ranked stock within the group.Note: Dates for earnings reports are subject to change. Check the company's website for any updates. Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseGet instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MAY ALSO LIKE:Earnings Calendar, Analyst Estimates And Stocks To WatchNew Option Strategy Limits Risk Around Earnings
"
5,TAP,"Here's your Investing Action Plan for Tuesday: what you need to know as an investor for the coming day. Fast-food chain Sonic Drive-In (SONC), leading drone maker AeroVironment (AVAV), Schnitzer Steel (SCHN) and information giants IHS Markit (INFO) and FactSet Research (FDS) are the big names reporting earnings.Sonic reports Q3 earnings after the close.Estimates: Wall Street expects EPS to jump 14% to 49 cents per share, according to Zacks Investment Research. Revenue is seen slipping 3% to $120 million.
"
6,TAP,"Stock: Shares fell 1.7% to 35.01 on the stock market today. Sonic stock exploded out of a 21-week cup base back on June 7, gapping up through its correct entry zone on its way toward a 31% price increase in just 12 sessions. Its relative strength line remains near a two-year high, and the stock is trading far above its 50-day line.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseSonic stock soared after the burger-and-shake chain announced a $500 million share repurchase program and reported flat same-store sales, above forecasts.The drone manufacturing firm is reporting Q4 earnings after the close.Estimates: EPS is seen diving by 60% to 52 cents per share, as revenue slips 10% to $113 million.
"
7,TAP,"Stock: AeroVironment stock fell 2% to 58.25, finding support at its 50-day line. At first glance, the stock appears to be in a cup-with-handle base with a 61.25 buy point. But the pattern is only six weeks long. That's good enough for a cup base but a cup-with-handle needs at least seven weeks. The AeroVironment stock buy point is 62.30 for now, though the cup pattern is oddly shaped.A positive sign is the fact its relative strength line remains near a six year high. However it is now in the midst of a third stage base, which is more failure prone than earlier bases.The stock's IBD Composite Rating, which measures key performance metrics and technical strength, has slipped down to 84 after joining the 95-plus club just two months ago.The metals recycling giant reports Q3 earnings before the market opens.Estimates: Wall Street sees EPS exploding 105% to $1.15 per share as revenue climbs 36% to $651 million, according to Yahoo Finance.
"
8,TAP,"Stock: Schnitzer Steel stock tumbled 4.1% to 34.70. The stock is consolidating after advancing toward January's six-year high. It had a 38.25 buy point from a double-bottom base. But as of Monday's close, Schnitzer has formed a proper handle, lowering the entry point to 36.90.Schnitzer's RS line is still off recent highs, though a strong breakout could push it above short-term peaks.Last week the stock set up a bearish option trade that, while not cheap, still was within an acceptable cost range. When shares traded around 36.10, a slightly out-of-the-money monthly call option with a 37 strike price (July 20 expiration) came with a premium of around $1.25. This offered a trade with downside risk of 3.5% ($1.25/36.10).The information giant is providing Q2 results before the open.Estimates: EPS is seen rising 10% to 46 cents per share on revenue of $975 million.
"
9,TAP,"Stock: IHS Markit shares sank 2.2% to 50.12. The stock has been building a flat base for the past six weeks as part of a bullish base-on-base formation. IHS stock has a 52.71 entry point, but undercut its 50-day line Monday.But IHS has mediocre fundamentals, with an IBD Composite Rating of 81. It is also lagging far behind leaders in the Financial Services-Specialty Industry Group, in 13th place. However the London-based information and analytics firm managed a double beat in the last quarter, and will be looking to keep its momentum going.The financial data and software company is declaring third quarter earnings before the stock market opens.Estimates: Wall Street sees EPS swelling 16% to $2.14 per share as revenue ticks up 9% to $340 million.
"
