,ticker,content
0,TEL,"Verizon Communications (VZ) said Chief Executive Lowell McAdam will step down effective Aug. 1 and will be replaced by Hans Vestberg, a former Ericsson (ERIC) executive who joined the company in 2017 as president of global networks and chief technology officer.Vestberg, who served for six years as chief executive of Swedish wireless gear maker Ericsson, has been leading Verizon's push into next-generation, 5G wireless technology.McAdam, 64, will serve as executive chairman of the board through his retirement from the company at the end of the year.The naming of a chief with roots in Europe's wireless industry has parallels with an earlier hire.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseVerizon in 2016 hired Ronan Dunne, a veteran of the British mobile phone wars, to run its wireless business. Ronan Dunne was formerly head of Telefonica's (TEF) British unit, branded as O2.Verizon rose 0.4% to 49.18 on the stock market today.YOU MAY ALSO BE INTERESTED IN:Best Growth Stocks To Buy And Watch: See Updates To IBD Stock ListsLooking For Breakout Stocks Like Nvidia? Start With These ListsStock Market Today: Track Market Trends And The Best Stocks To WatchUnderstand The Market: The Big PictureChart-Reading Basics: How A Buy Point Marks A Time Of Real Opportunity
"
1,TEL,"Key Trump administration officials have been confronted at restaurants. Rep. Maxine Waters urged protesters to hound Trump officials at restaurants, gas stations or department stores.Progressive pundits and the liberal media almost daily think up new ways of characterizing President Trump as a Nazi, fascist, tyrant or buffoon. Celebrities openly fantasize about doing harm to Trump.What is behind the unprecedented furor?Just as Barack Obama was not a centrist, neither is Trump. Obama promised to fundamentally transform the United States. Trump pledged to do the same and more — but in the exact opposite direction.The Trump agenda enrages the left in much the same manner that ObamaCare, the Obama tax hikes, Obama's liberal Supreme Court picks and the Iran nuclear deal goaded the right.Yet the current progressive meltdown is about more than just political differences. The outrage is mostly about power — or rather, the utter and unexpected loss of it.In 2009, Obama seemed to usher in a progressive revolution for a generation.Democrats controlled the House. They had a supermajority in the Senate. Obama had a chance to ensure a liberal majority on the Supreme Court for years.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseDemocrats had gained on Republicans at the state and local levels. The media, universities, professional sports, Hollywood and popular culture were all solidly left-wing.A Republican had not won 51% of the popular vote in a presidential election since George H.W. Bush's 1988 defeat of Democrat Michael Dukakis. Before 2016, Republicans had lost the popular vote in five of the previous six presidential elections.And then visions of a generation of progressive grandeur abruptly vanished.Obama left behind a polarized nation. Democrats lost both the House and the Senate. During Obama's tenure, Democrats lost more than 1,000 seats at the state level.Presumptive winner Hillary Clinton blew the 2016 presidential election.Foolishly, Clinton tried to ensure a landslide victory by wasting precious campaign time in unwinnable red states such as Arizona and Georgia. Meanwhile, she too often neglected winnable purple states such as Florida, Michigan, Ohio, Pennsylvania and Wisconsin, all of which Obama had won in 2008 and 2012. Clinton apparently forgot that the Electoral College, not the popular vote, elects a president.After his election, President Trump did not implode as predicted. By following the Obama precedent of relying on executive orders, Trump began recalibrating everything from immigration enforcement to energy development.Abroad, Trump did what no other Republican president would have dared, bombing ISIS into submission, canceling the Iran deal, seeking to denuclearize North Korea, pulling out of the Paris climate accord, and moving the U.S. embassy in Israel from Tel Aviv to Jerusalem.The U.S. economy took off with new tax cuts and deregulation. Radical improvement in unemployment, economic growth, and oil and natural gas production created new consumer and business confidence.Despite his frequent crudeness, Trump is inching toward a 50% approval rating in a few polls. That has only made an impotent opposition grow even more furious — both at the other half of the country for supporting Trump, and at a buoyant Trump himself for baiting and ridiculing progressives in the fashion of no prior president.Worse still, much of the loss of progressive power was at least partly self-inflicted.Former Democratic Senate Majority Leader Harry Reid foolishly dropped the number of votes needed to overcome a filibuster for executive appointments and most judicial nominations in 2013. That blunder ensured Republicans the chance to remake the Supreme Court when they took over the Senate in 2014.Obama chose not to try to win over his opposition, but to alienate it by veering hard left in his second term. Hillary Clinton foolishly got herself into a number of personal scandals that embarrassed her party and helped lead to her defeat.In reaction to the sudden loss of political power, Democrats would have been wise to run to the center, as did Bill Clinton, who all but ended the era of the Reagan Republicans.They could have dropped their obsession with identity politics and instead attempted to win over blue-collar voters with more inclusive class appeals rather than racial appeals.Instead, Democrats have endlessly replayed the 2016 election. In Groundhog Day fashion, Hillary Clinton repeatedly offered tired excuses for her loss.To progressives, Trump became not an opponent to beaten with a better agenda, but an evil to be destroyed. Moderate Democrats were written off as dense; left-wing fringe elements were praised as clever.Voters in 2016 bristled at redistribution, open borders, bigger government and higher taxes, but progressives are now promising those voters even more of what they didn't want.Furious over the sudden and unexpected loss of power, enraged progressives have so far done almost everything to lose even more of it.And that paradox only leads to more furor.YOU MIGHT ALSO LIKE:The Left Tries To Blame Trump For Their Own Hate MongeringTurns Out, Those Forced Union Dues Did Go To Liberal Advocacy GroupsAfter Its Hard Left Turn, Will Democratic Party Officially Admit It's Socialist?More Commentary and Opinion from Investor's Business Daily.Want to make more money in the stock market? Start with IBD University.
"
2,TEL,"Embassy Move: With the opening Monday of the U.S. Embassy in Jerusalem, President Trump didn't just keep a promise to Israel. Despite violent Palestinian protests, Trump's move may well reboot peace talks.Trump's decision to relocate the U.S. Embassy from Tel Aviv to Jerusalem does more than merely restate Trump's recognition of Jerusalem as Israel's capital; it is an emphatic declaration of Israel's permanency and its right to exist.Given that many nations around the world don't recognize Israel's right to exist — or, if they do, recognize it only within shrunken borders that would be almost impossible to defend — Trump has put the U.S. squarely behind Israel.The European Union, led by our ""allies"" France and Germany, sought an official rebuke of the U.S. Embassy move. But Hungary, the Czech Republic and Romania, some of the U.S.-friendly ""red states"" of Europe, blocked it.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseSo instead of a painful critique of Trump's move, the EU looks weak, feckless and irresolute — which pretty much sums up the EU, and that includes its ongoing support of the now-defunct Iran nuclear deal.Meanwhile, thousands of Palestinians responded by rioting on the West Bank and in Gaza. Dozens of demonstrators were killed by Israeli forces after they began tossing grenades, bombs and rocks at Israeli troops.Things will likely only get worse on Tuesday, with more violent demonstrations. That's the day that Israelis will celebrate the 70th anniversary of modern Israel's founding as a nation. Palestinians commemorate the same day as the ""Nakba"" — the catastrophe.Yet, as a point of history, the move to Jerusalem should be entirely uncontroversial.For one, the U.S. Congress voted to move the embassy to Jerusalem all the way back in 1995. That law is still on the books, but the move was postponed by successive presidents each year because of the threat of violence and fears that the Palestinians would leave peace talks and riot.Only Trump has fulfilled American law. Moreover, Jerusalem, while claimed by the Palestinians, has never been capital of a Palestinian state or nation. Why? There's never been a Palestinian state or nation, not in all the history of the Mideast.Even as late as 1967, the various Muslim nations and leaders that ruled the land the Romans named Palestina could have declared a sovereign nation there. They didn't. Nor was there any ""Palestinian Liberation Movement"" until after the establishment of Israel.Even so, Trump is looking for ways to make everyone in the Mideast happy. Based on the ecstatic reactions of the Israeli public — Israelis waved Israeli and American flags Monday in the streets while celebrating the opening of the embassy — Israel is quite happy.""What a glorious day. Remember this moment!"" Prime Minister Benjamin Netanyahu told an enthusiastic crowd. ""President Trump, by recognizing history, you have made history. All of us are deeply moved. All of us are deeply grateful.""But it doesn't end with the move of an embassy.Adam Kredo of the Washington Free Beacon reports, ""The United States is in the 'late phases' of finalizing its Israeli-Palestinian peace plan that will be presented to both parties for consideration, according to a senior White House official, who discussed progress on the matter ahead of a massive celebration in Israel to open the new U.S. Embassy in Jerusalem.""No word yet on what that plan will contain, but you can be sure that Trump is much more clever and a far savvier street fighter than his leftist critics believe.Is it possible that Trump has outmaneuvered all the Mideast dictators, the supposed Euro-sophisticates, the U.N. do-nothings, and the deep-thinking American foreign-policy wonks in creating the best chance yet for peace in the Mideast?While his critics laughed, Trump has been laying the groundwork for major changes in the Mideast — and possibly the Korean Peninsula as well.With his visit last May to Saudi Arabia, that nation now seems bent on reforms that will bring it closer to the norms of the West. Meanwhile, the Saudis have become de facto allies with Israel in the Mideast, making common cause against their common enemy, Iran.That's why Trump's recent decision to pull the U.S. out of the Iran nuclear deal — a deal that was cobbled together by President Obama, but never approved by the U.S. Senate — is so important.It will not only isolate Iran, but deny it hard currency to continue financing terrorism against Israel by Bashar Assad's Syria and Lebanon's Hezbollah.At any rate, we'll now see how serious the Palestinians are about peace. Trump will soon hand them a generous peace offer, one that will give them a sovereign state and independence.If they say no and engage in yet another murderous intifada, it will be clear that their intent isn't the creation of a Palestinian state so much as it is the destruction of Israel — a plank of the Palestinian movement's founding charter that has never been revoked or removed, by the way.Largely as a result of his embassy move, Trump is being compared to Harry Truman, another president who was underestimated by his political foes. It was Truman who, in 1948, ignored his Ivy League-educated advisors and recognized Israel literally minutes after it declared its statehood.But we liken him more to President Reagan, another president held in contempt by leftist elites. Reagan had the intelligence, foresight and guts to challenge the ""evil empire,"" the USSR, and ultimately bring it to its knees.Today, Trump appears to be doing the same thing to what former President George W. Bush in 2002 called the ""Axis of Evil"" — Iran (by leaving the phony nuclear deal), Iraq (by crushing ISIS) and North Korea (by ending its nuclear weapons program).Not bad for a year and a half of work. Will peace be next? We can only hope so.YOU MIGHT ALSO LIKE:Trump Can Reverse Obama's Betrayal Of Israel By Defunding The U.N.Another Trump Promise Kept: Recognizing Jerusalem As Israel's CapitalCutting Off UNESCO: Nice Start, Now How About The Rest Of The Israel-Hating U.N.?Click here for more Commentary and Opinion from Investor's Business Daily.Want to make more money in the stock market? Start with IBD University. 
"
3,TEL,"Nuclear Iran: As North Korea and South Korea unexpectedly talk nuclear peace, Israel's Benjamin Netanyahu has just released an equally unexpected intelligence trove revealing Iran to be a nuclear cheat. Is President Obama's nuclear deal with Iran worth the paper it's written on?It's certainly worth asking the question, after Netanyahu dropped an information bomb on the world's media in the form of voluminous evidence of Iran's repeated efforts to gain a workable nuclear weapon, despite its repeated claims to wanting nuclear technology only for ""peaceful purposes.""Netanyahu's timing isn't accidental. In two weeks, President Trump and leaders of France, U.K. and Germany are set to decide what to do about the 2015 Iran nuclear deal, pushed by President Obama, which almost no one is happy with. Netanyahu is hoping his intelligence will sway the debate and force a unified crackdown on Iran.""This is a terrible deal. It should never have been concluded, and in a few days time, President Trump will decide, will make his decision on what to do with the nuclear deal,"" Netanyahu said in his speech in Tel Aviv, made in his fluent English.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseTrump, for his part, probably doesn't need convincing on the nuclear deal. CIA Director Mike Pompeo recently made a trip to Israel, where he reviewed Netanyahu's intelligence.Netanyahu shared with the U.S. more than 100,000 files and about 180 CDs that Israel retrieved from what Netanyahu called an Iranian ""atomic archive."" He claimed the U.S. could vouch for their authenticity.No surprise, Trump is pushing European allies to make substantive changes in the Iran nuclear deal, to toughen it up.In particular, Trump is upset that some of the tougher provisions go away in time, that inspectors aren't allowed to inspect some military sites, and that other aspects of Iran's weapons and military,  including ballistic missiles programs and its ongoing support of terrorism, are left out entirely from the deal.Netanyahu has come under immediate criticism for his sensational Iran ""dossier."" No one doubts the veracity of the documents. But they note that most of the evidence details nuclear activities that took place years, even decades ago. The Iran nuclear deal, signed in 2015, doesn't cover those earlier activities.But what Netanyahu called ""Project Amad,"" the long-term effort by Iran to ""design, produce and test five warheads, each with 10 kiloton TNT yield for integration in a missile,"" is real. It was never declared under the 2015 nuclear agreement, as required.Here, two points need to be made.First, Iran has claimed for years that it's clean and above-board on its nuclear activities and, as we said, only pursuing nuclear technology for ""peaceful purposes."" These documents completely shatter that lie. So we should believe them now?Second, Iran is already in violation of another nuclear agreement, one that people conveniently forget about: The Nuclear Nonproliferation Treaty, which Iran signed in 1970 and has never disavowed.So its past efforts to get a bomb, coupled with ongoing evidence its military has never given up its pursuit of a nuclear weapon, make Iran dangerous.The truth is, when the mullahs seized power, they went all in on the idea of developing a nuclear weapon. They conducted experiments and research for all of the Iran-Iraq War, which lasted from 1980 to 1988.The U.S. and International Atomic Energy Agency found violations going all the way back to 1991.In 2002, they were found to have an undeclared uranium enrichment facility at Natanz and a reactor at Arak that could produce plutonium. Both uranium and plutonium can be made into bombs.Based on their aggressive missile program and their stated goal of having a bomb in service of Islam suggests that they are actively building a nuclear weapon.By the way, Iran also signed a chemical weapons non-proliferation treaty in 1997. Today, Iran's closely allied with Syria, and has given both technology and material to Syria's Bashar Assad, who has both made chemical weapons and used them on his own people.Iran shrouds its military nuclear facilities in secrecy and has used immense resources to locate nuclear research and production in hardened facilities underground. These are clear signs of an ongoing nuclear program. Iran's people, pawns in this wicked game, deserve better.This isn't a game. A nuclear weapon in the hands of Iran's fundamentalist leaders would almost surely be used — either by the Iranians themselves, or by a terrorist proxy. The very fact of an Iranian nuclear program is destabilizing of the entire Mideast, since it encourages local rivals — Saudi Arabia and Egypt come to mind — to develop their own bomb programs. Then what?That doesn't even include the fact that Iran has repeatedly threatened Israel with annihilation. And if it gets a nuke, it just might try.The status quo with Obama's failed nuclear deal with Iran is intolerable. It's time to renegotiate the deal, and make it real. Pretending we are stopping Iran from having a nuclear weapon and doing nothing about it is dangerous, just as it was with North Korea.YOU MIGHT ALSO LIKE:To Fix Everything Wrong With Obama's Failed Iran Nuke Deal, Trump Had To Decertify ItTrump Is The Anti-Obama When It Comes To Standing Up To Terrorist-Supporting IranTrump, Merkel And The (Next) Iran DealClick here for more Commentary and Opinion from Investor's Business Daily.Want to make more money in the stock market? Start with IBD University.
"
4,TEL,"What did Fox News' Laura Ingraham say that cost her advertisers?About David Hogg, the teenage Parkland, Florida, high school shooting survivor, Fox's Ingraham tweeted: ""David Hogg Rejected By Four Colleges To Which He Applied and whines about it. (Dinged by UCLA with a 4.1 GPA ... totally predictable given acceptance rates.)""Insensitive, given the mass shooting that killed 17 at Hogg's high school? Yes. Insulting and condescending coming from an Ivy League-educated lawyer? Yes. But the punishment does not fit the crime.Hogg urged Ingraham's advertisers to drop her show. Several did. Ingraham apologized, but Hogg refused to accept her apology. He called her a ""bully"" and wants Ingraham to extend her apology to others she offended: ""She told Lebron James to shut up and dribble. I don't see any apology for those people. ... I would only consider (going back on her show) after she apologizes to all the people that she's hurt throughout her professional career because of her immaturity and unprofessionalism.""Two weeks after the Parkland shooting, Hogg gave an interview to The Outline, in which the writer described Hogg as ""exhausted"" and ""still traumatized."" Hogg said:""What sick f-----s out there want to continue to sell more guns, murder more children, and honestly just get reelected. What type of s----- person does that? They could have blood from children splattered all over their faces and they wouldn't take action, because they all still see these dollar signs.""""When your old-a-- parent is like, 'I don't know how to send an iMessage,' and you're just like, 'Give me the f------ phone and let me handle it.' Sadly, that's what we have to do with our government; our parents don't know how to use a f------ democracy, so we have to.""Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseReferring to Republican Florida Sen. Marco Rubio and money contributed to him by the National Rifle Association, Hogg said: ""What about the $176,000 you took for those 17 people's blood?""But Ingraham is a ""bully""?Now does this ""Ingraham Standard"" apply to, say, CNN's Anderson Cooper? Frustrated at what he perceived as his guest's blind defense of President Donald Trump, Cooper said, ""If (Trump) took a dump on his desk, you would defend him."" Cooper apologized, but, then, so did Ingraham.What about Time Warner's ""Real Time With Bill Maher"" show on HBO? Here are some of Maher's greatest hits on conservative women:Sarah Palin is a C-word — an offensive slang word for female genitalia.Sarah Palin is a ""dumb t---,"" using a derisive slang word for female genitalia.Sarah Palin's son, who has Down syndrome, is ""retarded.""Sarah Palin and Michele Bachmann are ""two bimbos.""The Rev. Al Sharpton, an MSNBC host, has an exhaustive list of offensive, incendiary, anti-Semitic comments. At a rally in Harlem in 1991, Sharpton said, ""If the Jews want to get it on, tell them to pin their yarmulkes back and come over to my house."" A few days later, a 7-year-old black boy was accidentally hit and killed by a car driven by a Jew in the Crown Heights area of Brooklyn, New York. Immediately after the young boy's death, three days of anti-Semitic rioting ensued in Crown Heights, where two people died and almost 200 were wounded. Surrounded by a mob yelling, ""Kill the Jew!"" a young Talmudic scholar was stabbed to death. Many believe Sharpton's rhetoric played a role in fomenting the Crown Heights riots. A Columbia University professor called it ""a modern-day pogrom.""At the 7-year-old boy's funeral Sharpton said: ""The world will tell us he was killed by accident. Yes, it was a social accident. ... It's an accident to allow an apartheid ambulance service in the middle of Crown Heights. ... Talk about how Oppenheimer in South Africa sends diamonds straight to Tel Aviv and deals with the diamond merchants right here in Crown Heights. The issue is not anti-Semitism; the issue is apartheid. ... All we want to say is what Jesus said: If you offend one of these little ones, you got to pay for it. No compromise, no meetings, no kaffeeklatsch, no skinnin' and grinnin'. Pay for your deeds.""What about CNN's Don Lemon, who called President Trump ""racist"" following reports that Trump called Haiti and African counties ""s---hole countries""? When Fox's then-host Glenn Beck call Obama ""racist"" a group called Color Of Change put up an online petition calling for the cancellation of Beck's show.If Ingraham is a ""bully,"" what do you call MSNBC's caustic, Trump-hating lineup of hosts? Apply the Ingraham Standard to MSNBC's Chris Matthews. Angry with the Republican opposition to ObamaCare, Matthews tore into the GOP and accused the Party of wanting ""people who don't have insurance to die on the gurney.""As for Hogg, especially when complaining about ""parents,"" he sounds like a teenager. Oh, wait, he is.YOU MIGHT ALSO LIKE:Yes, Gun Control Advocates Do Want To Take Away Your Guns — Just Ask John Paul StevensWhere's The Common Sense In 'Common Sense' Gun Laws?Obama Can't Stop Lying About Guns
"
5,TEL,"Doesn't matter if we're surfing the web or watching Netflix (NFLX): We don't care how it works, so long as it works — and works fast.X As cable operators look to modernize their systems in what one brokerage calls ""the largest cable infrastructure capital investment cycle since the mid-1990s,"" broadband solutions provider Casa Systems (CASA) — which just went public in mid-December — already is seen as a well-positioned player that could be a key supplier in that movement.""Competition has become intense,"" Raymond James analyst Simon Leopold said in a recent note to clients in which he initiated coverage of Casa. ""Cable TV operators will continue to invest, and we expect the (capital expenditure) mix shifts toward network infrastructure and away from set-top boxes, which could enable Casa to grow revenue 17% to 22% in 2018-2019.""The Andover, Mass.-based company, founded in 2003, says it offers a suite of ""software-centric infrastructure solutions that allow cable service providers to deliver voice, video and data services over a single platform at multi-gigabit speeds.""Analysts are singing its praises. That software-focused structure has helped Casa to be ""first to market for most major advances in the cable space in the last 10 years,"" William Blair analyst Jason Ader wrote in his note initiating coverage of the company.Though Casa shares have been choppy — as they are with many IPOs shortly after going public — they have generally moved higher since hitting the market at 13 on Dec. 15. Case in point: shares hit an intraday high of 24.24 in the middle of last week, slipped a bit with the broad market sell-off and then charged ahead again on Monday. Shares had surged nearly 13% to another intraday high of 25.20 Monday and ended the regular session up 7.1% to 23.50.Charter Communications' (CHTR) Time Warner Cable unit is one of Casa's biggest customers, according to Casa's filing with the Securities and Exchange Commission for its initial public offering. Charter made up 36% of its revenue in the first nine months of 2017.But Casa's reach is global. Thanks to an array of customers that includes Rogers Communications (RCI), Liberty Global (LBTYA), Televisa/IZZI Mexico, Vodafone (VOD) and the privately held firms Mediacom and Jupiter Communications, Casa has a presence in North America, Latin America, Europe and Asia-Pacific. In 2016, more than 58% of Casa's revenue came from North America, while Latin America brought in 15%, and its Europe, Middle East and Africa segments combined made up slightly more than 14%. Asia-Pacific revenue took up an eighth of the pie.In all, Casa raked in $316.1 million in revenue and $88.7 million in net income in fiscal 2016 — up 16% and 30.5%, respectively, from the prior year — as outlined in its IPO filing. The bulk of overall revenue, more than 88%, came from sales of its broadband products. It derived the rest from services.The company's growth is ""underpinned by a structural shift in cable operators' network infrastructure, and we expect this transition to continue for a number of years,"" Raymond James' Leopold wrote. He rated Casa outperform with a 23 price target.Leopold believes Casa can benefit from the challenges facing cable operators — namely, subscriber demand for faster speeds and on-demand content.Charter Communications' latest earnings report points to possible tailwinds for Casa, says one analyst.""Despite the possibility for (Charter's) 2018 capex to be flat to down, we are encouraged by the trajectory of spending that impacts Casa, specifically scalable infrastructure,"" Stifel's Patrick Newton wrote in a recent note, as he rated the stock a buy. ""We would expect this to outpace growth in other areas.""Shares are climbing, up more than 70% from its IPO price of 13 a share on Dec. 15. That was notably lower than the originally anticipated pricing of 15-17 a share, but it has risen sharply since then.The stock boasts a Relative Strength rating of 96 so far, indicating strong outperformance. But earnings results can, of course, knock a stock off course, and Casa management is set to announce its first quarter of earnings and sales as a publicly traded company after the close Tuesday.Sign Up For Free IBD Newsletters: Market Prep | Tech ReportConsensus is for 32 cents in per-share earnings on revenue of $101 million for the fourth quarter.The company faces some formidable challenges, though. For one, Casa's main competitors are Cisco Systems (CSCO) and Arris International (ARRS), much bigger players. Cisco's cable broadband business is but a ""rounding error,"" according to Stifel's Newton.But Northland Capital Markets analyst Tim Savageaux points out that Casa has managed to capture ""significant share"" of the $2 billion Converged Cable Access Platform (CCAP) market from both of its main rivals. He estimates that Casa has 23% market share vs. Cisco's 20% and Arris' 50%.Still, analysts see room for growth as Casa ventures into new segments. Its foray into neighboring network transformation markets, and into technologies with names like remote-PHY cable nodes and mobility software ""more than triples"" the company's total addressable market, said William Blair's Ader, adding that he expects new products to ramp up revenue growth through 2019.That said, Casa's move into the wireless market also means it has more rivals, particularly Ericsson (ERIC), Nokia (NOK) and Huawei, which Ader notes have ""deep pockets and substantially more credibility and experience serving wireless customers.""The pursuit of wireless markets is just one part of a multi-pronged growth strategy outlined in Casa's IPO filing. Management also highlighted plans for research investments, selling more products to existing customers, expanding its base and making ""selective acquisitions.""Accumulating capital for possible mergers might be one reason Casa went public, wrote Ader, as it envisions expanding beyond its existing cable customers.""With the industry going through significant and ongoing consolidation, there should be growing opportunities to acquire interesting technology assets that could fit well with Casa's business and broaden its broadband access and aggregation product portfolio,"" he wrote.YOU MAY ALSO BE INTERESTED IN:Check Out These Tech Plays If You Like Amazon, Bitcoin, NetflixInternet Of Things Driving MEMS GrowthThe Basics: How To Analyze A Stock's Cup With HandleSurprise! Paying A Mortgage Is Cheaper Than Renting In 42 States
"
6,TEL,"Conservative watchdog organization Media Research Center examined the nightly news coverage of President Donald Trump on ABC, NBC and CBS in January and February and concluded that the stories were 91% negative. One consistent narrative, particularly given the recent firing of Secretary of State Rex Tillerson, is that ""chaos"" reigns in the Trump White House.Never mind that President Barack Obama went through four secretaries of defense and five chiefs of staff. Obama, goes the narrative, calmly navigated the country during his eight-year tenure. Trump, on the other hand, is reckless, dangerous, undisciplined and out of control.Never mind that the U.S. consumers' confidence is at a level not seen since the early 2000s. Forget the increased value in the stock market, and the appreciation in average home value since the beginning of the Trump presidency. ISIS fighters have been killed or surrendered in the thousands. North Korea's Kim Jong Un has agreed to resume talks about ""denuclearization."" The Middle East did not set itself on fire when Trump agreed to move the U.S. Embassy from Tel Aviv to Jerusalem. After nearly 14 months, even many Democrats admit they still, after a year of investigations, see no evidence of ""collusion"" between Russia and the Trump campaign.But things just look ... chaotic.President ""No-Drama Obama"" did indeed successfully push ObamaCare through Congress and signed it into law.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseWhen the House Democrats first revealed what eventually became ObamaCare, the Wall Street Journal called it ""the worst bill ever."" The Journal wrote: ""With spending and debt already at record peacetime levels, the bill creates a new and probably unrepealable middle-class entitlement that is designed to expand over time. Taxes will need to rise precipitously, even as ObamaCare so dramatically expands government control of health care that eventually all medicine will be rationed via politics.""The law did not, as Obama routinely promised, save every family $2,500 a year. ObamaCare did not, as the president insisted, ""bend the cost curve"" down. PolitiFact gave Obama their 2013 ""Lie of the Year"" award for telling the American people, ""If you like your health care plan, you can keep it,"" a guarantee that Obama made even when he knew it was not true.As commander in chief, the no-drama president signed the Iran deal that critics argue puts the world's No. 1 sponsor of terror on a path toward getting a nuclear bomb. Obama's first secretary of defense, Robert Gates, said Obama based the deal on a ""hope that over a 10-year period with the sanctions being lifted that ... they will abandon their ideology, their theology, their revolutionary principles, their meddling in various parts of the region."" Gates called this hope ""unrealistic.""Obama, over the objection of his entire national security team, pulled out all the troops from Iraq. Retired Army Gen. Ray Odierno, a member of the Joint Chiefs of Staff, later said he believed ISIS could have been dealt with had we left a stay-behind force.On the economy, Obama signed a $787 billion so-called stimulus package, averaged $100 billion in new regulations every single year of his presidency, and promoted the silly, wasteful ""cash for clunkers"" and the equally silly and wasteful ""cash for caulkers.""Obama defenders argue that the recession Obama dealt with was particularly severe. Yet historically, the deeper the recession, the higher the bounce back. Not so under Obama. The recession President Ronald Reagan dealt with was worse, at least by the metrics the Democrats and the media once used until those very metrics made Democrats look bad.Unemployment, for example, under Obama reached 10%. Under Reagan, it reached 10.8%. Inflation was 3.8% the year before Obama took office, but dropped to 1.3% his last year. Under Reagan, it was 13.5% the year before he took office, but dropped to 4.1% his last year. Prime interest rates under Obama, again, were 3.25% when he entered office, and remained low at 3.75% when he left. Under Reagan, prime interest rates climbed as high as 20.5% and dipped as low as 7.5%.It was a Democrat, Jimmy Carter, who, in running against President Gerald Ford in 1976, use the ""misery index."" It was simple. Just add up unemployment, plus inflation. The bigger the number, the worse the economy. Carter pointed out that under Ford, the misery index had gone up. Unfortunately for Carter, when he ran for re-election in 1980, Reagan pointed out that the misery index under Carter had grown even larger. Under Obama, at its worst point, the misery index reached 12.97 in 2011. During Reagan's administration, the misery index was at its worst point when he entered office, at 19.33.Obama, who supposedly governed without drama, delivered the worst recovery since 1949. On the economy and on foreign policy, he signed costly legislation and pushed counterproductive policies. Do Americans want a president who ultimately does the right thing or a president who racks up style points while making one blunder after another?YOU MIGHT ALSO LIKE:Other columns by Larry Elder
"
7,TEL,"In a welcome move, Anixter International (AXE) saw its Relative Strength Rating improve from 65 to 71 on Thursday. X IBD's unique rating measures market leadership with a 1 (worst) to 99 (best) score. The rating shows how a stock's price behavior over the last 52 weeks holds up against all the other stocks in our database. Decades of market research shows that the best stocks typically have an 80 or better RS Rating in the early stages of their moves. See if Anixter International can continue to rebound and clear that threshold. See How IBD Helps You Make More Money In StocksAnixter International broke out earlier, but is now approximately 4% below the prior 81.57 entry from a cup with handle. If a stock you're tracking clears a buy point then declines 7% or more below the original entry price, it's considered a failed base. Wait for the stock to set up and breakout from a new base and buy point. Also understand that the most recent pattern is a later-stage base, and those involve more risk. Earnings grew 8% last quarter, up from -6% in the prior report. Revenue also increased, from 3% to 6%. The company holds the No. 9 rank among its peers in the Electronics-Parts industry group. Kemet (KEM), TE Connectivity  (TEL) and Littelfuse (LFUS) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
8,TEL,"The U.S. market pullback that began quietly Jan. 29, then picked up more serious momentum on Feb. 2, may have gotten its start in Davos, Switzerland, on Jan. 24. X That's when U.S. Treasury Secretary Steven Mnuchin told his Davos audience that the U.S. saw a weak dollar as beneficial. Global currency markets immediately began to react.…
"
9,TEL,"II-VI (IIVI) saw a welcome improvement to its Relative Strength (RS) Rating on Wednesday, rising from 64 to 76. X This exclusive rating from Investor's Business Daily measures price performance with a 1 (worst) to 99 (best) score. The rating shows how a stock's price movement over the last 52 weeks stacks up against all the other stocks in our database. Decades of market research shows that the stocks that go on to make the biggest gains often have an RS Rating of over 80 in the early stages of their moves. See if II-VI can continue to rebound and clear that threshold. Looking For The Best Stocks To Buy And Watch? Start HereWhile II-VI is not near an ideal buying range right now, see if it is able to form and break out from a proper base.While the company's bottom line growth declined in the company's most recently reported quarter from 47% to 35%, sales rose 18%, up from 13% in the prior report. The company holds the No. 7 rank among its peers in the Electronics-Parts industry group. Kemet (KEM), Stoneridge (SRI) and TE Connectivity  (TEL) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
