,ticker,content
0,TROW,"New highs Wednesday left much to be desired. Reversals from new highs and low volume were commonplace. In some cases, a bold thrust lacked a valid buy point.February initial public offering Cactus (WHD) provided the bold thrust to a new high with no valid buy point nearby. The stock popped 6% and then reversed to essentially break even.The oil-equipment maker has had good timing with its IPO. The stock debuted on the Nasdaq on Feb. 8, just a day before the low of crude oil's pullback. Since then, oil has rallied about 23% off its low and Cactus about 90%.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYet, bulls have a hard time finding a buy point in Cactus. An uneven March-April consolidation could offer an argument, but the argument seems stretched. There's been no conventional base since the IPO.Cactus is expected to grow earnings 90% this year and 25% next year. The stock's Composite Rating is 96, putting it in the top 4% among all the stocks in IBD's database.Meanwhile, IBD-style investors can wait patiently for a conventional base to form.Recently, consumer electronics retailer Best Buy (BBY) has been trying to clear a 78.69 buy point. The stock hit 79.90 in the first 10 minutes of trade, marking a new high in roughly average volume. But then Best Buy reversed to close under the buy point.Earnings were reported in early March. EPS grew 25% on a 14% revenue gain.The revenue gain was the best in at least 19 quarters. Quarterly same-store sales jumped 9%, trouncing analysts' views for 2.9%.Best Buy has a respectable 88 Composite Rating.Financial advisory firm T. Rowe Price Group (TROW) broke out past a 120.17 buy point. The stock closed at 120.75. Volume was only 14% above average.RELATED:This Stock Screen Is Smashing The S&P 500Is $90 Oil In The Cards? Ugg Boots Maker StirsMacy's Crushes ForecastWhat Oil Gives, It Can Take Away: Time To Sell?
"
1,TROW,"IBD stock screens are regularly updated to add new stocks to watch, as well as weed out those that have started to show weakness. In the tables below, you'll see which stocks have been added to or removed from lists like the IBD 50, Sector Leaders and the IBD Big Cap 20. X The screens are…
"
2,TROW,"Keeping your watch list up to date is key to making money in the stock market. IBD helps you do that by regularly updating stock screens like the IBD 50, Sector Leaders, IBD Big Cap 20 and IPO Leaders. In the tables below, you can see which stocks have just been added to or removed from these lists. [ibd-display-video id=2354661…
"
3,TROW,"On Tuesday, Price T Rowe Group (TROW) got an upgrade for its IBD SmartSelect Composite Rating from 94 to 96. X The new rating shows the stock is outpacing 96% of all stocks when it comes to the most important stock-picking criteria. The market's biggest winners often have a 95 or higher rating in the early stages of a new price run. Price T Rowe Group is currently extended beyond a proper buy zone after clearing the 85.52 buy point in a flat base. Looking For The Best Stocks To Buy And Watch? Start HereThe stock earns an 89 EPS Rating, meaning its recent quarterly and annual earnings growth tops 89% of all stocks. Its Accumulation/Distribution Rating of C- shows a roughly equal amount of buying and selling by institutional investors over the last 13 weeks. In Q4, the company reported 26% EPS growth. That means it's now delivered two straight quarters of rising EPS growth. Revenue growth climbed 18%, up from 12% in the prior report. That marks one quarter of increasing revenue increases. Price T Rowe Group earns the No. 4 rank among its peers in the Finance-Investment Management industry group. Blackrock (BLK) is the No. 1-ranked stock within the group.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?
"
4,TROW,"On Tuesday, WisdomTree Investments (WETF) received a positive adjustment to its Relative Strength (RS) Rating, from 69 to 72. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.This exclusive rating from Investor's Business Daily measures market leadership with a 1 (worst) to 99 (best) score. The grade shows how a stock's price movement over the last 52 weeks holds up against all the other stocks in our database. Decades of market research reveals that the best stocks often have an RS Rating north of 80 in the early stages of their moves. See if WisdomTree Investments can continue to show renewed price strength and clear that threshold. Looking For Winning Stocks? Try This Simple RoutineWisdomTree Investments is trying to complete a cup with handle with an 11.92 buy point. See if it can break out in heavy trading. Earnings growth moved up in the company's latest report from 33% to 60%, but revenue fell from 21% to 9%. WisdomTree Investments holds the No. 17 rank among its peers in the Finance-Investment Management industry group. Noah (NOAH), Financial Engines (FNGN) and Price T Rowe Group (TROW) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
5,TROW,"Mutual funds have been the workhorse of American retirement for decades, with Vanguard, Fidelity, American Funds, JPMorgan Chase (JPM) and T. Rowe Price (TROW) leading a $16 trillion-in-asset industry that offers numerous investment choices to help you reach your investment goals.How do you build and maintain a portfolio of funds that will carry you safely to your goals?Start by checking the lists below (updated Monday through Friday), which highlight top performers that invest in various types of stocks and bonds. You'll also find ongoing coverage of the latest trends, tips on how to invest, monthly reports and IBD's annual Best Mutual Funds Awards.See The Best Mutual Funds Over The Last 1, 3, 5 & 10 YearsDiversified Stocks | Growth | Large Cap | Small Cap | ALL CATEGORIESNew Buys Of Top-Performing Funds Over Last 3 MonthsView More Mutual Fund NewsView More Mutual Fund Performance ReportsView Full Best Mutual Fund Awards ReportRELATED:How To Buy And Sell Mutual Funds For The Long TermWhere Mutual Fund Bigwigs Expect To See Stock Gains In 2017Best Exchange Traded Funds (ETFs)Best Stocks To Buy And Watch 
"
6,TROW,"Keeping your watch list up to date is key to making money in the stock market. IBD helps you do that by regularly updating stock screens like the IBD 50, Sector Leaders, IBD Big Cap 20 and IPO Leaders. In the tables below, you can see which stocks have just been added to or removed from these lists. [ibd-display-video id=2354661…
"
7,TROW,"Keeping your watch list up to date is key to making money in the stock market. IBD helps you do that by regularly updating stock screens like the IBD 50, Sector Leaders, IBD Big Cap 20 and IPO Leaders. In the tables below, you can see which stocks have just been added to or removed from these lists. [ibd-display-video id=2368044…
"
8,TROW,"The Dow, S&P 500 and Nasdaq composite held solid gains in afternoon trading Wednesday as retail stocks garnered attention.April retail sales data on Tuesday was mostly in line with expectations, but upward revisions to March data sparked a sharp rise in the 10-year Treasury yield. It spiked to a seven-year high of 3.09% Tuesday and was at that level Wednesday.Retail stocks will be in the headlines in coming days as several top performers in the sector will be out with out with earnings. Results from Walmart (WMT) are due Thursday before the open. Nordstrom (JWN) reports Thursday after the close. Results from Kohl's (KSS), Urban Outfitters (URBN), TJX Companies (TJX), Ross Stores (ROST) and Best Buy (BBY) will be out next week.The Nasdaq composite was up 0.8%, helped by strength in Micron Technology (MU) and Western Digital (WDC). After reclaiming its 50-day moving average Monday in light volume, shares of Micron surged 4.5%, helped by positive comments from RBC Capital Markets. Competitor Western Digital gained just over 4%.The Dow Jones added 0.3% and the S&P 500 picked up 0.6%. The Russell 2000 small-cap index outperformed, rising 1.2%. It was poised for an all-time closing high. Volume on the NYSE and Nasdaq was tracking close to Tuesday's levels compared to the same time yesterday.In stock market results today, Macy's (M) was a nice winner on strong earnings and bullish guidance. It recently flashed a sell signal from a 31.14 buy point. But shares reversed above the 50-day moving average Tuesday and gapped up Wednesday, improving its technical picture dramatically. Shares jumped 11% to 33.28.Also in the retail space, Boot Barn (BOOT) gapped up powerfully after a recent breakout. Shares popped 13% to 24.91. Headed into Wednesday, it was already extended from a buy point at 20.41.Meanwhile, Cisco Systems (CSCO) was poised for its fourth straight decline ahead of its earnings report after the close. It's still near highs but just below a 46.26 buy point.Among the day's breakouts, Nike (NKE) jumped over a 70.35 buy point, rising 2.7% to 71.35.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseIn the financial sector, T. Rowe Price (TROW) gapped out of consolidation with a 120.17 buy point. Strength was fueled by upgrades from Deutsche Bank and Credit Suisse.RELATED:Macy's Crushes Q1 Earnings Forecasts, Lifts Full-Year ViewsWhy Investor Interest Is High In This IPO TonightTop Investors Bet Against Buffett With With These Stock BuysOption Trading: Is Another Turnaround Quarter In Store For Cisco Systems?  
"
9,TROW,"The premise for this Retirement Planning Guide 2018 is straightforward. Plan for a retirement that lets you do what you want, when you want. That might entail not working at all, working less in the same field or striking out in a whole new dream career.But how do you go about it? And perhaps most important, how can you afford your dream?The short answer is start early and save heavily. While you're saving and investing, come up with a comprehensive plan that will carry you to a comfortable retirement, whichever form it takes.IBD's Retirement Planning Guide 2018 helps you answer those questions in more detail. Stories in this retirement planning guide cover such issues as how to create the best retirement plan. You'll also find an estate planning checklist and coverage of the best places to retire, working after retirement and how to deal with Social Security.""Many articles advise, now that you're retired, you should do something exciting,"" said Natalie Choate, an attorney with the Boston law firm Nutter McClennen & Fish. You should get out of your comfort zone by skydiving or buying a motorcycle or taking a jungle safari. Or so they say.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseChoate, whose classic book, ""Life and Death Planning for Retirement Benefits,"" is in its 7th Edition, has a different message and a different method. Before stepping out of that airplane, run through your estate planning checklist. These list items will include a will, living trust, power of attorney and advance health care directive.""Take a minute or a rainy weekend and do something boring,"" she said. ""Find and organize all your retirement plan records. You can save yourself and your heirs a lot of trouble (and money) just by doing some paperwork.""Such paperwork can indicate how far along you are in lining up the funds for your retirement. ""Retirees have more responsibility now,"" said IRA expert Ed Slott, founder of IRAhelp.com. ""In the past, more people had pensions. Now people have 401(k)s and IRAs, which they must manage to last for a long retirement.""Now that 401(k)s and IRAs have largely replaced traditional private-sector pensions, it's a new era when it comes to retirement.  And that takes new thinking. It's no longer automatic to plan to retire at 65, receive Medicare and Social Security benefits, and live on income from investment interest and dividends.In 2018, the retirement age spectrum stretches from the 40s to the 70s and even beyond. With so many opportunities, it all depends on how you want to shape your life.Never before have there been so many tools at your disposal to build a financially independent life, as early as you want. Retirement vehicles include 401(k)s and IRAs — both regular and Roth versions — annuities and separate accounts. You can get referrals or search online for a financial advisor to help you plan for retirement.Your employer's 401(k) plan likely offers education on how to get started, build up your savings and maintain your nest egg in these tax-advantaged accounts. Fund companies and award winning stock brokers like Fidelity Investments, Charles Schwab (SCHW), T. Rowe Price (TROW), TD Ameritrade (AMTD) and TradeStation offer tons of educational material. Their associates offer various levels of assistance in opening accounts and setting up a financial plan.But it all begins with savvy retirement planning, and this Retirement Planning Guide 2018 has the information you'll need for a personalized notes-to-self memo.The actions you take today will have a critical, lasting impact on how you live in retirement. It starts with a plan and a knowledge of how to put that plan into action to achieve your financial goals.Smart investment planning underpins having enough money in retirement. Investing on a regular schedule, especially through automatic withdrawals into a tax-deferred retirement account such as a 401(k), can create an effective and effortless strategy to build up retirement savings.Today's investment scene presents some daunting challenges. Stocks are near record levels, raising fears that we could see a repeat of the retreats investors experienced in 2000 and 2008.Such pullbacks can put stocks ""on sale,"" as they have in the past, for investors with many years before retirement. Millennials — investors now in their 20s or 30s — might do especially well if they can overcome their fears (and their student loan debt) to stick with stocks.But people who are near or just starting retirement are at greater risk from a steep market pullback in the next year or two. Decades' worth of savings could be wiped out and never fully replaced, if they are drawing down their portfolio.Near and new retirees can avoid this risk by switching to cash, but yields are puny now. Taking a middle ground might be prudent.""During bull markets, like the one we have been experiencing, clients often forget the importance of holding fixed income in their portfolios,"" said certified financial planner Robert Westley, a vice president and wealth advisor at Northern Trust in New York. He added that retirees should have enough fixed income to support their spending needs for a number of years in the event of a market drop.An allocation to fixed income may help to keep retirees from having to sell equities at depressed values, so they can ride out a market downturn. ""Investors should utilize prudent asset location planning when determining where to hold their target equity and fixed income exposure,"" Westley said.""Asset location planning consists of considering the different tax characteristics of asset classes and the vehicles or accounts where they are held in order to gain a better after-tax rate of return,"" said Westley, who is a CPA/PFS and serves on the AICPA's Personal Financial Specialist Credential Committee. For example, corporate bonds and corporate bond funds that generate ordinary interest income are best held in a tax-deferred retirement account while municipal bond holdings that pay federally tax-free income work better in a taxable account.The more things change, the more they stay the same. That includes perennial worries about the future of Social Security.Meanwhile, the dependence of many retirees on Social Security also remains the same. With sub-3% yields on 10-year Treasury notes now, annual cash flow of, say, $25,000 from Social Security equals more retirement income than $800,000 of those Treasuries. With favorable taxation and inflation protection as well as lifetime payouts, Social Security still addresses key retiree concerns, so it's well worth the effort to keep up with tactics to boost benefits.What's more, the rules on mixing earned income with Social Security benefits have been eased. Our story about working after retirement shows you how to pick up extra income or pursue a dream career yet still get a full payout from Uncle Sam.For many people, retirement equals relocation. This special report's article on where to live after retirement explores what you need to know about where to call home, from staying put (familiar surroundings) to moving within the U.S. (retirement communities) to living abroad. These days, smart technology that uses sensors, cameras and Bluetooth is helping retirees keep their homes but at the same time increase their mobility.What's more, as Slott, a CPA in Rockville Centre, New York, put it, ""Taxes are the single biggest factor in how much you can spend in retirement."" The recently enacted Tax Cuts and Jobs Act of 2017 increased the tax pressure to cross state lines for many retirees.Previously, taxpayers might have been able to deduct all of their state and local tax (SALT) from their income, on federal tax returns. Now SALT deductions are capped at $10,000 a year. This limit may cause many people, especially retirees who aren't work-bound to high-tax states, to go where they can reduce their SALT outflow.""The new tax law also affected IRAs,"" Slott said. The impact will be felt when people convert tax-deferred traditional IRAs to Roth IRAs, which eventually may deliver tax-free cash flow. The low tax rates in the new law can reduce the tax from such conversions.But Roth IRA conversions can't be undone, as they have in the past. ""The IRS recently explained that conversions from 2017 can be reversed, completely or partially, until this Oct. 15,"" said Slott. A reversal might make sense if the IRA owner doesn't want to pay the full amount of the tax, say, or if the account has lost value.""From now on, this type of recharacterization won't be allowed,"" Slott said. So Roth IRA conversions might be best implemented late in the year, when they may be calculated to qualify for a relatively low tax rate.The new tax law also increased the federal estate tax exemption to about $11 million. Thus, fewer retirees will have less to worry about in estate tax planning.That said, this special report's estate planning checklist story goes over what documents you need in order to make your assets transfer as intended.Attorney Choate urges retirees to make sure retirement plan and other beneficiary designations are up to date. ""Review them with your estate planning lawyer and make sure you and the plan administrator agree on who is the beneficiary,"" she said.Your assets generally will flow to the beneficiary of record, even if your will says otherwise.Therefore, this Retirement Planning Guide 2018 offers a powerful lineup that can help you make a smooth transition from workforce to work-free or work less.There's also an article describing what IBD's CAN SLIM investment program can do for your retirement account before and after you retire. And check out the Q&A with prominent financial advice expert Ric Edelman.From start to finish, this special report will help you create and maintain a financial plan that can help to ensure your financial success, even after the paychecks stop.RELATED:Are Stocks Going Up? 
"
