,ticker,content
0,UAA,"When looking for the best stocks to buy and watch, focus on those with rising relative price strength. One stock that fits that bill is Under Armour (UAA), which had its Relative Strength (RS) Rating upgraded from 79 to 86 Thursday. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.IBD's unique RS Rating tracks market leadership by using a 1 (worst) to 99 (best) score that indicates how a stock's price action over the last 52 weeks matches up against other publicly traded companies. Over 100 years of market history shows that the best stocks tend to have an RS Rating of over 80 as they begin their biggest runs.Looking For Winning Stocks? Try This Simple RoutineUnder Armour is now considered extended and out of buy range after clearing an 18.85 buy point in a first-stage consolidation. See if the stock forms a new pattern or follow-on buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week moving average. Top and bottom line growth moved higher in the company's most recent quarter. Earnings were up 200%, compared to 0% in the prior report. Revenue increased from 5% to 6%. The company holds the No. 16 rank among its peers in the Apparel-Clothing Manufacturing industry group. Canada Goose (GOOS), Columbia Sportswear (COLM) and Oxford Industries (OXM) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Which Stocks Are Showing Improved Technical Action?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,UAA,"When considering what names to put on your watch list, look for stocks with an 80 or higher RS Rating. Under Armour (UAA) just cleared that benchmark with an upgrade from 72 to 87. X When you're researching the best stocks to buy and watch, be sure to pay attention to relative price strength.This exclusive rating from Investor's Business Daily identifies market leadership with a 1 (worst) to 99 (best) score. The score shows how a stock's price performance over the trailing 52 weeks holds up against all the other stocks in our database. Decades of market research shows that the market's biggest winners tend to have an RS Rating north of 80 as they launch their biggest price moves.Looking For The Best Stocks To Buy And Watch? Start HereUnder Armour is building a consolidation with an 18.85 buy point. See if the stock can clear the breakout price in heavy trade. Earnings grew 200% last quarter, up from 0% in the prior report. Revenue also increased, from 5% to 6%. Under Armour holds the No. 15 rank among its peers in the Apparel-Clothing Manufacturing industry group. Columbia Sportswear (COLM), Canada Goose (GOOS) and PVH (PVH) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,UAA,"Nike (NKE) earnings and sales easily topped views after the close Thursday, while North American sales grew 3%, bucking three straight quarters of declines. Meanwhile, Nike announced a $15 billion buyback. Nike stock soared to a record high early Friday.Nike earnings rose 15% to 69 cents a share as revenue grew 13% to $9.79 billion. Analysts expected EPS of 64 cents and sales of $9.39 billion, according to Zacks Investment Research.Nike also announced a $15 billion share buyback program.Nike stock vaulted 11.4% to 79.88 early Friday, blasting to a record high. On Thursday, shares closed up 0.5% to 71.70 in the stock market today, finding support at the 50-day line.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseNike stock broke out of a flat base with a 70.35 entry in mid-May. Nike briefly was extended before descending back into the buy zone. It's one of the top performers on the Dow Jones industrial average in 2018, and likely will be the best blue-chip stock after Friday.Nike has been making a shift in its retail strategy in a bid to differentiate its products at a brick-and-mortar level. But Piper Jaffray analysts say Adidas (ADDYY) sees that as an opportunity to snap up shelf space.""Overall, we believe NKE's Q4 results will showcase varying degrees of incremental progress across product, customer engagement, and speed to market, with product showing the most improvement,"" wrote Canaccord Genuity analyst Camilo Lyon in a note to clients last week, raising his price target to 73 from 62. ""Furthermore, we expect this progress to continue into (fiscal 2019).""But he noted that a pullback in Jordan brand volume has created a ""significant sales headwind"" in the near term, even if it's still a positive for the long-term health of the brand.At a management level, Nike has been grappling with the aftermath of its #MeToo moment and a slew of executive departures, amid reports of a corporate culture unwelcoming to women. Look for further commentary from CEO Mark Parker on what Nike has done to address those issues.Adidas stock rose 2.4%. Under Armour (UAA) stock edged up 0.8%.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MIGHT BE INTERESTED IN: FIFA Fever: It's Really These Two Teams Vying For The World CupNike Rival Adidas Says This 'Massive Category' Is Growing The FastestAdidas' U.S. Boss Talks Amazon, Retail Strategies, And Kanye's Real ImpactStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth StocksLooking For The Best Stocks To Buy And Watch? Start Here
"
3,UAA,"In a welcome move, Under Armour (UAA) saw its Relative Strength Rating rise from 68 to 71 on Wednesday. X When looking for the best stocks to buy and watch, keep a close on eye on relative price strength.IBD's unique RS Rating identifies technical performance by using a 1 (worst) to 99 (best) score that shows how a stock's price action over the trailing 52 weeks compares to other publicly traded companies. Decades of market research shows that the top-performing stocks typically have an RS Rating of at least 80 in the early stages of their moves. See if Under Armour can continue to show renewed price strength and clear that threshold. See How IBD Helps You Make More Money In StocksNow is not an ideal time to jump in since it isn't near a proper buy zone, but see if the stock manages to offer and clear an appropriate buy point.Earnings-per-share growth dropped last quarter from -24% to -104%, but sales rose from -4% to 5%. The company earns the No. 18 rank among its peers in the Apparel-Clothing Manufacturing industry group. Canada Goose (GOOS), Carters (CRI) and Columbia Sportswear (COLM) are among the top 5 highly rated stocks within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,UAA,"Nike (NKE) earnings and sales are due after the close Thursday, and the world's dominant athletic apparel brand will be expected to address the question of whether its primacy in North America is under any threat.Sales in the U.S. and Canada have declined, year over year, for the last three straight quarters. On the most recent Nike earnings call in March, Chief Executive Mark Parker pointed to a ""reversal of trend"" happening in the fourth quarter (the period to be reported on Thursday), an expected inflection point that comes as Nike rethinks its retail distribution and focuses on online commerce.Analysts polled by Zacks Investment Research expect Nike earnings to grow 7% to 64 cents, on an 8% increase in revenue to $9.39 billion.Within the North America segment, footwear sales have been leading declines. Nike has expressed confidence in its new products, however, including the VaporMax, Air Max 720 and Epic React, as it looks to fend off Adidas' (ADDYY) resurgence in recent years.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAs Nike pulls itself away from ""undifferentiated, mediocre"" retail outlets, Adidas sees an opportunity, says Piper Jaffray analyst Erinn Murphy.""Overall, management sees the (North American) marketplace cleaner in 2018 and anticipates their growth in the region to be led by shelf-space expansion within existing distribution (12k doors vs. >24k for NKE) as the brand is fully distributed in about 10% of its footprint,"" she wrote last week. ""Adidas sees any proactive Nike distribution reduction as a windfall for them.""Shares were down 1.5% at 72.35 on the stock market today amid a broad market retreat sparked by fears of a spiraling trade war. Nike is now back in buy range after clearing a 70.35 entry point from a flat base and rising into extended territory by early June. Adidas dropped 1.8%, while Under Armour (UAA) dipped 0.3%.Still, even if U.S. sales are sluggish, Nike earnings may not see much downside. At its investor day last October, Parker said he expects nearly 75% of the company's growth to come from outside the U.S., and maintained that the company would hit $50 billion in revenue within its five-year target. Nike's greater China segment has been outperforming other units, and sales in Europe are solid.""Outside the U.S., while growth remains strong, Nike is likely taking share in Europe while sustaining (positive double-digit) growth in China,"" wrote Wedbush analyst Christopher Svezia on June 14.He raised his price target to 82 from 75 on the expectation that Nike will exceed estimates throughout fiscal 2019 due to accelerating growth in North America and possibly abroad, among other factors.But Nike's exposure to China also represents a risk, as President Trump escalates a trade war with the world's No. 2 economy.While Beijing's use of retaliatory tariffs on the U.S. may not affect Nike's Asia-based production, the government can still make business difficult via regulatory moves.Government officials also could call for a boycott of U.S. goods, for example, impacting companies like Nike, Starbucks (SBUX) and Disney (DIS), which have a big presence in the country.Meanwhile, Nike is likely to field questions about its slew of executive departures, which number close to a dozen, in the wake of its #MeToo moment and reports of a ""boy's club"" working environment.YOU MIGHT BE INTERESTED IN: Nike, Marijuana Earnings Due; Big Bank Payouts: Investing Action PlanFIFA Fever: It's Really These Two Teams Vying For The World CupNike Rival Adidas Says This 'Massive Category' Is Growing The FastestAdidas' U.S. Boss Talks Amazon, Retail Strategies, And Kanye's Real ImpactStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth StocksLooking For The Best Stocks To Buy And Watch? Start Here
"
5,UAA,"Goldman Sachs thinks Brazil's in line for the throne. UBS analysts have their money (well, maybe not literally) on Germany. As the 2018 FIFA World Cup approaches on Thursday, 32 teams are vying to win it all in Russia. But on their jerseys, the competition is much less broad. Adidas (ADDYY) and Nike (NKE) are once again going head to head for brand dominance on the field.Adidas has a more official presence, being a World Cup sponsor and all, not to mention the provider of the match ball, the new ""Telstar 18.""And with 12 teams wearing its kits, the No. 2 global athletic brand is outfitting the most teams in the tournament, including Spain, Colombia, Argentina, Mexico, Egypt, Sweden, Japan, host country Russia and defending title holder Germany.Domestically, soccer (aka football everywhere else) is a bit of a snoozer Stateside — the Americans were shut out of the World Cup. That means more muted interest this time around.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseBut as the world's favorite sport, it remains a driver of growth for Adidas. The Germany-based company said in early May that its running, football, training and Adidas Originals categories each grew by double digits, helping to drive an overall 11% revenue increase within its Adidas brand.Meanwhile, Nike has 10 teams on its World Cup roster: Brazil, England, France, Australia, Saudi Arabia, Croatia, Nigeria, Poland, Portugal and South Korea. CEO Mark Parker is ""excited about the impact of the upcoming World Cup"" on its Europe, Middle East and Africa segment, he told analysts on the call in March.The tournament hasn't even begun yet, but it is not without controversy. Nike said last week that it would not provide cleats to Iran's national soccer team amid renewed U.S. sanctions against the country. Jersey-wise, the Iranian players will wear Adidas; the Three Stripes is not an official sponsor, but sold uniforms to the team at a steep discount, according to CNBC.A handful of smaller Adidas and Nike rivals (some much smaller) will also be on the pitch. Puma is outfitting Switzerland, Serbia, Senegal and Uruguay. Panama and Costa Rica are wearing New Balance. Peru and Tunisia's teams will take the field in Umbro and Uhlsport, respectively. Denmark's jerseys are made by Hummel, and Iceland's by Errea.Making a mark on the world stage doesn't come cheap, though the expenses are no doubt familiar and seemingly necessary for any athletic brand that wants to maintain its presence in the sport. Adidas plunks down a reported $70 million per World Cup for the honor of official sponsorship. Both major players are on a marketing tear, with Nike rousing the fans in Brazil and Adidas blasting out a star-studded commercial featuring soccer stars Lionel Messi, David Beckham and others.The ultimate question, of course, is to what extent their efforts will drive more sales of kits and footwear. Four years is a long time between events, and technology has changed the way people shop, even since 2014.""The speed of change with consumers has accelerated over the last four years,"" said Susquehanna analyst Sam Poser. It's not just about what the message is, he said, but how the message is delivered — and ultimately how that translates to the cash register.Bloomberg says both brands together sold nearly $5 billion in soccer gear in 2016. Adidas has lower expectations for this World Cup vs. the previous one.""There is no doubt that the Russian event or the World Cup in Russia does carry lower financial opportunities than the similar event four years ago in Brazil,"" said Adidas CEO Kasper Rorsted on the company'st most recent earnings call. ""At the same time, we're looking forward to it, it's going to be a fantastic way of bringing our brand to life globally.""Still, he told Bloomberg that he expects Adidas shirt sales, which hit 8 million in 2014, to be even greater this time around.And analysts at HSBC expect the World Cup to be a positive for Nike, Adidas and Puma.""Even if soccer is not a dominant category for any, the upcoming World Cup in two months will likely provide a halo impact on the sector,"" said analyst Erwan Rambourg in an April note.Nike shares fell 0.4% on the stock market today. Adidas stock retreated 1.5%. Under Armour (UAA), which will have no official presence on the field, sank 0.4%.YOU MIGHT BE INTERESTED IN: Nike Rival Adidas Says This 'Massive Category' Is Growing The FastestAdidas' U.S. Boss Talks Amazon, Retail Strategies, And Kanye's Real ImpactBroadcom, IBD 50's Adobe, Recent IPOs To Report: Investing Action PlanStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth StocksLooking For The Best Stocks To Buy And Watch? Start Here
"
6,UAA,"Dick's Sporting Goods (DKS) turned in a beat-and-raise quarter Wednesday morning, sending shares spiking while also boosting Under Armour (UAA) and Nike (NKE).Profit in the first quarter grew 9% to 59 cents a share while revenue rose 5% to $1.91 billion, well above analyst views for EPS of 42 cents on sales of $1.88 billion. E-commerce sales rose 24%.Consolidated same-store sales fell 2.5%; not adjusted for a calendar shift, comps dipped 0.9%. Consensus Metric analysts had expected a 1.4% decline in same-store sales.The athletic apparel and goods retailer also raised its full-year EPS guidance to $2.92-$3.12, up from prior outlook for $2.80-$3. The midpoint of current guidance is higher than consensus for $2.93 a share in 2018.Shares rocketed 26% to 38.35 on the stock market today, trading back at July 2017 levels and retaking support at the 50-day moving average in heavy volume. The stock had been hitting some resistance at the key level since mid-April, dipping below the longer-term 200-day at points.Under Armour and Nike, two brands carried by Dick's Sporting Goods stores, rallied 3.5% and 1.85%, respectively.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe earnings lift is being felt throughout the athletic brand space. Smaller sporting goods retailer Hibbett (HIBB) rose 4.4%, retaking its 50-day after an earnings miss last week.Foot Locker (FL) was flat at 54.56 as it continues to trade in buy range after breaking out of an area of consolidation on Friday on the back of surprise quarterly profit growth. The stock cleared a 53.27 buy point to get there.YOU MIGHT BE INTERESTED IN: Boot-ilicious Results: Ugg Parent Decker Outdoors Jumps After Stomping On ViewsNike Scores On China's Basketball Boom, But Competition Rises At HomeNew Option Strategy Limits Risk Around EarningsIndexes Gain Early As Salesforce.com, Movado, Dick's Rise On Earnings
"
7,UAA,"Nike's (NKE) corporate culture was reportedly such that male executives could pursue sexual relationships — sometime extramarital — with subordinates without fear of repercussion, while women did not escape unscathed, according to a report Wednesday.XFormer employees at the world's biggest athletic apparel brand told Bloomberg that women in such relationships experienced negative consequences, like being reassigned, while the men largely avoided punishment.Nearly a dozen Nike execs, including one woman, have stepped down over the last two months amid surfacing allegations of workplace misbehavior and a ""boy's club"" atmosphere. The names of another five managers came to light Tuesday: Steve Lesnard, Tommy Kain, Helen Kim, Simon Pestridge and Ibrahem Hasan.Women were subject to derogatory nicknames by one supervisor, said a Bloomberg source. Female employees sometimes participated in bullying behavior too. The outlet also noted that top exec Trevor Edwards, longtime Nike Brand president until he stepped down in March, ""had a reputation for humiliating subordinates in meetings,"" and his behavior was mimicked by others.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""There are a lot of very talented people deeper in the organization who have been marginalized both by senior and middle management trying to protect their domain,"" former Nike exec Shaz Kahng told Bloomberg.According to the Wall Street Journal, the recent departures conclude the first part of Nike's internal investigation into workplace complaints. The review was initially spurred by disquiet from within the company that resulted in an informal survey tracking concerns from Nike's female employees.Shares of Nike were down 0.7% at 67.95 in the stock market today, but found support at their 50-day line again. Under Armour (UAA) stock lost 0.2%. Adidas (ADDYY) lost 1.4%.It's not clear yet to what extent the scandal will impact Nike's revenue or its relationship to its women customers, but some analysts have already been pointing to the longer-term consequences.""The executive departures could be more disruptive than most appreciate,"" wrote Susquehanna's Sam Poser on April 19, noting that the changes in leadership are for the best, but will leave talent gaps in the company.""While we believe there is talent that can step into the vacated roles, the contributions of the departing executives will not easily, nor quickly, be replaced,"" he said.YOU MIGHT BE INTERESTED IN: This Smart Clothing Could Transform Wearables — And Your WardrobeNike CEO Apologizes To Employees For Corporate CultureUnder Armour Is Threatened By This 'Ticking Time Bomb': AnalystDow Stumbles In Morning Trade As This IBD 50 Stock Takes An Earnings HitNike Upgrade Echoes This 'SNL' Athleisure Spoof; Under Armour JumpsThe '90s Are Back And Bringing These Brands With Them
"
8,UAA,"Sneaker chain Foot Locker (FL) and sporting goods retailer Hibbett Sports (HIBB) reported first-quarter earnings before the open Friday. Foot Locker topped views while Hibbett Sports fell short on earnings and revenue.XEstimates: EPS for Foot Locker to drop 8% to $1.25, marking its fifth consecutive decline, as revenue dips 1.3% to $1.97 billion, according to Zacks Investment Research. Same-store sales are expected to drop 3.6%, Consensus Metrix estimates.Results: Foot Locker reported a surprise earnings rise to $1.45 a share vs. $1.36 a year earlier. Revenue rose 1.5% to $2.03 billion. Same-store sales dipped 2.8%.Stock: Foot Locker shares leapt 20.3% to 55.81 on the stock market today, blasting through a 53.27 consolidation buy point. Nike (NKE), which makes up more than 60% of Foot Locker's merchandise, climbed 0.1%. Adidas (ADDYY) fell 1.1%. Under Armour (UAA) rose 1.3%.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseFoot Locker had already sounded cautious on Q1 results, saying they would continue weakness seen in Q4.Wedbush Securities analyst Christopher Svezia was upbeat ahead of the report, pointing to easier comparisons in the second half of the year, a moderating promotional environment, stabilizing Jordan distribution during the important back-to-school sales period, stronger product from Nike and gathering momentum in other brands.""Strong full-price sales should generate positive merchandise margin in (the second half of the year) and more than offset higher store labor, supply chain costs, and e-commerce investments,"" Svezia said.""We like the story going into 2018 as FL works diligently on savings, takes a balanced corresponding incremental sales for investment approach, enhances point of sale and its supply chain, works on elevating the consumer experience with partners, and benefits from increased allocations and a better product pipeline.""Estimates: Wall Street sees EPS jumping 16% to $1.13 as revenue stays virtually static at $277 million. Same-store sales are seen rising by 1.2%Results: Hibbett earned $1.12 a share with revenue down a fraction to $274.7 million. Same-store sales dipped 0.3%.Outlook: The sporting goods retailer still sees full-year EPS of $1.65 to $1.95.Stock: Hibbett stock fell 15.6%.Hibbett Sports operates more than 1,000 stores, which are mainly located in small and midsize communities across the U.S. Its primary shop format a roughly 5,000 square foot store which draws inspiration from Walmart (WMT). They tend to be located in strip centers.YOU MAY ALSO BE INTERESTED IN:Boot-ilicious Results: Ugg Parent Decker Outdoors Jumps After Stomping On Views Nike Scores On China's Basketball Boom, But Competition Rises At Home New Option Strategy Limits Risk Around EarningsHow To Make Money In Stocks Using The CAN SLIM Investing System
"
9,UAA,"In a companywide meeting Thursday, Nike (NKE) CEO Mark Parker apologized to employees for allowing a culture in which staff felt excluded and for not taking seriously workplace complaints, according to the Wall Street Journal.The apology comes after a Journal investigation into a ""boys' club"" culture, inappropriate behavior and other hiring and workplace complaints at the global sportswear leader.The company has seen a slew of executive departures recently, starting with then-Nike Brand President Trevor Edwards in March. Other exits have included Nike's VP of diversity, VP of footwear, a senior brand director in Nike's basketball division, and a VP of digital-marketing innovation.On Monday, Nike named 13-year company veteran Amy Montagne as VP and global manager of global categories. Montagne fills the position left open by Edwards' lieutenant Jayme Martin, who was reportedly ousted from the company.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseNike shares rallied 1.8% to 68.10 in the stock market today, finding support at their 50-day line.It's not clear yet what kind of impact, if any, the recent controversy will have on sales at the athletic apparel and footwear giant or its more recent pursuit of women shoppers. But Nike is not the only company dealing with optics issues at the moment.Adidas came under fire Thursday for its handling of Kanye West's comments about slavery. West is the creator of Adidas' Yeezy brand, which does not represent a significant portion of the company's revenue but is an important element of its recent resurgence in North America as a hip brand.""Kanye has been, and is, a very important part of our strategy and has been a fantastic creator, and that's where I'm going to leave it,"" Adidas CEO Kasper Rorsted told Bloomberg TV on Thursday, adding that he would not comment on West's comments.Adidas shares fell 2.1% Friday after diving 5% Thursday on signs it's losing momentum in North America. Under Armour (UAA), which has been fading from the foreground amid inventory issues that some analysts call a ""ticking time bomb,"" was flat Friday after sinking 5% Thursday.YOU MIGHT BE INTERESTED IN: Under Armour Is Threatened By This 'Ticking Time Bomb': AnalystDow Stumbles In Morning Trade As This IBD 50 Stock Takes An Earnings HitNike Upgrade Echoes This 'SNL' Athleisure Spoof; Under Armour JumpsThe '90s Are Back And Bringing These Brands With ThemNike Scores On China's Basketball Boom, But Competition Rises At HomeRetail & E-Commerce Stocks And Industry News
"
