,ticker,content
0,UHS,"Citigroup (C) and Wells Fargo (WFC) were upgraded to outperform Wednesday, while Tenet Healthcare (THC) and United Health Services (UHS) were started at buy, and Teradyne's (TER) price target was hiked.Keefe, Bruyette & Woods upgraded Citigroup and Wells Fargo to outperform, setting a price target of 69 on Citigroup, which reports earnings next week, and a price target of 63 on Wells Fargo.The analysts cited an expected increase in Citigroup's capital returns and a decrease in uncertainty over Wells Fargo's sales scandal.Citigroup stock lost its gains and ended the day down 0.2% to 59.59 on the stock market today. Shares in Wells Fargo also reversed to close down 0.4% to 54.98.RELATED:JPMorgan, Goldman Sachs Lead Bank Stock Rally, But Not For LongCitigroup hiked its price target on Teradyne to 39 from 32.""We are increasing our target price on higher collaborative robots (cobots) sales and multiple expansion,"" said Citigroup analyst Atif Malik in a report. ""Our work with Citi industrials team suggests cobot market could exceed 1.5 billion or above TER's $1 billion projection in 2020. Moreover, President's Trump's 'America First' policy that calls for an increase in American manufacturing will have a positive effect on the robotics industry, including the proliferation of cobot.""Shares in Teradyne climbed 1.8% to 31.73.RELATED:Next-Gen Robots Poised To Enter Industrial, Commercial MarketsJefferies downgraded biotech Amgen (AMGN) to hold with a price target of 180.Amgen stock ended the session down 1.3% to 162.24 on Wednesday.RELATED:Biotech ETFs Defy Trump Tweets To Rally, But What Can Send Them Higher?Deutsche Bank initiated coverage of medical, hospital and insurance stocks with buy ratings on Tenet, United Health Services, HCA Holding (HCA), Acadia Healthcare (ACHC), Cigna (CI), UnitedHealth Group (UNH), and Centene (CNC). Deutsche Bank set a price target of 28 on Tenet, and a PT of 145 on United Health Services. The brokerage set a price target of 183 on United Health Group, and PTs of 84 on Centene and 172 on Cigna. HCA Holding's price target is 103.UnitedHealth Group stock rose 0.2% to 165.37. Tenet jumped 3.2% to 17.53, and United Health Services gained 0.5% to 123.65.RELATED:TrumpCare Is Back: Dow Inches Ahead As Pivot To Tax Cuts Is Put On HoldIn other analyst moves, JPMorgan upgraded McCormick & Co. (MKC) to neutral with a buy point of 96, Stifel hiked Hasbro's (HAS) price target to 95 from 90, and B. Riley initiated Acadia Communications (ACIA) at neutral.
"
1,UHS,"Stocks bets against a successful Trump presidency did nicely on Monday after his first big legislative initiative ended in massive failure.After the flop of RyanCare, which died on Friday before it even came to the House floor for a vote, hospital operators HCA Holdings (HCA) and Universal Health Services (UHS) were the best-performing S&P 500 issues.Shares of HCA jumped 5.2% and Universal Health surged 3.35% on the stock market today, while Tenet Healthcare (THC) closed up 1.4%, amid relief that House Speaker Paul Ryan's plan to slash Medicaid spending has been tabled. Centene (CNC), a Medicaid-focused insurer with a big presence on the ObamaCare exchanges, gained 2.2%, and rival Molina Healthcare (MOH) rose 2.75%, as it continued to recover from a 30-month low hit early last week.But health care stocks weren't the only group expected to suffer under Trump's policies that were shining on Monday.Gold miners also rose as the precious metal appreciated to a one-month high on Monday. Newmont Mining (NEM) gained 1.3% and Royal Gold (RGLD) 2.4%. Gold prices perked up as the dollar and 10-year Treasury yield extended their recent declines amid doubts about President Trump's ability to deliver the promised fiscal fuel of tax cuts and infrastructure spending. IBD'S TAKE: The quick and sudden flop of RyanCare proved that President Trump knows how to cut losses. Expect him to do the same with deficit-neutral tax reform and quickly shift to old-fashioned, deficit-increasing tax cuts.Meanwhile, industrial commodity stocks were among the bigger losers amid concerns that faster growth might not materialize to improve the supply-demand balance.Copper miner Freeport-McMoRan (FCX) fell 4.7%, while oilfield services giant Halliburton (HAL) lost 3.3%. Morgan Stanley (MS) shed 2.1% as falling market interest rates weighed on the entire financial sector.Most big health insurer stocks were lower on Monday, which might seem surprising after the demise of Ryan's plan that was estimated to shrink the ranks of the insured by 24 million.Dow component UnitedHealth (UNH) slipped 0.2%, while Anthem (ANTM) lost 0.3%. The investor reaction may be because health insurers would have benefited from the repeal of ObamaCare's health insurance tax and a further delay of its 40% tax on employer sponsored insurance plans that exceed a so-called ""Cadillac"" threshold. Further, health insurers pay tend to pay high tax rates and stand to benefit from a big cut in the corporate income-tax rate.RELATED:Stocks End Off Lows: ObamaCare Repeal Dead, Long Live Tax Cuts?Health Care Stocks Socked Again After CBO RyanCare ScoreFreeport-McMoRan Restarts Huge Mine; Rival Miners DiveThe Trump Economy: Jobs, Regulations, Taxes And Trade
"
2,UHS,"If the market's early declines Monday were a head fake as to how stocks are poised to handle bad news, there are good reasons to be comforted. An array of industries dived to sharp, early losses on the heels of Friday's stalemated attempt at health care reform in Washington. Steel makers dived 1.8%, with Ryerson (RYI) and U.S. Steel (X)…
"
3,UHS,"Shares of hospitals and Medicaid-focused health insurers took another leg down on Friday as the divide among House Republicans over the bill to replace much of ObamaCare appeared to narrow.Among hospitals, Tenet Healthcare (THC) slid 5.3%, Universal Health Services (UHS) 1.7%, HCA Holdings (HCA) 1.3% and Lifepoint Health (LPNT) 1.8%. Medicaid-focused insurer Molina Healthcare (MOH) lost 2.5%, falling close to a 28-month low, while Centene (CNC) slipped 1.6%.Other insurers were faring better on Friday, with Anthem (ANTM) rising 0.1% and Dow industrials component UnitedHealth (UNH) 1.2%.After sinking on Tuesday after the release of the House Speaker Paul Ryan's American Health Care Act, hospital stocks had recovered the past few days. Mizuho Securities analyst Sheryl Skolnick noted that the apparent willingness of President Trump to back conservatives who want a faster phaseout of the Medicaid expansion might get the bill over the top in the House.The White House clarified Friday that it supports phasing out the Medicaid expansion after 2020, as the current AHCA would do. But that didn't help health stocks.Drug companies and biotechs including Mylan (MYL) and Teva Pharmaceutical (TEVA) also sold off on Tuesday as Ryan's bill was scrutinized. But that was likely due to a Tuesday morning Trump tweet: ""I am working on a new system where there will be competition in the Drug Industry. Pricing for the American people will come way down!""On Friday, Teva shares were up 1.3% Friday on the stock market today, while Mylan edged up 0.4%.Overall, markets were holding onto modest gains after a sizzling February jobs report. The Dow Jones industrial average, S&P 500 index and Nasdaq were all up 0.2%-0.4%, although the Dow and other major indexes were on track to break a string of four straight weekly gains.In a research note, Mizuho Securities analyst Sheryl Skolnick said the upbeat assessment from House Majority Whip Steve Scalise offers something of a wake-up call to health care investors.""It has become clear that hospital investors were assuming that there was very little chance of a draconian repeal bill passing,"" Skolnick wrote.IBD'S TAKE: The parts of President Trump's economic agenda that investors are most excited about, tax cuts and infrastructure spending, are stuck in line behind ObamaCare.That still leaves plenty of doubt about how anything resembling the House bill can get enough support in the Senate. Five GOP senators have expressed serious concerns about unwinding the Medicaid expansion, let alone on the expedited basis that House conservatives want to see.Skolnick notes that Trump's support will carry a lot of weight in the House, but that may not be as true for senators in states like Maine and Colorado, where Hillary Clinton beat Trump. In Ohio, GOP Sen. Rob Portman far surpassed Trump's vote tally.Yet Skolnick is sticking with her bottom line that repeal and replace gets done. ""To be clear, we don't think the GOP can go home in 2018 without passing repeal, no matter how bad, no matter whether it's full repeal or not.""And Skolnick does think that any bill that emerges will be bad for the hospitals she covers: ""We see increased adverse selection in the individual market, reduced Medicaid funding in the long term, collapse of exchanges that currently work and soaring numbers of uninsured as creating real potential for pressure on hospital cash flows that likely hit hospital valuations in the next two years.""RELATED:Three Reasons TrumpCare Isn't Killing Hospital, Insurer Stocks Trump Hails 'Wonderful' GOP Health Plan That Everyone Else HatesThe Biggest Puzzle About Paul Ryan's ObamaCare Repeal  
"
4,UHS,"The Dow Jones industrial average and other stocks edged lower during the latest week, digesting recent gains as oil tumbled. Health care stocks were in motion as President Trump and the GOP Congress pushed major health care changes. A strong jobs report locks in next week's Federal Reserve rate hike. Snap (SNAP) retreated in its first full week.The Dow Jones industrial average, S&P 500 index and Nasdaq composite fell modestly for the week, as plunging oil prices weighed on energy stocks, including Dow components Exxon Mobil (XOM) and Chevron (CVX). Investors didn't appear fazed by a likely Federal Reserve rate hike in the coming week. Treasury yields closed in on recent peaks, but homebuilders were among the stronger groups. Fiber optic stocks sold off on weak earnings from Ciena (CIEN) and Finisar (FNSR). Ulta Beauty (ULTA) hit a new high on blowout same-store sales and e-commerce gains. Snapchat parent Snap fell back while Facebook (FB) hit a new high and China's Momo (MOMO) soared on earnings. did well.U.S. oil futures tumbled 9.1% for the week to $48.49 a barrel as a U.S. shale revival is offsetting OPEC-led production cuts. U.S. crude stockpiles surged by 8.2 million barrels to an all-time high while U.S. production continued to ramp up and the number of rigs in operation continued to climb Saudi Arabia reportedly warned top U.S. shale producers at IHS' CERAWeek not to automatically expect an extension of the OPEC output deal. Saudi and other OPEC officials had been trying to convince markets that they will hold firm on cuts, but that's only encouraged U.S. shale producers to race in to fill the gap.Royal Dutch Shell (RDSA) CEO Ben van Beurden said oil demand could peak as early as next decade but Chevron (CVX) CEO  John Watson said that peak demand is ""wishful thinking."" BP (BP) CEO Bob Dudley said Russia is ""very misunderstood"" and is a good business investment. Shell agreed to sell the majority of its Canadian oil sands assets and Exxon Mobil (XOM) bought natural gas assets off the shore of Mozambique. BP and Russia also announced natural gas expansion hopes during the conference.RELATED:The U.S. economy added 235,000 jobs in President Trump's first full month in office, while the unemployment rate dipped to 4.7%. Meanwhile, average hourly earnings rose 2.8% from a year ago, just a tad behind the fastest growth of the recovery. The Federal Reserve had already telegraphed a near-certain rate hike on March 15 before Friday's report confirmed the second straight month of stellar job gains. Job gains were lifted by warm weather, which fueled a 58,000 rise in construction employment. Yet enthusiasm about the Trump agenda of deregulation, tax cuts and infrastructure spending has clearly been a factor behind the spurt in job growth and economic confidence. The IBD/TIPP Economic Optimism Index, though dipping slightly to 55.3 in March, remained close to February's 12-year high.The key question is whether the optimism — and strong job growth — is sustained throughout the spring, in which case the Fed's rate-hiking timetable will accelerate.RELATED:House Republicans rolled out legislation to repeal and replace much of ObamaCare, with the legislation clearing some hurdles despite opposition from various liberals, conservatives and moderates. Hospital operator, Tenet Healthcare (THC) sold off during the week amid concerns of losing paying customers. Rivals HCA Holdings (HCA) and Universal Health Services (UHS) also retreated. Insurers were mixed, with Anthem (ANTM) closing in on a 20-month peak. But Molina Healthcare (MOH) fell sharply. Meanwhile President Trump tweeted out that he's working on drug pricing, sending some drug and biotech stocks lower.RELATED:Shares of Snapchat-operator Snap (SNAP) reversed sharply following its initial public offering on March 2, when the stock jumped 44% from its IPO price of 17 on the first day of trading. The stock hit a record high of 29.44 the next day, a Friday. This past week, as Snap was showered with sell ratings, hit a low of 20.64, and then rebounded. Snap fell 18.5% for the week to 22.07. Facebook (FB), which continued to roll out features that ape popular Snapchat offerings, hit a record high.RELATED:China mobile app Momo (MOMO) hit a record high after reporting fourth-quarter earnings that beat estimates, as did its first-quarter outlook. Momo reported a 633% jump in Q4 earnings, while revenue rocketed 524% to $246 million. The Chinese internet play has thrived since introducing a paid video-sharing service to its users last year. Momo shares soared in a volatile week.RELATED:Ulta Beauty (ULTA) reported its second-straight quarter of accelerating EPS and sales growth, as e-commerce revenue soared 63%. The beauty products retailer guided low for the current quarter. Ulta shares initially fell Friday, but rebounded to close up nearly 5% in strong volume to a record high as investors downplayed Ulta's outlook as typically conservative. Meanwhile, value cosmetics maker e.l.f. Beauty (ELF) reported better-than-expected holiday results and gave bullish guidance. Its stock soared 12% on Thursday, paring gains somewhat on Friday.RELATED:LGI Homes (LGIH) earned $1.01 a share, up 35% vs. a year earlier, while revenue climbed 34% to $234.6 million. Wall Street had expected EPS of 94 cents on sales of $235.9 million. The builder sees 2017 EPS of $4-$4.50, well above analyst targets of $3.74. LGI Homes shot up nearly 13% to a five-month high Tuesday. Meanwhile, other builders such as Lennar (LEN) and KB Home (KBH) continued to advance even with mortgage rates rising.RELATED:Ciena (CIEN) and Finisar (FNSR), both reported weaker-than-expected earnings and revenue, sending both stocks plunging and putting pressure on other fiber-optic gear makers. Ciena, a maker of fiber-optic systems, said fiscal Q1 adjusted earnings per share rose 44% while revenue climbed 8% but missed analyst forecasts. Ciena's current-quarter revenue guidance midpoint is above the Wall Street consensus. Finisar, a maker of optical components, reported adjusted Q3 EPS surged 136% while revenue jumped 23% to $380.6 million, also below targets. Finisar also guided low for the current quarter.RELATED:The kid's apparel chain's earnings jumped 58%, easily beating views. Sales grew 4%, slightly below views, but same-store sales climbed 6.9%. Children's Place also gave upbeat earnings guidance. The retailer also doubled its dividend and OK'd a stock buyback program. Children's Place shares surged 18% on Wednesday to a record high. Meanwhile, apparel, department and other brick-and-mortar retailers are struggling. Urban Outfitters (URBN) fell modestly after reporting earnings and sales just below views. Express (EXPR) dived on weak guidance while men's apparel retailer Tailored Brands (TLRD) crashed on an all-around grim report.RELATED:Thor Industries (THO) got decked after RV maker reported thinner margins for fiscal Q2, and the company said it would increase spending during the fiscal year amid rising demand. REV Group (REVG), which owns a variety of RV, firetruck and ambulance manufacturers, reported a mixed fiscal Q1 but guided full-year sales just above views. REV Group also fell during the week but reversed up. Sales of RVs could pick up as the economy improves and baby boomers retire, while an aging population and needed upgrades put off during the recession could lift demand for firetrucks, ambulances and related parts.Camping World (CWH), a retailer of camping supplies, reported solid earnings but sales fell short. The stock, which came public in early October, fell 6% on Thursday, undercutting a recent buy point.RELATED:
"
5,UHS,"Health care ETFs fell on Tuesday, a day after Republican lawmakers unveiled their bill to repeal the Affordable Care Act, or ObamaCare, replacing individual and employer mandates with age-based tax credits.Stocks in the sector were broadly lower at the opening bell, contributing most to a 0.3% decline in the benchmark S&P 500.Health Care Select Sector SPDR (XLV), the bellwether exchange traded fund offering exposure to health stocks in the S&P 500, gave up 0.9% on the stock market today. Top holding Johnson & Johnson (JNJ) was among the decliners in its 61-stock portfolio.The S&P's health care sector has outperformed the broad stock market so far in 2017 as it recovers from negative political rhetoric that contributed heavily to a rough 3% decline the previous year.XLV posted a 9.5% year-to-date gain through March 6, outpacing the S&P's 6.3% advance as well as returns for SPDR stablemates investing in other S&P 500 sectors.The health sector lagged postelection but is attempting to break to new highs after rallying for five straight weeks. Trump's proposals to repeal ObamaCare and deregulate industries have stoked gains in the sector.IBD'S TAKE: Here are seven key points related to the House GOP's ObamaCare repeal-and-replace plan.For ETF investors, the biggest gains in the health care sector have come from ETFs offering exposure to the volatile biotechnology industry, but other industry groups have also posted impressive gains.Pharmaceutical ETFs lag their peers with gains of 6% to 8% so far this year.RELATED:What's Going On In The Stock Market Now?  
"
6,UHS,"The Republican plan to repeal and replace ObamaCare was finally unveiled late Monday, and analysts say it could lead to big drops in the number of insured.Under the proposed changes, 6 million-10 million Americans could lose coverage, according to estimates from S&P Global Ratings.Yet investors apparently saw little to fear from the House GOP plan that President Trump hailed as ""wonderful."" Among insurers with a big presence on the exchanges, Anthem (ANTM) closed 0.1% higher on the stock market today, while Centene (CNC) slipped 0.6% and Molina (MOH) fell 1.6%.The Dow Jones industrial average, Nasdaq composite and S&P 500 index closed down.Anthem, Centene and Molina, along with Dow component UnitedHealth (UNH), also compete in the Medicaid managed care business and have profited from ObamaCare's expansion of the program for the poor and near-poor. UnitedHealth shares fell 0.2%.Hospital stocks did see a downdraft on Tuesday, with Tenet Healthcare (THC) tumbling 7.1%. But Universal Health Services (UHS) fell a more-modest 2.2% and HCA Holdings (HCA) shed 1.3%.Given the substantial future curtailment of government funding for health coverage built into the GOP plan, one might have expected more jarring losses. Insurers will no longer stand to benefit from ObamaCare's individual and employer mandates, which would be repealed.The House plan also would revive the so-called Cadillac tax on expensive health insurance plans in 2025, with a 40% tax on insurance the exceeds a certain cost threshold. Meanwhile, the rate of growth of Medicaid spending would be curtailed to the rate of the consumer price index for medical care, down one percentage point from a preliminary version of the House bill.So why are investors taking things more or less in stride? Here are three likely reasons:1) The chances of the bill ever becoming law appear to be fairly small. Both the relatively moderate and conservative wings of the GOP have signaled problems with the House approach. It's far from clear that the Ryan and Trump plan to thread the needle.IBD'S TAKE: The fight over ObamaCare is likely to increase doubts about President Trump's ability to enact the rest of his economic agenda including tax cuts and infrastructure spending. 2) For the insurers on the ObamaCare exchanges, the GOP changes might actually stabilize things in the near term, since the bill would lower the cost of coverage for younger adults and raise it for older adults.3) The House bill keeps the Medicaid expansion intact through 2020 and only gradually phases it out afterward. While the long run matters, investors are generally more focused on earnings within the next several years. That makes sense, given uncertainty about what Washington will do. Further, the House bill would restore government funds for hospitals that treat a disproportionate share of indigent patients.RELATED:The House GOP ObamaCare Repeal And Replace Plan: 7 Key PointsHow To Replace ObamaCare And Save Social SecuritySupernus, Valeant, Endo Stocks Lose Big After Trump Drug-Pricing TweetThe Trump Economy: Jobs, Regulations, Taxes And Trade
"
7,UHS,"Leading indexes booked their third decline in four sessions Tuesday as stocks continued to consolidate below the market's March 1 high.The Dow Jones industrial average dipped 0.2%. The Nasdaq and the S&P 500 each took looses of 0.3%.  Small caps continued to outpace the general market's decline, with the Russell 2000 ending off 0.6%.The Nasdaq and the Dow industrials made a brief, late-morning foray into positive territory as Apple (AAPL) reversed sharply out of its early losses. But the Dow did not touch 21,000 and both it and the Nasdaq quickly returned to narrow losses. Apple ended up 0.1%.Preliminary data showed volume climbing on the Nasdaq and the NYSE exchanges relative to end-of-day trade on Monday.Economic news appeared to have little impact on the stock market today, although the Federal Reserve's January consumer credit estimate showed credit borrowing contracted sharply during the month.  January trade data from the Commerce Department showed the deficit widening to $8.5 billion, in line with expectations.Data Storage led the roster of industry groups, bolstered by Nimble Storage's (NMBL) 45% gain, following news that Hewlett Packard Enterprise (HPE) would acquire the company for $1 billion. Some other small plays in the group rose, possibly on takeover speculation: Pure Storage (PSTG) jumped 11%. Qualstar (QBAK) rocketed 14% higher. Shares of HPE ended effectively flat.The video game developer and cable satellite industries also marked up strong sessions.The recreational vehicle makers group dropped hard as Thor Industries (THO) dived 10% in powerful trade as investors took profits after the company reported a broadly solid fiscal second quarter. A 27% rise in earnings and a 63% revenue surge beat analyst expectations and validated management's strategy and execution of its $576 million acquisition of Jayco last year.Thor's decline broke below support at its 50-day moving average in heavy trade, and it reversed all gains from a 106.43 buy point. Both moves are sell signals.Other RV makers and suppliers also felt the undertow, with Winnebago (WGO), Patrick Industries (PATK) and Rev Group (REVG) all down more than 5%. LCI Industries (LCII) fell nearly 2%.Verizon Communications (VZ) dropped 1.2%, the only Dow stock to hit the 1% mark. Aerospace and defense contractor giant Boeing (BA) led the index with a 0.6% gain.Humana (HUM) led the S&P 500, up more than 2% in what may or may not have been reaction to the GOP health care proposal released late Monday. Among hospital stocks, Tenet Healthcare (THC) dropped more than 7%, apparently in reaction to the plan, while peers Universal Health Services (UHS) shed 2% and HCA Holdings (HCA) dipped 1.3%.Earnings season is winding down, but quarterly results are expected from Urban Outfitters (URBN), H&R Block (HRB) and others after the close.RELATED:These Pharma Stocks Are Big Losers From Trump's Drug Pricing TweetStock Market Today: Why Snap Shares Could Lose All Of Its Post-IPO AdvanceInside The IBD 50: Which Leaders Besides Thor Industries Got Thumped Hard? 
"
8,UHS,"A key House committee has proposed delaying any changes in Medicaid funding until 2020 to win over moderate Republicans as the effort to repeal and replace the major parts of ObamaCare runs into trouble.Although the ability of Republicans to bridge a wide divide between moderates and conservatives still looks iffy, especially in the Senate, the signal of retreat on Medicaid cuts had the health care sector breathing a sigh of relief.While the Dow Jones industrial average, S&P 500 index and Nasdaq composite were slightly negative as of early afternoon in the stock market today, health stocks were mostly higher.Among hospitals, HCA Holdings (HCA) closed up 1.4% at 88.53, while Tenet Healthcare (THC) jumped 10% to 20.99 and Universal Health Services (UHS) gained 2.2% to 125.58.Among insurers, Molina Healthcare (MOH) was unchanged at 49.99, and Aetna (AET) climbed 0.9% to 130.69, while Dow component UnitedHealth Group (UNH) edged up 0.5% 168.20.Drugmakers, which also have benefited from President Trump backing away from earlier threats of an intervention to bring down the high cost of prescriptions, were mixed. Dow component Merck (MRK) rose 0.8%, but Pfizer (PFE), another Dow member, ended flat.IBD'S TAKE: The difficulty of Republicans in settling on a replacement for ObamaCare is threatening to sidetrack the rest of President Trump's economic agenda, including tax cuts and infrastructure spending.The House Energy and Commerce Committee, which plays a key role in shaping health reform, will release a plan next week maintaining Medicaid funding levels until 2020, before cuts would take effect, the Wall Street Journal reported.The retreat by the House comes as GOP governors have been making their voices heard about preserving ObamaCare's Medicaid expansion. Gov. John Kasich of Ohio, who has embraced the Medicaid expansion, met with Trump a week ago and has been among the leaders of the effort.RELATED:Biotechs Leap On Trump's Calls For Innovation, Speedy FDA ApprovalTrump's Big Speech Leaves Investors With Hope, Not Much Else 
"
9,UHS,"Stocks booked broad losses Wednesday after the Federal Reserve finally pulled the trigger on its second rate hike in a decade, and guided expectations to three more increases in the coming year.The S&P 500 fell 0.8%. The Dow slipped 0.6%, while the Nasdaq shed 0.5%. Small caps tumbled hard, sending the Russell 2000 down 1.2%. Preliminary data showed volume on the NYSE coming in higher than Tuesday's level. Nasdaq volume fell slightly.Markets hunkered down ahead of the 2 p.m. ET announcement, then turned sharply lower after 2:15. The downside also received an assist from oil prices, which veered 4% lower on news that the Organization of the Petroleum Exporting Countries increased its production in November.That sent ExxonMobil (XOM) down 1.9%, the worst loss among Dow stocks. Energy issues took four of the five worst losses among S&P 500 listings.But at the bottom of the S&P 500 heap was Universal Health Services (UHS). The hospital operator dived 8% in huge trade after Raymond James downgraded the stock to market perform, from outperform. The report cited Sen. Chuck Grassley's request for an update on a federal investigation of the company.Hospital peers Tenet HealthCare (THC) and HCP (HCP) dropped more than 4% each.Nvidia (NVDA) easily topped the Nasdaq 100, ending up 6% after an upgrade to buy, from hold, by Evercore ISI Group. The note also placed a 120 price target on the IBD 50 stock.  Shares remain just below Thursday's high, and extend from an early November rebound from support at its 10-week moving average.Akamai Technologies (AKAM) popped 3% after Oppenheimer upgraded shares to outperform from neutral, with a target price of 80. Akamai ended just below a 71.14 buy point in a six-week flat base.RELATED:Fed Sees 3 More Hikes in 2017; 'Fiscal Boost Not Needed,' Yellen SaysBanks Mixed Despite More Aggressive Rate-Hike View   
"
