,ticker,content
0,UPS,"Regeneron Pharmaceuticals (REGN) and Sanofi (SNY) imposed a first-ever price increase for Dupixent, a potential blockbuster eczema treatment, an analyst said Monday.Piper Jaffray analyst Christopher Raymond sees the opportunity for Dupixent upside in the second quarter as ""substantial."" Prescription trends are up almost 30% quarter over quarter, and Regeneron/Sanofi raised the list price by 3% as of June 29.""Coupling this with bullish management commentary from our recent visit as well as encouraging dermatologist survey feedback, we think Dupixent remains well-positioned to outperform expectations this quarter and beyond,"" he said in a note to clients.On the stock market today, Regeneron jumped 1.8%, to close at 351.14. Sanofi dipped a fraction, to 40.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAccording to prescription tracker IQVIA, total prescriptions of the eczema treatment are now up 27.3% quarter over quarter. For the first 12 weeks of the period, new prescriptions grew 16.7% vs. the prior quarter, Raymond said.He models $193 million in worldwide second-quarter revenue from the eczema treatment. To help this, Regeneron and Sanofi just increased the list price for Dupixent, Raymond said.This is the first price increase for the eczema treatment since its launch in March 2017. Regeneron never increased the price of eye drug Eylea over seven years. But Regeneron and Sanofi added a 5.3% increase for rheumatoid arthritis drug Kevzara in May.Kevzara's price increase makes ""this Dupixent increase a little less surprising, but nonetheless a nice tail wind to start the third quarter,"" he said.Together, volume and price growth bode well, Raymond said.""With some upside now on the pricing front, though we model flat net pricing, we are comfortable maintaining our worldwide 2018 Dupixent revenue estimate of $880 million, ahead of consensus $806 million,"" he said.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:How Much Money Do You Need To Start Investing?How To Build Long-Term Profits In Stocks? Take Many Gains At 20%-25%Long-Term Retirement Investing Strategies With ETFs
"
1,UPS,"Amazon.com's (AMZN) ever-expanding retail empire is going to need more workers and vehicles to get millions of packages to shoppers' doors. To do so, the web retailer is encouraging people to start their own delivery businesses.XFor those in the U.S. willing to strike out on their own in the service of the e-commerce giant, the Amazon delivery program will offer financial and operational support, the company says. Startup costs can be as low as $10,000. They also will get access to discounted trucks, uniforms, fuel, insurance and other resources, Amazon said.Amazon delivery capacity is an issue as it works on ways to expand. It's looked at everything from leasing its own cargo planes to experimenting with drones. It's also working on ways to move merchandise directly from merchants to consumers. The idea is to avoid overwhelming its own warehouses with inventory, documents reviewed by Bloomberg show.Amazon delivery long has relied on the U.S. Postal Service, United Parcel Service (UPS) and FedEx (FDX). It's also sought to gain more control over the logistics of package delivery, using its own technology and data-crunching abilities as well as facilities and transport to move packages around more efficiently.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""Customer demand is higher than ever and we have a need to build more capacity,"" Dave Clark, Amazon's senior vice president of worldwide operations, said in the statement.Shares of Amazon were up fractionally, near 1,672, while UPS dropped 2.5% near 105.70 and FedEx lost 2% near 225.Those who succeed in the new Amazon delivery program can earn as much as $300,000 in annual profit by operating a fleet of as many as 40 delivery vehicles, according to Amazon. They will be able to build their businesses knowing that Amazon will provide shipment delivery volume and give them access to ""sophisticated delivery technology,"" the company said.Amazon says military veterans who qualify can get $10,000 in reimbursements to start their own delivery business.Amazon has employed independent contractors in the past to handle packages, especially during busy holiday shopping periods. Individuals can also sign up for a program called Amazon Flex to deliver merchandise using their own vehicles. In the process, they can earn $18 to $25 an hour.With the new startup initiative, the online store will be able to boost its shipment capacity. Meanwhile, they can put Amazon-branded vehicles and uniforms on the streets.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED LINKS:Amazon-PillPack Deal Roils These Health Care StocksAmazon Cloud Business Takes On The World For Pentagon ContractAmazon Prime Discounts Now Available At Whole Foods Markets Across U.S.
"
2,UPS,"FedEx (FDX) stock ticked up after hours when the shipping giant beat on earnings and revenue for a third straight quarter.  FedEx stock, which has a new, lower buy point edged higher late Tuesday.Estimates: Wall Street sees FedEx's earnings per share rocketing 35% to $5.72, according to Zacks Investment Research. Revenue should climb 9% to $17.186 billion.Results: The firm reported EPS of $5.91, on revenue of $17.3 billion. On June 11 the company declared a quarterly cash dividend of 65 cents per share.Outlook: The company was unable to provide a fiscal 2019 EPS or effective tax rate outlook on a GAAP basis. However the firm is targeting revenue growth of about 9%. It sees a fiscal 2019 operating margin of roughly 7.9%. This is compared to a fiscal 2018 operating margin of 6.5%. The operating margin will be approximately 8.5% excluding TNT Express integration expenses.Stock: FedEx stock rose 0.6% to 259.95 in after-hours action. The Dow Jones Transportation Average component closed down 2% to 258.39 on the stock market today, off intraday lows of 255.29. As of Tuesday's close, FedEx stock finished a proper handle within its current consolidation, giving it a lower buy point of 266.77.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""It was a year of opportunities and challenges - anticipated and unexpected - and FedEx emerged more competitive than ever,"" CEO Frederick W. Smith said in a press release. ""In all my years at FedEx, I have never been so optimistic and so sure of our strategy and our ability to deliver an exciting future.""Rival UPS (UPS) sank 1.7%. Transport-Air Freight industry group leader Atlas Air Worldwide (AAWW) slid 1.2%. IBD Sector Leader ZTO Express (ZTO), a Chinese delivery company, tumbled 4.65%.FedEx stock is ranked second in its industry group. It holds a solid IBD Composite Rating of 86. Its EPS rating, which measures earnings-per-share growth, is a healthy 94.Cowen analyst Helane Becker, who rates FedEx stock as outperform, is expecting this quarter to be a turning point for the company following its merger with TNT Express. FedEx bought TNT for $4.8 billion in 2015 to help expand its European operations.""We believe the company will report improved margins at Ground and Freight due to solid pricing trends and ongoing volume growth,"" Becker said in a research note. ""There should be no lingering TNT issues at Express, as this quarter should mark an inflection point for margin contraction.""Meanwhile, Baird analyst Benjamin Hartford has been impressed with FedEx's performance and discipline.""FDX has executed admirably this cycle, particularly within Express (driving material EBIT margin improvement in its legacy Express network, and executing the TNT acquisition despite the cyberattack issues in June 2017),"" Hartford said in a research note. ""FDX's execution is reflected in the stock's relative performance (+52% vs. S&P 500 over last five years).""Hartford is expecting continued margin improvement in FedEx's earnings before interest and taxes (EBIT) and healthy EPS growth in 2019 and 2020.YOU MAY ALSO BE INTERESTED IN:Don't Panic: Here's Why Trump's China Trade War Won't Happen Does FedEx Have A 'Secret Deal' With The Firearms Industry?New Option Strategy Limits Risk Around EarningsHow To Invest In The Stock Market: Start With A Simple Routine 
"
3,UPS,"Here's your Investing Action Plan for Tuesday: what you need to know as an investor for the coming day. Shipping giant FedEx (FDX) reports quarterly results, but keep an eye on its guidance as the Trump trade war continues to escalate. A key housing indicator may see some effects from trade tension, while Oracle (ORCL) also reports earnings. [ibd-display-video id=3406431…
"
4,UPS,"It's not hard to find top growth stocks in IBD's Sector Leaders screen. ZTO Express (ZTO), one of many top growth stocks based in China, debuted in Monday's screen. The screen also includes China names Baozun (BZUN) and Alibaba (BABA).ZTO Express is an express delivery firm with a market capitalization of around $12.8 billion. It's very liquid with an average daily volume of 2.7 million shares.It was an inauspicious debut for ZTO Express when it went public in October 2016 at 19.50 a share. The good news at the time was that it priced above the proposed range of 16.50 to 18.50 a share. Morgan Stanley and Goldman Sachs were the underwriters. The bad news is that the stock headed lower after its first week of trading. Shares fell about 35% over the next four months.Fast forward to today, however, and a booming e-commerce market in China is fueling growth at ZTO Express. Just like UPS (UPS) and FedEx (FDX) deliver packages for Amazon.com (AMZN), ZTO Express does the same for Alibaba.Earlier this month, the company reported adjusted profit of 17 cents a share, up 70% from the year-ago quarter. The results marked the second straight quarter of accelerating growth. Sales growth, meanwhile, accelerated for the fourth straight quarter, rising 48% to $563.4 million.Parcel volume in the fourth quarter totaled 2.015 billion, up 35.8% from the year-ago period. Full-year parcel volume in 2017 increased 38.3% from 2016. Parcel volume market share increased 15.5% in 2017 from 14.4% in 2016.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseIn the Q4 press release, CEO Meisong Lai commented: ""We are optimistic about the growth prospects of the express delivery industry in China. As China enters the new retail era with e-commerce continuing to grow, industrywide parcel volume is estimated to increase from 40.1 billion parcels in 2017 to approximately 70 billion in 2020, according to the State Post Bureau.""ZTO Express is near the top of a long consolidation that started in November. The conventional entry is 18.18, 10 cents above the Nov. 10 intraday high of 18.08.Since ZTO Express is relatively new as a publicly traded company, fund sponsorship is on the light side.At the end of Q4, 155 funds owned shares. But if ZTO Express maintains its growth trajectory, an increase in fund sponsorship wouldn't be surprising at all.RELATED:Best Chinese Stocks To Buy And WatchAs Baozun Bounces, This Top-Ranked Chinese Stock Nears Buy Zone 
"
5,UPS,"Parcel delivery giant UPS (UPS) reported better-than-expected fourth-quarter earnings Thursday, pushing shares toward a key technical level.The Dow Jones Transportation Average component's Q1 EPS surged 17% to $1.55 per share, a penny above consensus, according to Zacks Investment Research. Revenue climbed 12% to $17.113 billion, also topping.UPS shares climbed 4.25% to 113.28 on the stock market today, hitting their best levels since early February.UPS failed to transport rival stocks higher. Transport-Air Freight Group leader FedEx (FDX) rose 6 cents to 246.96. Atlas Air Worldwide (AAWW) was off 1.2%, while Air Transport Services (ATSG) sank 2.5%.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThat's in contrast to FedEx, which topped fiscal third-quarter views last month and boosted its earnings outlook. The shipping giant announced plans to set up shop in more Walmart (WMT) stores as the companies face off against common rival Amazon (AMZN).FedEx shares fell for a few days after its latest earnings report, but didn't break down and soon bounced back. The stock is currently finding support near its 50-day line in a consolidation with a 274.76 buy point.However there are still plenty of warning signs for canny investors about the stock. It has a poor IBD Composite Rating of 38, while the very important Relative Strength Rating is a woeful 24. The latter score means it is being outperformed in this metric by 75% of stocks tracked.However the earnings results were still undoubtedly positive. International revenue and operating profit climbed 15%, while average daily exports grew 12%, led by Europe and U.S. trade lanes.Supply chain and freight operating profit was up 14% on 16% revenue growth, while domestic revenue rose 7.2% on 4.6% volume growth. This was even as weather conditions muted the Q1 domestic resultsLooking forward UPS reaffirmed its 2018 EPS target range of $7.03 to $7.37. It projects free cash flow of $4.5 to $5 billion in 2018, and said its effective tax rate should be in a range of 23% to 24% for the remainder of the year.Yearly capital expenditures should be $6.5 billion to $7 billion.""Top-line growth in our business was strong across all business segments, reflecting the power of UPS' global solutions and continued favorable economic conditions,"" CEO David Abney said in a press release. ""When combined with our transformation initiatives, these favorable trends position UPS for strong returns going forward.""YOU MAY ALSO BE INTERESTED IN:Does FedEx Have A 'Secret Deal' With The Firearms Industry? UPS Dives Amid Continued Struggles With Holiday Shipping VolumesFedEx Beats Q3 Forecasts, Lifts Outlook; Walmart Presence To Expand Stocks Near Buy Zone Ahead Of EarningsLeaderboard: Daily Updates On Stocks With Potential For Big Gains
"
6,UPS,"Gauging supply in the oil patch is much easier than predicting demand. The demand side has too many variables to make for an easy guess.So it's only natural that market watchers will spend more time talking about what they know than what they don't know.So far this year, the oil supply has received far more attention than that wild card, demand.Former hedge fund manager Eric Fry, writing in Energy & Resources Digest, is one of the few oil-market watchers not surprised by light sweet crude's recent bounce back above $70 a barrel. Fry has been arguing that a ""stealth bull market in crude is underway.""Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseHe notes that global oil demand has been consistently strong, and analysts consistently wrong. ""The trend is very clear. And yet most experts distrust the strength of this trend. So they continually underestimate demand and overestimate supply,"" Fry says.Which oil stocks have been showing up in screens?The Stock Spotlight has two oil stocks in its 16-stock lineup. Both carry a best possible 99 Composite Rating. The Composite combines all five IBD ratings into a single number. A rating of 99 puts the stock in the top 1% among all stocks in IBD's database.Viper Energy Partners (VNOM) has a three-year earnings growth rate of 51%. The rate for sales growth is 36%. The Street expects earnings to increase 37% this year, which reflects an upward revision.The stock is consolidating but needs more time to complete a base.Because of a loss in 2016, Oasis Petroleum (OAS) doesn't have a three-year growth rate. The company lost 50 cents per share in 2016, then rebounded to a profit of 2 cents a share in 2017. The Street expects earnings to jump to 40 cents a share in 2018 and 82 cents a share in 2019.The stock is acting well, but it's extended and does not currently offer a legitimate buy point.Another positive sign in the oil patch is found in the blue chip Dow Jones industrial average. The two oil components in the 30-stock Dow — Chevron (CVX) and Exxon Mobil (XOM) — have each shaped cup-with-handle patterns.If the strength in oil prices begins to look more long-lasting, then run-ups in the oil stocks could become reality.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:Trump Wants A Deal, Not A Trade WarBear Market Is Back In China: Should U.S. Worry?Trump's Tariffs Play With FireOil Inventories Plunge, Driving Prices Up
"
7,UPS,"As the U.S. and China officially launched their trade war on Friday, Canadians contemplated their next move. The U.S. neighbor to the north imposed return-fire trade tariffs against the U.S. July 1.The Toronto Stock Exchange's TSX benchmark turned positive early Friday, up a fraction for the week. Meanwhile, top Canadian stocks trading on the U.S. market, led by Lululemon Athletica (LULU) and Canada Goose (GOOS) were unfazed. Both apparel stocks are sitting atop huge run-ups. Both held steady for the week.The White House in June imposed tariffs of 25% on steel and 10% on aluminum imported to the U.S. from Canada, Mexico and the European Union. White House economic advisor Larry Kudlow said in a June 3 Fox News interview that those initial tariffs closed loopholes that had led to ""several decades of abuse.""A month later, Canada retaliated. On July 1 it hoisted in-kind trade penalties against U.S. steel and aluminum. In addition, the country put in place tariffs on $12.6 billion in annual trade goods including orange juice, fungicides, whiskey and toilet paper.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseLater in that week, a survey released by Nanos Research found 72% of Canadians willing to boycott U.S. goods. Some 73% said they would likely cut back travels plans to the U.S. What's more, the poll also found that if the U.S. expanded its tariff schedule to include autos, 51% of Canadians polled supported federal relief to the auto sector.Despite the turmoil, the TSX has battled back to a 3% loss for the year. That was after dropping 7.8% to a low in January. In 2017, the index had gained 6%, slowing from a rousing 14.9% bull market rally a year earlier.High-end parka maker Canada Goose had its IPO in March 2017. Shares quickly formed a cup base, broke out in May and ended the year 150% above their IPO price. The IBD 50 stock dipped 0.5% early Friday, but remained extended, consolidating below the June 20 all-time high.The outerwear maker posted a 110% earnings-per-share gain for fiscal 2017, which ended in March. For 2019, the consensus view projects a 3% decline. That starts with forecasts for an 11-cent loss in the June-ended quarter. The company posted 10-cent losses in its March and June quarters last year.Estimates call for revenue growth to slow to 27% in the June quarter. That would mark the company's slowest growth in five quarters.Lululemon Athletica jumped nearly 3% in healthy trade on Friday, trading less than 2% below its June 18 high. Shares of the West Coast yoga-wear maker spent five years in a malaise before bottoming a year ago. The IBD Leaderboard stock scrambled up 108% in the past 12 months. The only breakout in that run came in November, after the stock waddled through a sloppy, three-month base.Shares decisively broke above long-term resistance near 82 in March.Lululemon's revenue accelerated over the past four quarters, as the company posted three quarters of revenue growth. For the year, analyst consensus sees earnings growth accelerating to 25%. Revenue growth is projected to hit 17%, which would be the company's best since 2013.The company is still searching for a chief executive, after Laurent Potdevin suddenly resigned in February, due in part to a relationship with an employee. And Lululemon is just beginning to expand its reach in overseas markets, reporting in May that its largest number of new store openings was in China.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.RELATED:As Trump Tariffs Hit, The U.S. Is Losing The China Trade War — Big TimeLululemon's Stock Chart Has Left Its Ugly Days BehindRetail And E-Commerce News And Stocks To WatchBears Take Control, Slap Down All But Two IBD 50 Stocks
"
8,UPS,"Roadie — a startup that gets everyday folks to deliver packages while on their way to wherever they're already driving — has notched a lot of oddball same-day delivery jobs that Amazon (AMZN) doesn't do. A glass aquarium from Fountain Valley to Long Beach, Calif. A set of keys to someone locked out of her house in Georgia at 2 a.m. A box of trial evidence from San Francisco to Napa in time for a panicked lawyer's court date.Around 80%-85% of its shipments are same-day affairs, fueled partly by individuals with curious packages, but mostly by bigger businesses. And Roadie, which provides Kroger (KR) grocery delivery in select areas and brings lost luggage to Delta Air Lines (DAL) customers in about 40 markets, is not alone.Roadie rivals Instacart and Deliv have separately joined forces with Walmart (WMT), Costco (COST), Kroger, Macy's (M) and Best Buy (BBY) on same-day shipping. Target (TGT) even went so far as to acquire Shipt for $550 million. The bull's-eye is ""becoming the first retailer to offer same-day delivery nationwide,"" said Target CEO Brian Cornell last month at retail conference Shoptalk.The driving force behind this latest retail trend, as ever, is Amazon. Its Prime same-day delivery service follows a free-shipping perk that is now a de facto requirement for online shopping. But after scrambling to catch up to Amazon on free shipping, these old brick-and-mortar titans are rushing to stay ahead of the e-commerce giant on same-day delivery. And this next online battleground might actually tilt in their favor, some analysts say.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseSpeedy delivery doesn't come cheap. Customers could pay anywhere from $5.99 to $9.99 per shipment for the pleasure. But demand continues to mount, which makes it ""absolutely essential"" for retailers in order to compete in this ""instant-gratification economy,"" said Retail Metrics head Ken Perkins, who thinks one-hour delivery might be the next goal. ""People want to see a package on their door when they return from work.""As President Trump continues tweeting his rage at Amazon on a near-daily basis over its use of the U.S. Postal Service, it's the Shipts and Instacarts and Delivs (not to mention the Postmates and DoorDashes in food delivery) that are harvesting this ripe market. And they may not even emerge as the biggest winners. Instead, logistics giants like UPS (UPS) and FedEx (FDX) have the scale and infrastructure to capture at least 80% of the future same-day delivery market, a 2017 McKinsey report noted.To a physical store, looking to a web-based firm to hurry along online orders might seem like hastening one's own demise.But the McKinsey report called same-day a ""$200 billion opportunity for retailers in Europe and North America over the next decade."" And it pinpointed brick-and-mortar stores as potentially recapturing turf from online pure plays.The firm said that only traditional retailers ""have the dense network of physical stores to support same-day order fulfillment and delivery.""Perhaps surprisingly, that dinosaur of retail — shopping malls! — is also poised to benefit from the interest in same-day delivery.Daphne Carmeli, CEO of delivery startup Deliv, had an aha! moment when she realized that this could offer shopping centers a ""line of sight ... into e-commerce revenue"" that they wouldn't otherwise have.If you live in Palo Alto, Calif., and place an order on Macys.com, for example, that purchase is likely to be shipped out from a nonlocal distribution center in, say, Atlanta. In that scenario, only Macy's and UPS make money off that transaction.But if you place that online order through Deliv, and the nearby Stanford Shopping Center fulfills that order (and a few dozen others) from its own in-house Macy's, then the mall owner gets some of that revenue, because of the way that leases are structured.Malls ""make money on real estate and rent,"" said Carmeli, adding, ""the more sales the actual Macy's makes, the more the actual mall operator makes.""Which is why malls are willing to carve out parts of their own budgets to hire runners to fulfill Deliv orders. Deliv has partnered exclusively with — and has strategic investments from — major operators Simon Property Group (SPG), Westfield, General Growth Properties (GGP) and Macerich.Luckily for Deliv and its rivals, the technology to make same-day drop-offs happens to have come a long way since the early dot-com days. Deliv's Carmeli, whose company serves 1,400 cities across 35 U.S. markets, was once told her idea was the ""stupidest idea ever.""""Do you remember Webvan? Do you remember Kozmo? Do you remember all the hundreds of millions, if not billions, of dollars that were deployed to build up these companies that ended up exploding in colossal fashion?"" she recalls being asked.Deliv, like many of its peers, avoids being blown up by using modern-age technology to orchestrate an algorithmic symphony of scheduled pickups and drop-offs from nearly 150 retailers — including Macy's, Walgreens Boots Alliance (WBA), Sam's Club and Alphabet's (GOOGL) Google Express — straight to people's homes.Retailers nowadays have a better grip on inventory visibility, says Carmeli. And smartphones make it easy to crowdsource drivers.Her predecessors, like Leonardo da Vinci dreaming up helicopters in the early 1500s, tried to make same-day work on a mass scale before the right equipment existed.Boston Retail Partners analyst Scott Langdoc knows that serious pain. As a former C-suite exec at ""mini-Webvan"" delivery company PDQuick at the start of the new millennium, he says that Google Maps would have made all the difference.""If I had the tools that are available today, starting with Google Maps but fast-forwarding to the (artificial intelligence and machine learning) tools that are available today, it's amazing to think what I could've done at my scale or what Webvan or Kozmo could've done at their scale,"" he said.Like many of its peers of the time, PDQuick didn't survive. It was bought out and went back to its roots as a scaled-down SoCal neighborhood delivery service, Pink Dot.""What we'd intended to do before the 2001 implosion was basically do what Shipt did, which was to generalize the delivery and logistics capability for any retail platform so we could bring in inventory. A retailer brought in drivers and you would be able, based on location, to provide that capability,"" said Langdoc.""Fast forward 15 years, that is what Shipt is; that is what Instacart is.""That doesn't mean that same-day delivery is not without major challenges. It's expensive, for one. And as grocery delivery emerges as the next massive battleground, the stakes are being raised beyond mere speedy delivery of things like T-shirts, to more delicate items like yogurt and tomatoes.Even first movers are encountering issues.""It's not free and you can lose an awful lot of money trying to do it for free,"" said Moody's analyst Charlie O'Shea. ""Amazon will approach $10 billion in absorbed delivery costs this year. There aren't a lot of companies that have the ability to absorb that, either from a financial flexibility perspective or shareholder patience.""That has bestowed upon Amazon a ""fairly significant advantage,"" he said.Still, other companies have advantages too. If any physical retailer could conceivably take on same-day delivery in-house, it's Walmart, say experts.So far, Walmart's grocery-delivery pilot employs its own trucks in just one of six test markets, Denver. It relies on Deliv in San Jose and on Uber in Dallas, Orlando, Phoenix and Tampa.The Bentonville, Ark.-based mega-retailer recently declared that over 40% of American households across more than 100 cities will have access to its online grocery delivery service by year-end. That effort is expected to add thousands more to its already 18,000-strong force of personal shoppers.On Tuesday, Walmart said it enlisted courier Postmates to deliver online grocery orders starting in Charlotte, N.C., before rolling out to other cities.""We know one thing's for sure: that (customers) want a delivery option and so we're committed to that,"" Walmart spokesperson Molly Blakeman told Investor's Business Daily in late January. The company filed to trademark grocery delivery-related ""Wam! by Walmart"" earlier in the year, which Blakeman confirmed is associated with active, ongoing projects.Still, even as analysts agree that same-day shipping, including grocery delivery, has to be an option for shoppers now, some question if the effort is worth it.""In this arms race to provide faster delivery, are you providing too many resources to a very small niche product, or a small niche customer base?"" asked Moody's O'Shea.There are more households in America that make less than $30,000 a year than more than $100,000, he said. So the idea of same-day, for most products, isn't hugely compelling at current price points.""I would not say that the demand is minimal, it just has a definite ceiling — at least as far as the pricing stays where it is,"" echoed Euromonitor analyst Tim Barrett.And if you're wondering whether same-day delivery could ever scale up and reach rural settings, the answer is: ""No way,"" he said, laughing.""Simply put, that's not going to happen,"" said Barrett. ""We have seen traditional grocery stores struggle to sustain enough traffic to justify real estate and actual brick and mortar, let alone expensive delivery, let alone even more expensive same-day delivery.""YOU MIGHT BE INTERESTED IN:Amazon Vs. Walmart: Locking Horns In A Battle For Retail's FutureAmazon Stock Quotes, Company News And Chart AnalysisRetail And E-Commerce News And Stocks To WatchBest Growth Stocks To Buy And Watch: See Updates To IBD Stock ListsStocks To Buy And Watch: Top IPOs, Big And Small Caps, Growth Stocks
"
9,UPS,"Tesla (TSLA) received a reservation request from FedEx (FDX) for 20 of its big-rig electric trucks, but that wasn't enough to keep Tesla stock from hitting a 10-month low Monday.FedEx joins a growing list of companies that have placed reservations for the all-electric Tesla Semi. Among the largest orders? UPS (UPS), which placed reservations for 125 Tesla Semi trucks in December. UPS operates one of the largest commercial trucking fleets in the world. Orders for the truck have also come from PepsiCo (PEP) and Sysco (SYY).Tesla stock ended the day up 0.9% to 304.18 on the stock market today. Earlier in the session, it hit a 10–month low of 291.36 and Tesla's relative strength line is at a one-year low.Tesla reported fourth-quarter earnings on Feb. 8 that topped estimates as management reaffirmed production targets of its Model 3, but the stock fell 8.6% in what was a bad day for the market overall.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseTesla introduced its futuristic big-rig truck in November and is scheduled to begin production in 2019. Each reservation requires a $20,000 deposit. The truck has a price range of $150,000 to $180,000.FedEx, in announcing its reservation for 20 trucks, said the move is part of its commitment ""to improve road safety while also reducing our environmental impact.""FedEx shares climbed 4.5% to 239.85. UPS stock rose 2% to 103.70.YOU MIGHT ALSO LIKE:Tesla Shareholders Approve Massive Compensation Package For Elon MuskTesla Model 3 Deliveries Fall Short As Production Goal Pushed BackBMW Setting Up To Outrun Tesla In Autonomous, Electric-Car Field
"
