,ticker,content
0,VFC,"On Friday, Canada Goose (GOOS) reached an important technical milestone, seeing its Relative Strength (RS) Rating jump into the 80-plus percentile with an improvement to 81, up from 77 the day before. X IBD's unique RS Rating identifies technical performance by using a 1 (worst) to 99 (best) score that identifies how a stock's price action over the trailing 52 weeks matches up against that of all other stocks. Over 100 years of market history shows that the stocks that go on to make the biggest gains tend to have an RS Rating of at least 80 in the early stages of their moves.Looking For Winning Stocks? Try This Simple RoutineCanada Goose is trying to complete a cup with handle with a 21.84 entry. See if the stock can clear the breakout price in heavy trade. Earnings grew 15% last quarter, up from 0% in the prior report. Revenue also increased, from 22% to 80%. Keep an eye out for the company's next round of numbers on or around Oct. 28.Canada Goose holds the No. 8 rank among its peers in the Apparel-Clothing Manufacturing industry group. VF Corporation (VFC), PVH (PVH) and Carters (CRI) are among the top 5 highly rated stocks within the group.RELATED:Which Stocks Are Showing Improved Technical Action?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,VFC,"Stocks inched up out of the starting gate Monday, with General Electric (GE) dragging on the Dow and Seagate Technology (STX) surging to the head of the Nasdaq.XOn the Dow Jones industrial average and S&P 500, futures strengthened to 0.2% above fair value. Nasdaq 100 futures advanced 0.3%.With three weeks gone in October, the Dow has gained 4.1% and broken above the 23,000 level — so far its best month since February, when it topped the 22,000 mark. The S&P 500 is up 2.2%, also its best month since February. The Nasdaq has advanced 2.1%, lagging behind its strong pace set in April, May and July.Early earnings reports sent VF Corp (VFC) up 6%, Halliburton (HAL) down 0.5% and Philips (PHG) ahead 1.5% in opening trade.Seagate Technology jetted up 14% after reporting fiscal first-quarter earnings and revenue slipped less than expected by analysts. The company also announced a quarterly dividend of 63 cents. Seagate shares finished Friday 14% off an August low, as they began up the right side of a six-month consolidation.Among Dow industrials, DowDuPont (DWDP) took an early lead, up 1.3%. General Electric (GE) slumped 2.7% after Morgan Stanley and UBS downgraded GE shares to underweight and neutral, respectively.Apple (AAPL) ticked up 0.3% and two if four FANG stock tech leaders rose. Netflix (NFLX) dropped 0.7% and Alphabet (GOOGL) shed 0.2%.Tesla stepped up 1.3% after news reports on Sunday said the electric vehicle maker had reached a deal allowing it to build a wholly owned manufacturing site within Shanghai's free-trade zone. The facility would reportedly be the first by a U.S. automaker in China that is not part Chinese-owned as a joint-venture arrangement.Tesla shares have been hugging support at their 10-week moving average, after a mid-September breakout attempt failed.Biotech DBV Technologies (DBVT) collapsed 52% in early trade. The company confirmed earlier news reports that its Viaskin Peanut adhesive patch to treat peanut allergies did not meet lower-threshold endpoints in a phase 3 clinical trial. Peanut allergy rival treatment rival Aimmune Therapeutics (AIMT) bolted 32% higher at Monday's open.Telecom software leader Broadsoft rose 1.5%, after announcing it would be acquired by Cisco Systems (CSCO) for $1.9 billion, or 55 per share. Investors had sent shares 13% higher in earlier trade, on speculation of a deal. Cisco shares gained 0.3%.On the IBD 50 list, Ichor Holdings (ICHR) popped 2% in early action. The stock is extended above a double-bottom-with-handle base in late September.IBD 50 peer Kemet (KEM) added 1% at the open. The gain lifted the maker of capacitors and other electronic components past a 27.45 buy point in a three-weeks tight pattern.Markets in Japan and Europe traded higher. Sunday's elections in Japan left Prime Minister Shinzo Abe with a mandate and a solid parliamentary majority with which to manage the country's ongoing economic reforms. Tokyo's Nikkei 225 bolted 1.1% higher, moving the index to within 5% of the high marked on June 1996.Europe's markets saw gains recover in afternoon trade, as Spain moved closer to its attempt to impose federal government control over the rebelling Catalonian region, and following two votes in northern regions of Italy to also pursue independence.The CAC-40 in Paris led the region's benchmarks, up 0.7%.In U.S. economic news, the Chicago Federal Reserve reported its National Activity Index moved up to 0.17 in September, vs. a -0.37 reading in August. Production-related indicators improved to 0.1, up from -0.33 in August, and total industrial production rose to a 0.3 tally, improved from a 0.7 decline for August.RELATED:The Big Picture: Tax Cut Hopes Drive Stocks: These 2 Groups OutperformFacebook Leads 5 Hot Growth Stocks For Your Watch List IBD Investor Research Tools Getting Started With IBD
"
2,VFC,"On Wednesday, VF Corporation (VFC) earned a positive adjustment to its Relative Strength (RS) Rating, from 80 to 84. X IBD's unique RS Rating tracks market leadership by using a 1 (worst) to 99 (best) score that indicates how a stock's price action over the trailing 52 weeks matches up against other publicly traded companies. History shows that the best-performing stocks often have an RS Rating north of 80 in the early stages of their moves.VF Corporation is now considered extended and out of buy range after clearing a 58.11 buy point in a first-stage flat base. See if the stock forms a new pattern or follow-on buying opportunity like a three-weeks tight or pullback to the 50-day or 10-week moving average. EPS growth decreased last quarter from -7% to -9%, but sales rose from -2% to 2%. VF Corporation earns the No. 4 rank among its peers in the Apparel-Clothing Manufacturing industry group. Hanesbrands (HBI) is the top-ranked stock within the group.RELATED:Which Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,VFC,"X The stock market traded mixed in afternoon trade — ranging from minor gains on the Nasdasq to light losses on the S&P 500 — heading into the final hour of the session. The tech-heavy composite moved up 0.2%, while the S&P 500 declined 0.2%.The Dow Jones industrial average inched lower. Volume was tracking slightly higher across both exchanges vs. the same time Monday. Among the other Dow industrials, IBM (IBM) paced the advancers with a 1.2% rise, while Microsoft (MSFT) and Home Depot (HD) followed up with gains of 1.1% and 1.0%, respectively.On the downside, medical components UnitedHealth Group (UNH) and Pfizer (PFE) pulled the Dow into the red, declining 2% and 1.9%, respectively.Among the S&P 500, two chip stocks were among the leaders on the day. Chipmaker Advanced Micro Devices (AMD) surged over 10%, while chip equipment stock Qorvo (QRVO) followed up on Monday's 5.5% advance with a 3.4% rise. Qorvo surged past a 72.52 flat-base entry, but remains within proper buy range.The S&P 500's laggards were once again retail stocks as they drastically underperformed the general market. Apparel companies Under Armour (UAA) and Hanesbrands (HBI) pierced their 50-day lines, falling 4.2% and 3.2%, respectively, while Ralph Lauren (RL) and VF Corp (VFC) dropped over 2% each.Leading retailer Burlington Stores (BURL) gapped below its 50-day line early Tuesday, down 3.3%. Gains from a 92.77 cup-base entry had been as much as 13% just five days ago, but a four-day losing streak has brought the stock's gains to just 3%.China-based stocks drastically outperformed in the stock market today. Internet portal Sina (SINA) and so-called 'Twitter of China' Weibo (WB) reported early Tuesday, causing them to shoot 18.5% and 25% higher, respectively. Both companies topped analyst estimates. Sina surged out of a long consolidation that featured a 85.34 buy point. Weibo is now up 35% from its 57.57 cup-with-handle entry.Chinese e-commerce giants JD.com (JD) and Alibaba (BABA) moved up 0.9% and 2.1%, respectively. Chinese internet giant Tencent (TCEHY) will report its Q1 results before the open Wednesday. Action within the IBD 50 was predominantly positive heading into the final hour of trading, led by technology names. China components Momo (MOMO), New Oriental Education (EDU) and TAL Education (TAL) led the way with gains of 9%, 7.1%, and 5.9%, respectively.Life sciences software provider Veeva Systems (VEEV) jumped 4% and is now up almost 30% from a 45.95 cup-with-handle buy point.On the downside, Stamps.com (STMP) fell 2.4%. The stock is building a cup base as it battles for support around its 50-day line.RELATED:China Stocks Jump, Led By Strong Earnings From Weibo, SinaSelling Intensifies In Retail Sector Beyond Department StoresInternet Giant To Join China Parade; Cisco Near Entry: Investing Action Plan
"
4,VFC,"Just as an ace baseball pitcher mixes his throws, top mutual fund managers vary their investments. Managers of Columbia Large Cap Growth Fund are mingling semiconductor stocks with biotech stocks, online travel agencies and a Chinese fast-food chain, all to good effect. That's been a benefit to investors with retirement accounts and other portfolios.The $3.3 billion fund is working its way back toward its multiyear top-notch outperformance. This year going into Wednesday, the fund's 8.97% gain topped 62% of its large-cap growth rivals tracked by Morningstar Inc. and the 5.75% advance by the S&P 500.That's an improvement over its showing during the past 12 months, when the fund outpaced just 54% of its direct rivals with a nonetheless decent 15.49% rise. So its year-to-date relative performance is a turn back toward what it accomplished over the past three years, when it beat 89% of its direct rivals.A key piece of credit goes to the fund's stake in technology stocks, which was the portfolio's largest sector as of Feb. 28 with a 34% weighting, nearly double the second-largest sector then, consumer discretionary. The S&P 500 has a tech weighting of 20%.The fund's semiconductor stocks include Lam Research (LRCX), up 19% so far this year; Micron Technology (MU), up 22% this year; and Broadcom (AVGO), up 18%.IBD'S TAKE: Broadcom is ranked No. 1 in IBD's Electronics-Semiconductor Fabless industry group. Its 99 Composite Rating is the highest possible, and its earnings per share growth has accelerated for four quarters in a row. See how its additional easy-to-understand fundamental and technical data stack up against rivals' at IBD's Stock Checkup.Biotech bets include Vertex Pharmaceuticals (VRTX), up 56%, and Celgene (CELG), up 8%. Two of the fund's consumer discretionary plays are online travel agencies Priceline (PCLN) and Expedia (EXPE), which are up 19% and 14% respectively this year.And China-based restaurant chain Yum China (YUMC) is another security to like in the consumer discretionary space, up 25% this year.They've also trying to make plays with multicategory straddlers Alibaba (BABA) and Amazon (AMZN).Lam has benefited from two trends. One is the growing complexity in some semiconductors and their manufacturing equipment, says Peter Deininger, one of three managers of the fund. The second is consolidation in the semiconductor equipment space. That has cut inventory volatility, and smoothed out industry cycles. ""That means higher margins and higher returns for Lam,"" Deininger said.In addition, Lam is a leader in the etching and deposition segment of the semiconductor equipment field. ""That's helped them increase market share at a rate in excess of other players,"" Deininger said. ""Combined, all of this has put the company in a good situation, which we anticipate has legs to go.""Micron makes memory and data-storage devices. Its industry has gone through enough consolidation that pricing is stable to rising in Micron's key DRAM and NAND products, Deininger says. That leads to rising margins, he adds.Industrywide, with earnings and share prices doing so well last year, might the segment be near a top? That could explain the recent pullback in this space, which affected Micron among other stocks.But Deininger is not ready to retreat yet. ""There continues to be very balanced supply, pricing remains firm, and lead times for products are modestly extended,"" he said. ""Combined with a lack of significant new capacity, that argues that (share-price strength) should hold for some time going forward.""Fund manager Tchintcia Barros likes Vertex's existing treatments for cystic fibrosis as well as another in development. Vertex gapped up 20% on March 29 amid news about favorable results in a late-stage trial for that new treatment, a combination therapy. Vertex plans to add another drug to create a three-drug cocktail that could treat thousands more cystic fibrosis patients, Barros says.""Several months ago, a competitor (Galapagos) created some fears (among investors) around whether Vertex would have that portfolio of treatments to itself,"" Barros said. ""But data show that (Galapagos) is three years behind Vertex.""The fund's managers have mixed feelings about the consumer discretionary space. On the one hand, since the end of last year they have shifted to an underweight from an overweight in the sector vs. the Russell 1000 Growth Index.They've sold out of positions in branded apparel manufacturer VF (VFC), yogawear chain store Lululemon Athletica (LULU) and pharmacy operator CVS Health (CVS). ""Online companies have put a lot of pressure on traditional retail areas,"" manager John Wilson said.On the other hand, the fund still likes online travel agencies Priceline and Expedia.And the managers like Yum China as a pure play on China restaurant stocks.Yum China gapped up 9% on April 6, the day it released first-quarter financial results. Earnings per share grew 19%. Despite a 1% slip in sales, sales nosed above the consensus estimate. The company opened 133 new stores in the quarter, including its Little Sheep and East Dawning outlets.In its guidance for fiscal 2017, the company said it would open at least 550 new stores and that operating profit would grow at a double-digit pace.Yum Brands (YUM) — which the fund also holds — said it had completed its spinoff of Yum China on Nov. 1, 2016. Since they began trading that day, shares in the new company are up 25%.RELATED: Why This Top Columbia Fund Loads Up On These Stock LeadersYou Need This Much Retirement Savings At Your Age And Income 
"
5,VFC,"Confirming earlier reports, Under Armour (UA) said Monday that it has clinched a 10-year deal to be the official on-field uniform provider of Major League Baseball, starting in 2020.Financial terms weren't disclosed, but the contract is a major first for the apparel and footwear brand — its first professional sports league deal.Last year, Under Armour was reportedly one of the names vying to outfit the National Basketball Association after Adidas decided not to renew its partnership, but Nike (NKE) ultimately won out. (Under Armour struck a deal to become the official outfitter of the NBA Draft Combine, however, starting in 2018.)Under the deal, licensed sports merchandise company Fanatics will manage the manufacturing and distribution of both Under Armour and Fanatics fan gear at retail, according to Under Armour.Under Armour will also provide the pro baseball league's players with its Connected Fitness offerings, which currently include a fitness band, smart scale and heart-rate monitor.The companies will replace VF (VFC)-owned Majestic Athletics. VF said in March that it is exploring strategic alternatives for its licensed sports group business, a division that includes Majestic.In a statement, Under Armour CEO Kevin Plank called the deal a ""watershed moment"" for the brand. Los Angeles Dodgers pitcher Clayton Kershaw, San Francisco Giants catcher Buster Posey and Washington Nationals outfielder Bryce Harper are just a few of Under Armour's MLB endorsers, and viewer enthusiasm for baseball reached fever pitch this year as the Chicago Cubs won the World Series for the first time since 1908.Shares of Under Armour rose 1.4% to 30.44 in the stock market today.Meanwhile, Nike received an upgrade from HSBC to buy from hold and a price target bump to 60 from 56. The bank acknowledges that the stock is the worst performer on the Dow this year, but the ""reality isn't that grim,"" and Nike ""could be a good stock or 2017 ... and beyond.""IBD'S TAKE: Some fear that Nike's innovation streak is slowing, but a recent patent-application dump from the U.S. Patent & Trademark Office show that the Swoosh has some futuristic offerings in the works.""The company epitomizes, in our view, the 'captain of industry' status in a growth sector, and even though we accept that alternative brands may be gaining share at times, we feel the company is still poised for superior growth and returns long term,"" wrote HSBC analyst Erwan Rambourg in a Monday note.Nike shares climbed 2.75% to 51.85, retaking their 50-day average for the first time in three months.RELATED:Major League: Under Armour-MLB Deal Means It's Here To Play BallUnder Armour Challenges Nike Dominance With NBA Deal
"
6,VFC,"VF Corporation (VFC) had its Relative Strength (RS) Rating upgraded from 79 to 84 Monday. X When looking for the best stocks to buy and watch, keep a close on eye on relative price strength.This exclusive rating from Investor's Business Daily identifies share price movement with a 1 (worst) to 99 (best) score. The rating shows how a stock's price performance over the trailing 52 weeks compares to all the other stocks in our database. Over 100 years of market history reveals that the best-performing stocks typically have an RS Rating north of 80 as they begin their biggest climbs.Looking For The Best Stocks To Buy And Watch? Start HereVF Corporation is building a cup without handle with an 84.47 buy point. See if it can clear the breakout price in volume at least 40% above average. Earnings grew 31% last quarter, up from 19% in the prior report. Revenue also increased, from 20% to 22%. The company holds the No. 4 rank among its peers in the Apparel-Clothing Manufacturing industry group. Canada Goose (GOOS) is the top-ranked stock within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Which Stocks Are Showing Improved Technical Action?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
7,VFC,"Under Armour (UA) is in the major leagues now.The brand has reportedly clinched a licensing deal to provide uniforms for Major League Baseball, its first such agreement with a pro sports league.Sports Business Daily, which first reported the news, said Under Armour and Fanatics, another producer of licensed sports gear, will jointly make Under Armour-branded, on-field MLB jerseys starting in the spring of 2020. Under the terms of the agreement, Fanatics will produce and customize fan jerseys for retail, according to ESPN, citing team sources. New Era still has hat rights.Under Armour and Fanatics replace VF (VFC)-owned Majestic Athletic, which has been MLB's on-field jersey partner and fan-gear maker since 2005. It also makes fan gear for NFL, NHL, NBA and collegiate teams. VF said in March that it is exploring strategic alternatives for its licensed sports group business, a division that includes Majestic.Under Armour shares closed up 1.8% at 38.30 on the stock market today. Nike (NKE) tacked on 0.4%. VF rose 0.6%.IBD'S TAKE: The comeback kid continues to roll on — Adidas is the ""clawing back share,"" said Piper Jaffray analysts, following their semiannual teen survey: ""Uh-Oh, Nike, Under Armour — Adidas Is 'It' Brand This Christmas.""Under Armour already has a number of baseball hotshots on its endorsement roster, including Los Angeles Dodgers pitcher Clayton Kershaw, San Francisco Giants catcher Buster Posey and Washington Nationals outfielder Bryce Harper.
"
8,VFC,"RELATED:Nike, Chelsea Confirm Deal, Reportedly Worth $1.1 BillionBuy Nike In The Downturn? It's A 'World Class Equity,' Says AnalystUnder Armour Gets Street Love On Growth Opportunities  
"
9,VFC,"Shares of G-III Apparel (GIII) tumbled early Tuesday after the company fell well short of quarterly earnings views and offered disappointing guidance.Reporting before the open, G-III posted adjusted earnings of 17 cents a share for its fiscal third quarter, which ended in January. That was down from 49 cents the prior year and well below consensus estimates for 42 cents.It was the first time in four years the company logged lower earnings. The results also ended a run of four straight quarters of double-digit or better EPS growth for G-III, which sells everything from swimwear and accessories to outerwear and performance wear under its own Vilebrequin, Andrew Marc and Marc New York brands as well as licensed brands like Calvin Klein, Levi’s, Kenneth Cole and Tommy Hilfiger.Quarterly revenue gained 2% to $527.4 million, also well below estimates.G-III shares sank 19.4% to 44.52 in the stock market today after falling as low as 41.14. The stock had been rallying since mid-January and closed Monday’s session up 1% to 55.23.In a statement, CEO Morris Goldfarb called fiscal 2016 “a very strong year” for G-III, but said the company was “disappointed by our wholesale and retail outerwear business, which was heavily impacted by the warmest winter ever recorded. ... That said, we had excellent performances from our nonouterwear Calvin Klein businesses, as well as our dress and team sports businesses. We have significantly expanded our relationship with the Tommy Hilfiger brand and increased our financial investment and partnership with the Karl Lagerfeld brand. We will be making significant investments in these brands going forward.”G-III guided fiscal 2017 earnings in a range of $2.55 to $2.65 a share, below the $2.69 expected by analysts polled by Thomson Reuters.Another apparel company, PVH (PVH), is slated to report fiscal Q4 results after Wednesday’s close. Analysts expect a 17% earnings dip to $1.46 a share. Revenue is seen inching up less than 1% to $2.073 billion. PVH shares fell 1.7% Tuesday.IBD’s Apparel-Clothing Manufacturing group ranks No. 83 out of 197 industries tracked. That’s up from No. 179 as recently as 13 weeks ago. The biggest stocks in the group by market cap are VF Corp. (VFC), which owns brands such as North Face and Vans, as well as athletic apparel maker Under Armour (UA).VF stock fell 1.8% Tuesday. Under Armour shares fell 1.25%. Under Armour investors will pay close attention to Nike earnings after the close. Nike rose 0.3% Tuesday.
"
