,ticker,content
0,VMC,"The Relative Strength (RS) Rating for Vulcan Materials (VMC) headed into a new percentile Monday, as it got a lift from 70 to 73. X As you try to find the best stocks to buy and watch, keep a close on eye on relative price strength.IBD's proprietary RS Rating identifies technical performance by showing how a stock's price action over the last 52 weeks compares to that of the other stocks in our database. Decades of market research shows that the best-performing stocks typically have an 80 or higher RS Rating in the early stages of their moves. See if Vulcan Materials can continue to show renewed price strength and clear that threshold. See How IBD Helps You Make More Money In StocksVulcan Materials is in a buying range after clearing a 130.58 buy point in a cup with handle. Once a stock moves 5% or higher beyond the original entry, it's considered extended and out of buy range. While revenue growth fell last quarter from 12% to 9%, EPS grew 29%, up from 7% in the previous report. The company earns the No. 1 rank among its peers in the Building-Cement/Concrete/Aggregates industry group. CRH (CRH) and Martin Marietta Materials (MLM) are also among the group's highest-rated stocks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,VMC,"U.S. stock indexes reversed higher Thursday, as the S&P 500 avoided a close under the 200-day line. The Nasdaq lost less than 0.2% after being down 1.5% in late-morning trade. X The S&P 500 trimmed just over 0.2%, while the Dow Jones industrial average ended a pinch above flat. Volume rose on the Nasdaq and fell on…
"
2,VMC,"CRH (CRH) had its Relative Strength (RS) Rating upgraded from 67 to 71 Tuesday -- a welcome improvement, but still short of the 80 or better score you look for. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.IBD's unique rating identifies market leadership with a 1 (worst) to 99 (best) score. The grade shows how a stock's price behavior over the last 52 weeks stacks up against all the other stocks in our database. History reveals that the best stocks often have an RS Rating of over 80 as they launch their biggest price moves. See if CRH can continue to rebound and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HereCRH broke out earlier, but has fallen back below the prior 38.35 entry from a cup with handle. If a stock you're tracking clears a buy point then retreats 7% or more below the original entry price, it's considered a failed base. Wait for the stock to set up and breakout from a new base and buy point. Also keep in mind that the most recent pattern is a later-stage base, which makes it riskier to establish a new position or add shares to an existing one. The company showed 82% earnings growth last quarter, while sales growth came in at 15%. CRH holds the No. 1 rank among its peers in the Building-Cement/Concrete/Aggregates industry group. Vulcan Materials (VMC) and Martin Marietta Materials (MLM) are also among the group's highest-rated stocks.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,VMC,"The Dow industrials led the market narrowly lower Thursday, as Caterpillar (CAT) fell hard following a downgrade and price target cut. Tesla (TSLA) stock also dragged on overall trade at the open, while Abiomed (ABMD), Kraft Heinz (KHC) and Blue Apron (APRN) scored powerful early gains.The Dow Jones industrial average dropped 0.6% at the starting bell, the S&P 500 and the Nasdaq Composite slumped 0.5% apiece. Kraft Heinz rose nearly 3% to lead the Nasdaq. Infrastructure play Vulcan Materials (VMC) topped the S&P 500. Tesla, Cerner (CERN) and Netherlands-based NXP Semiconductors (NXPI) dueled for the low spot on the Nasdaq. Drug distribution giant Cardinal HealthCAH faltered 16%, the S&P 500's harshest early decline.Wednesday's pullback in rising volume further fortified the 50-day moving average as a technical line of resistance for the Dow industrials, S&P 500 and the Nasdaq. Two weeks of powerful earnings surprises have failed to drive indexes back above that key level. Markets took Wednesday's widely expected no-change policy release from the Fed as a negative. The next big slug of economic data comes in Friday's April payrolls report.Productivity increased 0.7% in the first quarter, according to Labor Department estimates. That was better than the no-gain performance in the fourth quarter, and more than double the 0.3% increase expected by economists. Unfortunately, labor costs rose even faster — up 2.7% vs. a 2.5% rise in the fourth quarter, and vs. expectations for a slowdown to 2.1% growth.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseJobless claims increased very slightly, to 211,000, in the week ended April 28. That was well below consensus forecasts for an increase to 224,000 new claims. Announced layoffs fell more than 40%, to 38,041, in April, according to Challenger, Gray & Christmas. But there remains a general uptrend in layoffs, the report said, and ""an increase in large-scale job cut announcements could be on the horizon.""Researcher Markit delivers its services purchasing managers index at 9:45 a.m. ET. The Commerce Department's factory output estimates for March, and the Institute for Supply Management's services index, are both due at 10 a.m. ET.The Dow industrials dragged lower as Caterpillar dropped 2.3% at the start of trade. Buckingham Research downgraded the stock to neutral, from buy, and cut back its price target to 160, from 205.Also on the Dow, Merck shed itgs premarket gains and dipped a fraction into the red. The drugmaker said it had submitted a supplemental biologics license application to the Food and Drug Administration, based on positive trial results showing its Keytruda drug effective in treating certain forms of lung cancer. Merck remains in a seven-month downtrend, struggling to retake support at its 10-week moving average.Gravel, sand and concrete leader Vulcan Materials vaulted 5% to the head of the S&P 500 list.  The Birmingham, Ala.-based outfit stormed past analysts' earnings and revenue expectations in its first quarter. Shares are down 16% from a January high.Also at the top of the index, cereal maker Kellogg (K) popped more than 2% and chemicals producer FMC (FMC) logged a 4% advance on earnings results.At the low end of the S&P 500, Cardinal Health dug deeper into its downtrend, as shares plunged 16% in opening trade. The Dublin, Ohio-based operation reported a wide fiscal third-quarter earnings miss, and reduced its earnings guidance for the year to below analyst views.Early earnings reports sent KKR (KKR) up 8% and Teva (TEVA) to a 6% gain. TempurSealy (TPX) jumped nearly 9%, while Blue Apron powered ahead almost 7%.Among IBD 50 stocks, Abiomed spiked nearly 7% higher following a healthy fiscal fourth-quarter report. A 100% gain in earnings and 40% revenue growth easily cleared analysts' targets. The surge sent shares beyond buy range above a 304.38 buy point in a very late-stage flat base.Some closely watched tech IPOs were taking early, earnings-related hits. Square (SQ) slipped less than 2% after reporting heavy costs in its fiscal first quarter and weak guidance for the second quarter. The pullback left the stock on positive ground, so far, for the week. Shares are in the seventh week of a possible base pattern, and up 431% from their Nov. 2015 IPO price.Streaming audio leader Spotify (SPOT) skidded 10% lower. The Luxembourg-based company sharply reduced its losses during the quarter, its first report as a public company. Paying subscribers rose 45% vs. a year ago, to 75 million. Shares broke out past a 169.10 buy point in an IPO base on Wednesday. Thursday's loss sent shares  more than 8% below the buy point, which triggered the automatic sell rule.YOU MIGHT BE INTERESTED IN:The Big Squeeze: New Risks For Fed Interest Rates, Recession And Yield CurveFed Watch: Here's Why Stocks Can't Get A Head Of SteamTop Cloud-Computing, AI Stock With 750% Growth May Be Storing New BreakoutThe Big Picture: Apple Helps Nasdaq Outperform   
"
4,VMC,"Martin Marietta Materials (MLM) stock rose Tuesday after the building supplies giant outperformed earnings expectations, lifting other stocks in the sector.X The sand, granite, limestone, and gravel merchant reported earnings per share of $1.88, up 21% vs. a year earlier. That crushed Wall Street estimates by 46 cents according to Zacks Investment Research. Martin Marietta Materials sales rose 2.5% vs. a year earlier to $911 million, but that failed to meet expectations for $913 million.The fourth-quarter results included a one-time, noncash benefit of $258.1 million related to the Trump administration's tax reform.Martin Marietta rose 2.6% to 218.35 on the stock market today, near session lows after hitting 229.66 intraday. The stock did close above its 200-day moving average but ended just below its 50-day after vaulting above that key level. The stock has a composite rating of 55, however its EPS rating of 84 is more impressive. The firm is ranked third in the Building-Cement, Concrete And Aggregates Group, which is led by Loma Negra (LOMA).Martin Marietta's performance was hit by delays in Texas Department of Transportation projects and a slow down in railroad ballast shipments. In addition abnormally wet weather conditions, the Hurricane Matthew and a slower energy-related marketplace.IBD'S TAKE: By learning to use call options, investors can significantly reduce risk and capitalize on basing stocks that are making breakaway gains caused by earnings reports.However the firm, which has a $14 billion market cap, has improved cost management and operational efficiency.For 2018 it expects full-year revenue of $4.16 billion to $4.36 billion, above Wall Street forecasts for $4.078 billion.Ward Nye, chairman and CEO of Martin Marietta, was bullish.""Our ability to post record results despite these external factors, among them extraordinary weather events, contractor labor constraints, and a slower-than-expected pace of public contract lettings, validates the successful execution of our strategic plan and underpins our optimism for a steady and extended cyclical recovery as we begin 2018,"" Nye said. ""Our confidence in our 2018 outlook is particularly strengthened by positive fourth-quarter trends.""The Building-Cement, Concrete And Aggregates Group is ranked 143 out of all the 197 groups monitored by IBD.The Trump administration this week proposed for a huge jump in infrastructure spending, though it's unclear if Congress will approve the planVulcan Materials (VMC) rose 1.7% and U.S. Concrete (USCR) 1.8%.Loma Negra climbed 0.6%.YOU MAY ALSO BE INTERESTED IN:Trump Seeks Mulligan On Fiscal Restraint, Starting With Infrastructure Homebuilder Stocks To Watch And Housing Market NewsEarnings Calendar, Analyst Estimates And Stocks To Watch
"
5,VMC,"The federal deficit is getting so unwieldy that not even fake math can make it disappear.The White House's budget proposal released Monday projects a $984 billion deficit in 2019 under President Trump's preferred policies, nearly double its $526 billion projection a year ago. For the full 10-year budget window, cumulative deficits are now seen totaling $7.1 trillion, well more than double last year's projection that magically ended in a budget surplus by 2027.Even those upwardly revised totals may be too optimistic. The Committee for a Responsible Federal Budget last week said that the new budget deal will raise the 2019 deficit to $1.2 trillion. Assuming that individual tax cuts don't phase out and programmatic spending stays on the same trajectory, that would put the U.S. on track to run up deficits of roughly $15 trillion over the coming decade.""The country is facing a massive fiscal challenge, and the President's budget doesn't own up to these realities and fails to call for a suite of credible policies that would help change course. The budget has too many gimmicks, exaggerated savings, and rosy assumptions,"" Maya MacGuineas, president of the committee, said in a written statement. ""Most troubling, it doesn't make the credible hard choices necessary to help bring the debt back to more manageable levels.""She did say, however, that ""the budget does include a number of thoughtful and serious policies to improve the effectiveness and efficiency of the Medicare program — along with a number of other smart policies to reduce government spending. We encourage the administration to pursue these ideas.""Yet Wall Street may find some good news in President Trump's budget proposal, as traders now are worried about too much fiscal stimulus and trillion-dollar deficits: Trump's big infrastructure funding plan looks like a nonstarter for Democrats and is likely a bridge to nowhere.""This is not a real infrastructure plan — it's simply another scam, an attempt by this administration to privatize critical government functions, and create windfalls for their buddies on Wall Street,"" Rep. Peter DeFazio, the top Democrat on the House Transportation Committee, said Sunday in the Democratic weekly address.The Dow Jones industrial average, S&P 500 index and Nasdaq composite rallied for a second day on Monday, with the major indexes all up at least 1.2% at midday.The emergence of better wage growth and the explosion of the federal deficit, even as the Federal Reserve gradually reverses government bond purchases made to aid recovery from the financial crisis, had sent the 10-year Treasury yield to a four-year high in a wake-up call for stock market investors.The White House budget calls for a $1.5 trillion boost to infrastructure spending, but only $200 billion of that would come from the federal government, with state and local governments and private investors ponying up the rest in a competition to secure federal grants. What makes it an especially hard sell for Democrats is that the $200 billion federal contribution would come from cost savings in the rest of the budget, including the Department of Transportation spending plan.After last week's budget deal that will hike deficits by $320 billion over two years, and after passing tax cuts that are expected to add more than $1 trillion to the deficit over a decade, the White House is signaling that it's drawing a line on further fiscal laxity — just in time for the infrastructure debate. The new budget plan calls for $3 trillion in savings, including discretionary domestic program cuts of 2% a year after 2019.IBD'S TAKE: Make sure to read The Big Picture column each day to stay on top of the market's prevailing trend, so you'll know when it makes sense to be aggressive and when you should move to the sidelines.The political calculation for Democrats is whether they're better off settling for less than half a loaf and giving the White House a victory, or campaigning on a much bigger building plan and blaming the GOP for prioritizing corporate tax cuts over infrastructure. There's little doubt that the more combative approach will win out in this critical election year.The White House said it isn't making a take-it-or-leave-it offer, so it's possible Trump will try to make a deal Democrats can't refuse, but it's not clear if the rest of the GOP would be willing to further increase the deficit.Investors seem to have reined in expectations for Trump's infrastructure push. Shares of big cement maker Martin Marietta Materials (MLM), which reports earnings on Tuesday morning, were off 0.8% on the stock market today.After missing out on 2017's big stock market gains, Martin and Vulcan Materials (VMC) both cleared buy points as the stock market was peaking in late January, but both stocks sunk back below their 200-day moving averages and are basically back where they were in the week Trump was elected. IBD's Building-Cement/Concrete/Aggregates industry group is ranked a lowly 144 out of 197 industry groups based on stock-price performance and momentum.Still, shares of Vulcan rose 1.35% on Monday, while Summit Materials (SUM) gained 1% and Eagle Materials (EXP) 1.2%.YOU MIGHT ALSO BE INTERESTED IN:Why The Stock Market Sold Off, And What You Should Do NowThis Shock Economic Outlook May Keep Stock Market On EdgeHow Do You Spot A Major Stock Market Top? Here's The Easy WayStocks Dive, But S&P 500 Earnings Beating Estimates By Most In YearsIt's Time To Review Your Stock-Selling SmartsIs It Time To Get Into — Or Out Of — The Stock Market?
"
6,VMC,"Stock fought to a positive finish on Wednesday, as health care and construction stocks booked some of the day's widest losses, while video-game stocks notched a bevy of breakouts.X The Dow Jones industrial average led, ending up 0.3%, boosted by Boeing's (BA) monster 5% advance, on the heels of its glowing Q4 results. The Nasdaq Composite rose 0.1%, while the S&P 500 struggled to a fractional gain.Markets dropped sharply after the Fed's 2 p.m. ET announcement. The committee held its target interest rate unchanged, but offered a slightly more wary tone on inflation. The day's other economic news was positive, with early data from ADP showing January hiring slipped less than expected, while December pending home sales and a Chicago-region manufacturing for January gauge easily topped expectations.The Dow was held back some by medical components Merck (MRK), Johnson & Johnson (JNJ) and Pfizer (PFE), which all dropped more than 2%. Drugmaker Eli Lilly (LLY) tumbled 5%, following a generally positive fourth-quarter report. But drug sector investors were apparently still reacting to Tuesday's news of an innovative health care partnership between Amazon.com (AMZN), Berkshire Hathaway (BRKA) and JPMorgan (JPM).Amazon advanced 1.5%, putting it 20% past its 1213.10 buy point and in a profit-taking zone. The other three FANG stock tech leaders lost ground. Netflix (NFLX) fell furthest, down nearly 3%, but still extended after its early January breakout.Tesla (TSLA) rose 2.5% in average trade, for its third gain in four sessions. Shares are now up more than 20% from their November low and back above support at their 10- and 40-week moving averages, climbing the right side of a possible four-month base pattern.The video game trade was among the day's winners, with Ninetendo (NTDOY), Take-Two Interactive (TTWO) and Electronic Arts (EA) all clearing buy points or adding to entries. Ninetendo trimmed gains in afternoon trade, but remained just beyond buy range above a cup-base buy point at 54.06. Electronic Arts pared its advance and held in its buy range, after topping a 122.89 buy point, also from a cup base.Take-Two chalked up a 7% surge to end at the very top of a buy range above a 120.72 cup base buy point.Concrete and aggregates suppliers took the session's worst performance among industries, with U.S. Concrete (USCR) tumbling more than 6%, Eagle Materials (EXP) down 5% and Martin Marietta (MLM) and Vulcan Materials (VMC) falling 3% apiece. Eagle materials posted a mixed fourth quarter report before the open, but the reaction could also have been linked to public-private infrastructure cost-sharing questions raised in President Trump's State Of The Union address.Among IBD 50 names, telecom software developer Casa Systems (CASA) gained more than 6% in soft trade. The stock is attempting to start the right side of its first base, ending about 10% below its Jan. 16 high and 46% above its December IPO price.Argentina-based bank Grupo Servielle (SUPV), also an IBD 50 name, jumped almost 5% in nearly average trade. The move technically placed the stock in a buy range on a rebound from support at its 10-week moving average. But volume would need to kick in over the next day or so in order to confirm the buying opportunity.At the bottom of the IBD 50 list, MiMedx Group (MDXG) and Daqo New Energy (DQ) each shed about 5%.Other Important Market News For Wednesday:Bring Your Game As Apple, Amazon, Alphabet Report: Action PlanBiggest U.S. Homebuilder Hits Resistance, Despite 40% Earnings GainHow To Sell: Don't Freeze If Double-Digit Gain In A Stock Shrinks FastLooking For Breakout Stocks Like Nvidia? Start With These Lists
"
7,VMC,"President Trump will bask in the glow of a strong economy, record stock market and the coming boost to take-home pay from tax cuts, as he delivers his State of the Union address Tuesday night.X But what investors really want to hear about are the agenda items that could kick the economy into still-higher gear, undercut its momentum or alter the fortunes of various industry groups. Steel tariffs, infrastructure funding, dealmaking over immigration to avoid a government shutdown, and the future of Nafta all could feature in Tuesday's speech.Ahead of the speech — in which Trump could announce whether he'll impose new restrictions on steel imports — steel stocks were among the better-performing groups on the stock market today, though most of the early gains faded. Steel Dynamics (STLD) rose 0.1%, U.S. Steel (X) 0.5% and AK Steel (AKS) 0.7%, while the Dow Jones industrial average, S&P 500 index and Nasdaq composite traded modestly lower.The theme of Trump's speech is a ""safe, strong and proud America,"" so it wouldn't be surprising for him to preach a hard line on trade disputes. The real question is whether he'll announce new trade measures, double-down on his threat to walk away from Nafta, or whether he'll be satisfied to tout his recent actions slapping tariffs on solar cells and big washing machines.The Commerce Department on Jan. 11 announced that it has completed its national security investigation into the impact of steel mill product imports, giving President Trump 90 days to decide whether to impose any remedies. CNBC reported last week that Commerce recommended a wide range of options to deal with aluminum and steel dumping in the U.S., including potentially higher tariffs.Yet Monday's stock gains may have been fueled by an announcement from AK Steel that it was hiking current spot-market base prices for all carbon flat-rolled steel products by a minimum of $30 per ton — its second announced price hike this year.""Domestic steel inventory levels have moderated,"" Steel Dynamics CEO Mark Millett said last week in an earnings statement. ""World steel demand and pricing have structurally improved and domestic steel demand remains healthy.""IBD'S TAKE: Martin Marietta Materials is ranked No. 4 by IBD in the Building-Cement/Concrete/Aggregates industry group based on earnings, sales, margin and stock performance trends. Visit IBD Stock Checkup to see the leaders in each category. Cement makers have been laggards, ranked No. 135 out of 197 groups. As long as the current ""confirmed uptrend"" — the equivalent of a green light — stays in place, leading stocks in leading groups that break above a buy point are more likely than not to have the wind at their backs. Here's a good place to start looking for stocks that may be poised to move higher.The steel industry has tried to keep pressure on the White House to come to its aid, but given the improving fundamentals, it's not clear how far Trump will want to go in risking what could be a messy trade dispute and likely hike prices for domestic steel customers.Meanwhile, the latest round of Nafta negotiations appears to be ending on a concerning note, with Reuters reporting that the countries won't issue a joint statement about the path forward for settling their differences. Wall Street remains concerned that Trump could start a six-month clock to a unilateral withdrawal from the trading pact, but Trump may secretly be satisfied with the status quo. We'll probably have a better idea after Tuesday night.The other two big agenda items revolve around how Trump will work Democrats, both on immigration and infrastructure, since there's not much he can do with the slimmest of majorities in the Senate.On infrastructure, the White House has reportedly embraced a strategy to lure more than $1 trillion in private, state and local funding with the hook of $200 billion in federal funds. Prospects for such a deal passing Congress appear slim, though, in part because Democrats want more federal funding, and Republicans are expected to demand spending cuts to offset any new spending commitments.Yet IBD's Building-Cement/Concrete/Aggregates industry group is finally showing signs of life after mostly missing out on 2017's big stock market gains. Martin Marietta Materials (MLM) and Vulcan Materials (VMC) both cleared buy points in the past week and remain within the 5% chase zone. Martin Marietta shares slipped 1.4% on Monday, while Vulcan Materials was off 1.7%.An unexpected boost to federal infrastructure spending would be gravy on top of lower corporate tax rates and a strengthening economy, so investors will be listening to see if Trump offers a deal Democrats can't refuse.As long as Trump doesn't pull the plug on Nafta, and it seems unlikely that he will, then the clearest risk to economy and stock market comes from the potential for a prolonged government shutdown. While Democrats backed down after a 3-day shutdown last week, the reprieve was only temporary, with government funding extended through Feb. 8.Trump's words on Tuesday about what kind of immigration changes he'll demand in exchange for preserving legal status for Dreamers, which is set to lapse starting March 5, will set the tone for the negotiation ahead, but the signals so far look ominous. Democrats denounced the White House's proposal last week to end family unification immigration, also known as chain migration, beyond spouses and children.The key unknowns are whether there are 41 Democrats who will refuse to take ""no"" for an answer when it comes to Dreamers and whether Trump will give them any deal they'll accept. The potential for politics to drag down the economy seems real — especially because the government is set to hit its borrowing limit in late March, raising the risk of a debt default.YOU MIGHT ALSO BE INTERESTED IN:Will The Trump Tax Cuts Make Wages, Growth Sizzle? Here's The EvidenceHere Comes A $1 Trillion — Scratch That — $2 Trillion U.S. Federal DeficitGrubhub, Redhat Lead These Three IBD 50 Stocks In Buy RangeHow To Invest In Stocks For Free: New Apps Aim For BeginnersHow To Invest In The Stock Market: Start With A Simple Routine
"
8,VMC,"What accounts for USAA Aggressive Growth Fund's (USAUX) tidy gain so far this year? In terms of holdings, the credit goes to Amazon (AMZN), Mastercard (MA), Salesforce.com (CRM) and Booking Holdings (BKNG) (formerly Priceline).X They're among the fund's best performing stocks this year, and have helped propel it to a 6.17% gain going into Thursday vs. 6.09% for its large-cap growth peers tracked by Morningstar and 2.35% for the S&P 500.But those stocks might not have had meaningful positions in the portfolio were it not for new fund managers John Jares and Craig Behnke, who took the reins of the fund in August last year.For the board of the USAA Aggressive Growth Fund, 2016 was the straw that broke the camel's back.After years of consistently trailing its benchmark — the Russell 1000 Growth Index — in 2016 the fund posted a return of 0.72%. That year the Russell 1000 Growth rose 7.08% and the S&P 500 Index gained 11.96%. The fund's parent company knew drastic action needed to be taken. It fired the subadvisors managing the fund, Winslow Capital and Wellington Capital, and gave it to two in-house portfolio managers, John Jares and Craig Behnke, in August 2017.Track Top Stocks And Market Trends With Free IBD NewslettersSince then, the managers have looked at each of the 125 stocks in the fund and done their own fundamental research. They've sold many stocks, narrowing the fund down to a smaller, lighter, more concentrated portfolio of 80 stocks with the goal of hitting around 70.""I don't know what was going on before, but by virtue of having two subadvisors, it was over diversified, and had little chance of outperforming,"" said Jares. ""We want to differentiate ourselves based on security selection, keep the beta in line with the benchmark, and add alpha through stock selection. We're nearly done with the process. We have 15 names to go.""The fund kept the top five holdings: Apple (AAPL), Microsoft (MSFT), Alphabet (GOOG), which is the parent of Google, Visa (V) and Amazon. It also kept Facebook (FB) and PayPal (PYPL). Among the names sold were Alibaba (BABA), Expedia (EXPE), Citrix Systems (CTXS), Amdocs (DOX), Teradyne (TER) and Cirrus Logic (CRUS).They're not just selling. They've also been adding new stocks and boosting the concentrations of the ones they like. When they took over the fund, 15 stocks made up 30% of the portfolio. Jares said by the time he's done, 15 stocks will make up about 40% of total assets.""It's a tale of two different time periods,"" said Behnke. ""From Sept. 1, 2017, to Dec. 31, 2017, when we were in the process of turning over a lot of the portfolio, our performance relative to the Russell 1000 Growth trailed by 200 basis points."" Even so, the fund ended 2017 up 30.05% vs. the Russell's 30.21% and the S&P's 21.83%.Now that the fund is closer to the managers' ideal portfolio, from Jan. 1 through March 4, it beat its benchmark by 105 basis points.Jares said the fund has performed well because of its holdings in technology and the consumer discretionary sector. Despite this, the managers have reduced the fund's technology weighting to 40% from 46%. And they increased the consumer discretionary weighting to 16.2% from 13.1%. Overall, they've broadened the fund's sector exposures by diversifying the number of sectors, while concentrating the number of stocks.Among the new stocks, they like Vulcan Materials (VMC)) so much that it became a top 10 holding. Based in Birmingham, Ala., the company supplies crushed stone, known as aggregates, along with concrete and asphalt to make roads and bridges.""Those aggregates have seen nice pricing power,"" said Jares. ""And in an improving economy where you may have infrastructure programs coming down the pike, their volume outlook is excellent.""The company has grown earnings at a 48% annual clip the past three years, but the stock is 14% off its 52-week high and trading below its 50-day and 200-day moving averages, a bearish sign.Edwards Lifesciences (EW), which makes catheters to treat heart disease, has grown earnings at an annual pace of 29% in the past three years.""The original estimates of that market were $3 billion over the next three to five years,"" said Behnke. ""But with lower death rates and lower complications compared to surgery, those numbers are so strong that the total addressable market increased and the current estimate is $5 billion. Through our research and our industry contacts, over the next 12-24 months estimates for that market could push to the $6 billion-$8 billion range by 2025.""Jares also likes HP (HPQ), which he expects to become a growth company again. Best known for making computer printers, HP, Jares notes, is launching a new line of copiers. As 3-D printing kicks in, the company will become a leader again, he says. Jares says he expects HP will see growth return in the mid-single-digit range.The fund charges a below average expense ratio of 0.81%.RELATED:Look At What Hot Stocks Are Driving This Market-Beating Mutual FundDow Retakes 50-Day As Apple Pegs New Closing High; Bitcoin Dives
"
9,VMC,"U.S. stock indexes showed no inclination to give back gains in early afternoon trade Tuesday, as steel and infrastructure stocks rumbled higher.X The Nasdaq hustled 1.2%, while the small cap Russell 2000 and the S&P 500 added 0.8% and 0.6%, respectively. The blue chip Dow Jones industrial average inched up 0.2%.Volume in the stock market today was 35% to 45% higher, wasting no time shaking the post-Christmas slowdown.Steel stocks led the day's gainers. United States Steel (X) rushed ahead 5%. Carpenter Technology (CRS) stabbed 4% higher. Steel Dynamics (STLD) gained 4%.The cement group headed for a seventh consecutive daily gain in a row.Eagle Materials (EXP) rose 3%. Vulcan Materials (VMC) echoed the gain. Martin Marietta Materials (MLM) added 2%. A Newsweek story Tuesday said the congressional Republicans' first priority in 2018 will be an infrastructure package.Blue chips were skipping the day's bullishness. While most stocks in the Dow were up, the top-weighted stocks were either down or up little. The Dow is a price-weighted index.In the S&P 500, medical products provider Baxter International (BAX) gapped up 5%, clearing a shallow consolidation.RELATED:Will Apple Buy Netflix?Can Stocks Repeat Their Wins In 2018?How To Make A Million Dollars: Saving And Investing Tips For KidsWhen To Sell A Great Stock: Can An Upper Channel Help You?
"
