,ticker,content
0,WLTW,"Willis Towers Watson (WLTW) had its Relative Strength (RS) Rating upgraded from 70 to 78 Monday -- a welcome improvement, but still below the 80 or better score you prefer to see. X This exclusive rating from Investor's Business Daily tracks share price action with a 1 (worst) to 99 (best) score. The grade shows how a stock's price performance over the trailing 52 weeks compares to all the other stocks in our database. Decades of market research reveals that the best stocks often have an 80 or higher RS Rating as they launch their largest climbs. See if Willis Towers Watson can continue to show renewed price strength and hit that benchmark. Willis Towers Watson broke out earlier, but has fallen back below the prior 150.57 entry from a flat base. If a stock you're tracking clears a buy point then declines 7% or more below the original entry price, it's considered a failed base. Wait for the stock to set up and breakout from a new base and buy point. Also keep in mind that the most recent pattern is a later-stage base, and those involve more risk. Willis Towers Watson posted -13% earnings growth in the latest quarterly report, while sales growth came in at 0%. The company holds the No. 7 rank among its peers in the Insurance-Brokers industry group. Health Insurance Innovations (HIIQ), Kingstone Companies (KINS) and Aon (AON) are among the top 5 highly rated stocks within the group.RELATED:Stocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,WLTW,"Gallagher Arthur J & Co (AJG) had its Relative Strength (RS) Rating upgraded from 66 to 73 Monday -- a welcome improvement, but still below the 80 or higher score you look for. X This exclusive rating from Investor's Business Daily measures market leadership with a 1 (worst) to 99 (best) score. The grade shows how a stock's price movement over the last 52 weeks compares to all the other stocks in our database. Over 100 years of market history reveals that the best stocks typically have an RS Rating north of 80 in the early stages of their moves. See if Gallagher Arthur J & Co can continue to show renewed price strength and clear that threshold. Now is not an ideal time to jump in since it isn't near a proper buy zone, but see if the stock is able to form a chart pattern and break out.Earnings growth dropped last quarter from 18% to 7%. But revenue gains moved higher, from 9% to 10%. Gallagher Arthur J & Co earns the No. 6 rank among its peers in the Insurance-Brokers industry group. Kingstone Companies (KINS), Health Insurance Innovations (HIIQ) and Willis Towers Watson (WLTW) are among the top 5 highly rated stocks within the group.RELATED:IBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
2,WLTW,"Several industry groups in IBD’s database have been outperforming in recent weeks. Here’s a look at some of top performers over the past four weeks. The Computer Software-Gaming group ranks in the bottom half of IBD’s 197 industry group rankings, but it’s been the top performer in the past four weeks, up about 10%. China-based NetEase (NTES) has been in…
"
3,WLTW,"Hedge funds fled equities in the first quarter, with Apple (AAPL) and PepsiCo (PEP) the most-sold stocks, S&P Global Market Intelligence said in a report Wednesday.The top 10 hedge funds managed about $141 billion in equity holdings in Q1, down more than $18 billion from Q4 2015. The funds decreased the total number of stock positions held from 427 to 408, the fewest stock positions held since S&P Global Market Intelligence began tracking such data in 2014. It was the second consecutive quarter of equity sell-off by the large funds.Consumer discretionary and information technology stocks led the sell-off, with Apple ranked seeing the most selling for an individual stock last quarter. The major hedge funds sold $5.4 billion worth of Apple stock in Q1.Other top sells included PepsiCo ($1.8 billion), Amazon.com (AMZN) ($1.4 billion), Priceline (PCLN) ($1 billion) and Walgreen Boots Alliance (WBA) ($1 billion).The highest volume of buying among the top hedge funds occurred in Facebook (FB) stock, with a total of $2.3 billion in buys in the first quarter, S&P said. Other top buys included Broadcom (AVGO) ($1.5 billion), Alphabet (GOOGL) ($945 million), Eli Lilly (LLY) ($892 million) and Willis Towers Watson (WLTW) ($884 million).RELATED:As Growth Investors Flee Apple, Warren Buffett Sees ValueStartup Bubble Bursting, Valuations Due For Reset, Analyst Says.
"
4,WLTW,"Not all insurance groups are doing well this year. Life insurance stocks are, collectively, down 6.3% this year. But a number of other insurance groups have scrambled off lows in the past eight weeks. Property and casualty insurers, for example, are up 3.6% year to date and 6.6% over the past eight weeks. The insurance brokers group is up 3.3% for…
"
5,WLTW,"Aon plc (AON  -  Free Report) has recently joined forces with HP Inc. (HPQ  -  Free Report) to launch an integrated set of cyber risk management solutions for customers.  The new collaborative solution is expected to be launched in fall 2018. It will be initially offered directly by HP as well as through its channel partners in the United States. From next year onward, the solution will be available outside the U.S. too.What Does the Collaboration Offer?The offering includes hardware-level security protection, comprehensive risk assessment and remediation, rapid incident response and options for enhanced cyber insurance coverage. HP Device as a Service (DaaS), the main carrier of the solution provides multi-OS device management support to the businesses along with assistance of advanced analytics and proactive management capabilities. Aon's cybersecurity professionals will evaluate a company's cybersecurity status and provide suggestions to improve defenses with the help of Aon's proprietary assessment tool.HP DaaS enables businesses to provide employees with access to appropriate hardware, accessories and lifecycle services to counter the cyber threats. In addition, the chief solution provider's aid of analytics and proactive management service help proactively address security risks before the users’ performance gets affected.By providing admittance to Aon's comprehensive broking resources, HP DaaS and Aon's Cyber Resilience Evaluation jointly facilitate businesses to qualify for enhanced cyber insurance coverage. With the assurance of in-time support from Aon's incident response team, this joint effort further ensures best-in-class pricing and deductibles to manage the financial perils.  Need for the OfferingIn the continuously evolving platform of cyberattacks, the number of devices and operating systems used by enterprises is also drastically increasing. The failure to protect information of clients and customers costs insurers millions in terms of fines and other expenses. This not only hurts a company’s underwriting results but also induces loss.HP estimates that by 2020, there will be nine billion commercial devices worldwide with an average of four devices per user,  incurring extra costs and complexity for businesses. 82% of IT teams states that it's enormously challenging to secure data and devices within this environment.Management’s TakeManagement remains optimistic about the alliance with HP, which it believes to further bolster Aon's unique and industry-leading approach toward cyber risk management. It is of the opinion that the comprehensive solution would help organizations manage the technical aspects of endpoint security and business continuity. It is also expected to remain favorable toward overall security posture along with mitigating financial exposure.On the other hand, HP thinks that coupling Aon's expertise in cybersecurity capabilities and risk management solutions with its renowned security features and device management capabilities will successfully meet customer demand in the rapidly changing landscape of cyber threats.Initiatives by Other PlayersWith the rising cost of data breach, insurers are proactively adopting new technologies to protect their clients and customers.Earlier this month, leading insurance broker Willis Towers Watson Public Limited Company (WLTW  -  Free Report) a launched the latest version of its innovative Cyber Risk Profile Diagnostic tool, allowing organizations to identify and analyze risk prone areas of cyber exposure and vulnerability by measuring the respective current cyber maturity.Earlier this week, Hartford Financial Services Group, Inc (HIG  -  Free Report) also launched an admitted cyber liability product named CyberChoice First Response to address the cyberattacks suffered by the businesses.Share Price PerformanceAon’s relentless endeavors to ensure customer satisfaction have therefore helped it gain shareholders’ appreciation. In a year’s time, the stock has returned 17.1%, outperforming the industry’s rally of 13%. Zacks RankAon carries a Zacks Rank #3 (Hold). You can see the complete list of today’s Zacks #1 Rank (Strong Buy) stocks here.5 Medical Stocks to Buy NowZacks names 5 companies poised to ride a medical breakthrough that is targeting cures for leukemia, AIDS, muscular dystrophy, hemophilia, and other conditions.New products in this field are already generating substantial revenue and even more wondrous treatments are in the pipeline. Early investors could realize exceptional profits.Click here to see the 5 stocks >>
"
6,WLTW,"The Hartford Financial Services Group, Inc. (HIG  -  Free Report) has recently launched an admitted cyber liability product named, CyberChoice First Response to address the cyberattacks suffered by the businesses. This initiative comes with an objective to lower the damages caused to the company’s profitability and reputations due to a spate of cyberattacks.The New OfferingCyberChoice First Response helps businesses combat cyberattack challenges like data privacy and network security, media, ransomware and business interruption with complete opportunity of customization. The product would also enable the company to track down and respond to cyber threats.Provision of coverage for pre-claim expenses, recognition of internal expenses incurred due to a breach, 24/7 cyber incident hotline assistance, protection against system failure and administrative error are some of the major features of the product. CyberChoice First Response would also offer coverage, related to a regulatory inquiry plus regulatory fines and defense as well as expenses incurred on a regulatory proceeding.The new product provides business owners with vital access to a guidance panel of pre-approved service providers, who could assist to secure the invaded networks with their expert advice and know-how. For customers, Hartford Financial offers a digital cyber risk management portal called The Hartford Cyber Center, which equips customers with tools, training materials and suggestions on best practices to mitigate the cyber intrusion risks.Rationale Behind the LaunchThe failure to protect information of the policyholders costs insurers millions in terms of fines and other costs. A report by Accenture plc (ACN  -  Free Report) states that insurance companies experience 113 cyberattacks on an average every year with one out of three successfully inflicting serious data violation. This not only hurts a company’s underwriting results but also causes loss.Management at Hartford Financial believes that CyberChoice First Response is a comprehensive insurance solution to provide insurers and their clients with complete coverage on the rapidly changing landscape of cyber threats.The responsibility of the new product does not end once the claim is resolved but it also offers post-incident coverage to enable a business improve its overall security position prepared beforehand against possible cyberattacks.Initiatives by Other PlayersWith the average cost of a data breach exceeding $3 million, insurers are proactively adopting new technologies to protect their clients and customers.Earlier this April, Willis Towers Watson Public Limited Company (WLTW  -  Free Report), a leading insurance broker, launched the latest version of its innovative Cyber Risk Profile Diagnostic tool, which allows organizations to identify and analyze risk prone areas of cyber exposure and vulnerability by measuring the respective current cyber maturity.Last December, American International Group, Inc. (AIG  -  Free Report) announced a new cyber benchmarking model, which quantifies and scores client cyber risk.Share Price PerformanceHartford Financial’s relentless efforts to ensure customer satisfaction have therefore helped it gain shareholders’ appreciation. In a year’s time, the stock has returned 6.2%, outperforming the industry’s rally of 0.6% Zacks RankHartford Financial carries a Zacks Rank #3 (Hold).You can see the complete list of today’s Zacks #1 Rank (Strong Buy) stocks here.Looking for Stocks with Skyrocketing Upside?Zacks has just released a Special Report on the booming investment opportunities of legal marijuana.Ignited by new referendums and legislation, this industry is expected to blast from an already robust $6.7 billion to $20.2 billion in 2021. Early investors stand to make a killing, but you have to be ready to act and know just where to look.See the pot trades we're targeting>>
"
7,WLTW,"Willis Towers Watson Public Limited Company (WLTW  -  Free Report) has joined as one of the two Founding Anchor Partners of Plug and Play’s brand new innovation platform, Enterprise 2.0. This newly launched platform will help facilitate the transformation, organization as well as optimization of the company’s culture, management structures and workflow.On Sep 5, 2017, Willis Towers entered into a partnership agreement with Plug and Play, which has emerged as the world’s leading startup accelerator and open innovation platform. In fact, the new platform will allow Willis Towers and Plug and Play to collaborate with various start-ups and other corporations and enhance innovation and efficiencies in the fields of Finance, Human Resources, IT, Legal and Operations.The new platform has been created for organizations, engaged in building and sustaining ingenious work culture to be well-positioned in the future. As a result, workforce engagement and technology enhancement will be carried out efficiently, leading to effective execution and utilization of business strategies as well as advanced operations.With rapid digitization and ever-changing talent requirements, organizations across the globe are finding it difficult to cope with and address such shifting trends. It is on this front that the new platform can play an instrumental role, helping the insurance broker discover opportunities with start-ups and providing advanced solutions to improve and engage talent needs. Such needs will be aligned with the clients’ requirements, helping them to attain the desired business results and a more solid, profitable future.The latest collaboration is set to benefit Willis Towers in fulfilling its objective of a more secure, stronger and a lucrative future business outcome, apart from strengthening the clients’ demands. Moreover, the insurance broker will be able to realize operational opportunities through such strategic initiatives, leading to a better overall performance and growth in the near future.Zacks Rank and Share Price MovementWillis Towers carries a Zacks Rank #3 (Hold). Shares of Willis Towers have outperformed the industry in a year’s time. The stock has gained 23.3% compared with the industry’s rally of 19.2%. We expect organic growth in commissions and fees, strong sales pipeline, strategic initiatives and a robust capital and financial position to drive the shares higher in the near term. Stocks to ConsiderSome better-ranked stocks from the insurance industry are Radian Group (RDN  -  Free Report), CNO Financial Group (CNO  -  Free Report) and American Financial Group (AFG  -  Free Report), each carrying a Zacks Rank #2 (Buy). You can see the complete list of today’s Zacks #1 Rank (Strong Buy) stocks here.    Radian Group offers mortgage and real estate products and services in the United States. The company delivered positive surprises in three of the last four quarters with an average beat of 7.9%.CNO Financial develops, markets and administers health insurance, annuity, individual life insurance and other insurance products for senior and middle-income markets in the United States. The company came up with positive surprises in the last four quarters with an average beat of 23.9%.  American Financial provides property and casualty insurance products in the United States. The company pulled off positive surprises in the trailing four quarters with an average beat of 26.3%.Will You Make a Fortune on the Shift to Electric Cars?Here's another stock idea to consider. Much like petroleum 150 years ago, lithium power may soon shake the world, creating millionaires and reshaping geo-politics. Soon electric vehicles (EVs) may be cheaper than gas guzzlers. Some are already reaching 265 miles on a single charge.With battery prices plummeting and charging stations set to multiply, one company stands out as the #1 stock to buy according to Zacks research.It's not the one you think.See This Ticker Free >>
"
8,WLTW,"In a concerted effort to share more profits with shareholders, the board of directors of Horace Mann Educators Corporation (HMN  -  Free Report) has approved a 3.6% hike in its quarterly dividend. The company will now pay a quarterly dividend of 28.5 cents per share compared with 27.5 cents paid on Dec 29, 2017. Shareholders of record as of Mar 19 will now be rewarded with the meatier dividend in their pockets on Mar 30, 2018.Notably, the increased dividend denotes an annualized payout of $1.14 per share. Further, the company’s current dividend yield is 2.7%, which is slightly better than the industry average of 2.5%.Prior to this, in Mar 2017, the company raised its quarterly dividend by 3.8% to 27.5 cents per share. Historically, the company boasts a diligent increase in dividends with the metric having witnessed a six-year CAGR (2012-2018) of 14%.The recent dividend hike represents the company’s 10th consecutive yearly increase, thereby reflecting the Multi line insurer’s solid operational performance in 2017. Moreover, the company’s solid financial position provides enough support to participate in shareholder-friendly moves like dividend hikes and share buyback authorization. In fact, Horace Mann’s annualized 2017 shareholder dividend of $1.10 per share reflects a 4% rise from the same in 2016 with total dividends paid amounting to $46.1 million in the year.Banking on a robust capital position with sufficient liquidity and strong cash flows, Horace Mann has been consistently making efforts in improving long-tern shareholder value and remains focused on sustained profitable growth.Apart from approving dividend hikes, the company has been authorizing share repurchase programs and has bought back shares worth $72.2 million since December 2011.Such steadfast endeavors instill confidence among investors and make it an attractive pick for yield seeking investors. We expect the company to indulge in such measures in the near term as well, which will continue to enhance the shareholder value.Zacks Rank and Share Price MovementHorace Mann carries a Zacks Rank #3 (Hold). You can see the complete list of today’s Zacks #1 (Strong Buy) Rank stocks here.     Shares of the company have underperformed the industry in a year’s time. The stock has gained 2.5% compared with the industry’s increase of 4.0%. However, we expect sustained operational performance, strategic initiatives and a solid financial position to help rebound the stock shortly. Recently, the board of Chubb Limited (CB  -  Free Report) has announced its intention to propose a 2.8% increase in annual dividend while Willis Towers Watson Public Limited Company’s (WLTW  -  Free Report) board members have hiked the company’s quarterly dividend by 13%. Also, Manulife Financial Corporation (MFC  -  Free Report) has approved a 7% raise in its quarterly payout.The Hottest Tech Mega-Trend of AllLast year, it generated $8 billion in global revenues. By 2020, it's predicted to blast through the roof to $47 billion. Famed investor Mark Cuban says it will produce ""the world's first trillionaires,"" but that should still leave plenty of money for regular investors who make the right trades early.See Zacks' 3 Best Stocks to Play This Trend >>
"
9,WLTW,"The board of directors of FBL Financial Group Inc. (FFG  -  Free Report) has approved a special dividend, a quarterly raise and a share repurchase authorization. These effective capital deployment moves reflect the company’s concerted efforts to enhance shareholders’ value.With a 4.5% hike, the company will pay out a meaty dividend of 46 cents per share on Mar 29 to shareholders of record on Mar 15. Based on the Mar 1 closing price of $65.20, the annualized dividend of $1.60 has a yield of 2.82%, above the industry average of 1.99%.FBL Financial Group has a solid track record of increasing its dividend,  which witnessed a 10-year CAGR of about 13.9%.The company’s board has also announced a special dividend of $1.50 per share. Notably, the insurer has been paying the same for the last four years. To that end, it deploys excess capital to make the special payout. At 2017-end, the company had about $40 million of excess capital.Concurrently, a $50-million share buyback program was also sanctioned by the company. However, the new program that remains open till Mar 31, 2022, will come into effect once the previous authorization expires on Mar 31, 2018.FBL Financial Group’s stable balance sheet position, cushioned with a solid substantial operational performance, will likely support its payout. To its credit, this Zacks Rank #2 (Buy) multi-line insurer delivered positive surprises in two of the last four quarters with an average beat of 1.54%.  The company exited 2017 with record net income and non-GAAP operating income.Shares of FBL Financial Group have underperformed the industry year to date. The stock has lost 6.4%, wider than the industry’s 5.1% decline. We expect the company’s shareholder-friendly endeavors to help rebound the stock. A favorable operational result and a robust capital status have prompted several insurers to share more profits with the respective shareholders. Recently, the board members of Chubb Limited (CB  -  Free Report) have announced that it will propose a 2.8% raise in annual dividend while Assured Guaranty Ltd  has approved a 12% increase in quarterly dividend. The board of Willis Towers Watson Public Limited Company (WLTW  -  Free Report) too has of late hiked its quarterly dividend by 13% as well as approved a $400-million addition to its share buyback program.You can see the complete list of today’s Zacks #1 Rank (Strong Buy) stocks here.Don’t Even Think About Buying Bitcoin Until You Read ThisThe most popular cryptocurrency skyrocketed last year, giving some investors the chance to bank 20X returns or even more. Those gains, however, came with serious volatility and risk. Bitcoin sank 25% or more 3 times in 2017.Zacks’ has just released a new Special Report to help readers capitalize on the explosive profit potential of Bitcoin and the other cryptocurrencies with significantly less volatility than buying them directly.See 4 crypto-related stocks now >>
"
