,ticker,content
0,YUM,"Yum! Brands (YUM) had its Relative Strength (RS) Rating upgraded from 70 to 73 Friday -- a welcome improvement, but still below the 80 or higher score you prefer to see. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.This exclusive rating from Investor's Business Daily tracks market leadership with a 1 (worst) to 99 (best) score. The score shows how a stock's price performance over the last 52 weeks compares to all the other stocks in our database. History shows that the market's biggest winners typically have an RS Rating north of 80 in the early stages of their moves. See if Yum! Brands can continue to rebound and hit that benchmark. See How IBD Helps You Make More Money In StocksYum! Brands is working on a cup without handle with an 87.03 buy point. See if it can break out in heavy volume. Yum! Brands reported 20% EPS growth in the latest quarterly report. Sales gains came in at -16%. The company holds the No. 13 rank among its peers in the Retail-Restaurants industry group. Ruths Hospitality (RUTH), Texas Roadhouse (TXRH) and Yum China (YUMC) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Retail Industry News And Stocks To WatchStocks With Rising Relative Strength RatingsWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
1,YUM,"Grubhub (GRUB) is the IBD Stock of the Day, and it could be poised to make tasty gains as it flirts with a buy point.XThe Chicago-based online and mobile food ordering company has carved out a niche by delivering meals from a wide variety of local restaurants.Its ordering platforms allow diners to order from more than 80,000 takeout restaurants in over 1,600 cities in the U.S., while the company has branched out to cover the English capital of London. The firm's brands include Grubhub, Seamless, Eat24, AllMenus and MenuPages.The stock was down 2.8% at 104.77 on the stock market today, dropping back below a 105.78 entry. Grubhub initially broke out from a double bottom base last week, but volume was so-so. It also hit resistance at its prior high afterward.While Grubhub set an intraday high of 113.61 on Tuesday, the stock finished well below that mark, and its Relative Strength line that day didn't hit a new high, a bearish sign. But if Grubhub can top its 113.61 high in big volume, that would be a buy signal.Meanwhile, the stock boasts excellent fundamentals, which is reflected in its unbeatable IBD Composite Rating of 99. It also boasts a top notch EPS Rating of 99.Amazon (AMZN), which has its own food delivery service, was down 0.4%. As well as smaller outlets, Grubhub also delivers from the likes of Jack In The Box (JACK) and Denny's (DENN). Back in February it signed a partnership with Yum Brands (YUM) to be its exclusive online delivery partner for Taco Bell and KFC.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseHowever, the stock has already made mammoth gains in the last 12 months. Its value has risen by around 140% from its closing mark of 43.88 this time last year, reducing the odds for another big run-up.The Relative Strength has also been lagging and has slid this week. Ideally, the line will hit a new high before the stock breaks out. But if not, then look for the line to at least follow the stock in tandem to a new high, confirming a buy signal.In addition, the stock has been enjoying annual EPS growth above 25% for the past three years, a key CAN SLIM requirement. Analysts see EPS growing by 47% this year, but then slowing to 27% growth in 2019.YOU MAY ALSO BE INTERESTED IN:IBD Stock Of The Day: Bank To The Tech Stars Sets Up Swing Trade, Add-On ChancesIBD Stock Of The Day: Chinese Internet Giant Powers Into Buy ZoneNasdaq Hits New High As Some FAANG Stocks Cool; 5 Reasons Why Market Uptrend Is StrongWhich Stocks Are Showing Rising Relative Strength?How To Make Money In Stocks Using The CAN SLIM Investing System 
"
2,YUM,"Yum China (YUMC) shares fell after the closing bell after the company's first-quarter same-store sales came up short of expectations, weighed down by a weak performance at Pizza Hut.XEstimates: Wall Street expects the company — which runs KFC, Pizza Hut and Taco Bell locations in China — to report earnings per share of 49 cents, up 11%. System-wide same-store sales are expected to rise 3.3%, with a 3.8% gain at KFC and a 0.3% dip at Pizza Hut, according to Consensus Metrix.Results: Same-store sales rose 3%. EPS came in at 53 cents. Same-store sales rose 5% at KFC but fell 5% at Pizza Hut.Total revenues rose 15% to $2.2 billion. Stock: Shares tumbled 7% after hours in the stock market today. Yum Brands (YUM), the parent company of the three fast-food chains that spun off Yum China in 2016, was unchanged after hours. Yum Brands reports on Wednesday.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe company has been trying to expand its digital and delivery ordering options, while turning around Pizza Hut, and the company noted its difficulties with the chain on Tuesday. In February, the company also warned that its results in 2018 would be competing against ""two very successful Chinese New Year promotions"" in the past.Yum China in February said it has also been adding new products to its menus at KFC and Pizza Hut, adding that at KFC ""Chinese consumers are continually upgrading their choices, and hence they are increasing the need for more premium ingredients.""During the first quarter, mobile payments made up roughly 56% of Yum China's sales, well up from 31% a year earlier, Yum China said on Tuesday. Online delivery made up 16% of the company's sales, up from 13% a year ago.CEO Joey Wat said in a statement on Tuesday that the company's focus on ""food innovation and customer experience, together with the execution of strategic priorities in digital and delivery, has enabled us, and will continue to enable us, to build a stronger Yum China.""Yum China during the quarter also took an extra 36% stake in Wuxi KFC, an affiliate that operates KFC locations in Wuxi China. The move bumps up Yum China's stake in Wuxi to 83%.Meanwhile, Yum Brands will be reporting in the wake of the departure of Brian Niccol, who helped turn Taco Bell around, to Chipotle Mexican Grill (CMG). Shares of Chipotle, along with Domino's Pizza (DPZ), jumped after the companies reported earnings last week.Chipotle edged up 0.2%. McDonald's (MCD), which reported on Monday, fell 2.6%.YOU MIGHT BE INTERESTED IN:6 Ways To Play Dow Stocks: Did You Cash In On McDonald's Big Gain?Will Taco Bell Template Work For Chipotle's New CEO?Domino's Pizza Just Began Delivery To Parks, Beaches, Thousands Of Hot Spots
"
3,YUM,"When Wingstop's (WING) chief executive talks about serving its chicken wings fresh and hot, it's no longer just for in-restaurant customers or takeout orders. X On the company's April earnings call, analysts peppered CEO Charlie Morrison over the company's home delivery partnership with DoorDash. The chicken-wing restaurant chain is using the partnership to test delivery to…
"
4,YUM,"Taco Bell parent Yum Brands (YUM) reported Q1 profits that beat forecasts, amid a strong earnings season for restaurant chains overall, but mostly weak same-store sales.Estimates: Wall Street expects EPS to jump 5% to 68 cents, according to Zacks Investment Research, while revenue falls 24% to $1.078 billion. Consensus Metrix saw systemwide same-store sales ticking up 2%, rising 2.8% at KFC, 1.8% at Pizza Hut and 0.5% at Taco Bell.
"
5,YUM,"Results: EPS of 90 cents on revenue of $1.37 billion. Same-store sales rose 1%, with KFC up 2%, Pizza Hut 1% and Taco Bell 1%.""As a result of the timing mismatch between re-franchising and associated G&A savings and the new revenue recognition accounting standard, core operating profit growth was flat, which is consistent with our expectations,"" CEO Greg Creed said. ""We're maintaining all aspects of our full-year 2018 guidance and remain confident that this transformation is building a strong foundation for long-term growth and will deliver increased returns for our stakeholders.""Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseStock: Shares in Yum Brands tumbled 7.55% to 80.10 on the stock market today, undercutting an 84.03 entry from an 8-week cup-with-handle base cleared last month. Yum Brands also knifed below its 50-day moving average.Yum China (YUMC), which beat Q1 earnings views late Tuesday but missed on KFC comp sales, plunged 14.2% to the lowest level since September. Yum China tumbled overnight when same-store sales came up short of expectations, weighed down by a weak performance at Pizza Hut.Among other fast-food stocks, McDonald's (MCD), which beat estimates earlier this week, slid 1.7%. Burger King parent Restaurant Brands International (QSR), which beat last week, was down 0.3%.Despite Yum China's stumble, the restaurant sector has started the earnings season strong.In addition to McDonald's and Restaurant Brands beating views, Chipotle Mexican Grill (CMG) and Domino's Pizza (DPZ) soared last week after topping profit forecasts. So did BJ's Restaurants (BJRI).YOU MAY ALSO BE INTERESTED IN:Texas Roadhouse Beats Q1 Comp Views, Sees Q2 Surge; Food Costs Pick Up Yum China's Shares Fall As Q1 Pizza Hut Sales Stumble  How To Analyze A Stock's Cup With Handle New Option Strategy Limits Risk Around EarningsHow To Invest In The Stock Market: Start With A Simple Routine
"
6,YUM,"Wingstop (WING) reported first-quarter results that beat expectations after hours on Thursday, while Shake Shack (SHAK) jumped after it put up a surprise gain in same-store sales and bumped its 2018 sales outlook higher.Estimates: Wall Street expects the chicken-wing chain to report earnings per share of 20 cents, down 9%, with revenue jumping 37% to $37 million. Same-store sales are seen rising 5.3% overall, with company-owned comps up 5.5% and franchise comps up 5.3%, according to Consensus Metrix.Results: Revenue of $37.4 million. EPS came in at 25 cents. Domestic same-store sales jumped 9.5%.The company kept its full-year unit growth outlook at 10%, as well as its full-year forecast for ""low single digit"" domestic same-store sales growth. Wingstop also kept its full-year EPS outlook at around 75 cents. Analysts expect 77 cents.Stock: Shares rose 2.3% after hours on the stock market today.The stock appears to be forming the third part of an ascending base, which is a rare stock pattern can lead to powerful gains. Wingstop is also part of the IBD 50, a screen of leading growth stocks that have stellar fundamentals.Shares of KFC parent Yum Brands (YUM), which sank 7% Wednesday on weak sales, rallied 3%. Popeye's Chicken parent Restaurant Brands International (QSR) edged up 0.9%.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of Use""We are pleased to see WING's top-line momentum accelerate in 1Q ... which we credit to the new split menu, national advertising, growth in digital sales/delivery, and accelerating consumer fundamentals in favor of WING's value and convenience propositions,"" Stephens analyst Will Slabaugh said in a research note released after the company's earnings.Wingstop in February indicated that the pace of its restaurant growth this year would slow from last year's, sinking the company's shares. Analysts and management attributed the weaker forecast to the rising costs for bone-in chicken wings.During the company's earnings call in February, CEO Charlie Morrison said the chain had to contend with ""record high wing inflation."" He later added that ""any brand that deals with a nearly 700-basis-point increase in food cost year over year can expect to see franchisees start to pull back a little bit.""As with other fast-food chains, Wingstop is trying to simply its digital ordering platform and has been expanding delivery service.The company closed out last year with 23% of its orders coming from digital, among the biggest share for a publicly-traded company that isn't selling pizza, Cowen analyst Andrew Charles said in a research note last week. He also said that the company will likely be spending more on TV advertising this year.Estimates: EPS to drop 30% to 7 cents while revenue climbs 24.7% to $96 million. Same-store sales are expected to dip 0.4%, according to Consensus Metrix.Results: Total revenue rose 29.1% to $99.1 million, with same-store sales rising 1.7%. EPS was 15 cents.The better-burger also tweaked its full-year same-store sales forecast, to a range of flat to a 1% gain. That compared to an earlier outlook for  flat same-store sales. And Shake Shack raised its revenue forecast to between $446 million and $450 million, up from an earlier view for $444 million to $448 million.Stock: Shares surged 7%. McDonald's (MCD), which beat views on Monday, was unchanged after hours.Shake Shack tumbled in February after forecasting 2018 same-store sales would come in flat, below Wall Street views, despite menu price hikes of 1.5%-2% in December.The chain may also see some competition as McDonald's rolls out new types of burgers and cooks with fresh-beef patties at more locations.But Shake Shack has also been testing new menu items and recently saw success with limited-time offering of chili.YOU MIGHT BE INTERESTED IN:Taco Bell Parent Yum Brands Dives Below Key Levels On Weak Same-Store SalesYum China's Shares Fall As Q1 Pizza Hut Sales StumbleTexas Roadhouse Beats Q1 Comp Views, Sees Q2 Surge; Food Costs Pick UpMcDonald's New Value Menu Dispels Fears As Earnings, Sales Beat Views
"
7,YUM,"If you like a quick bite, you might keep in mind the fast food business is changing. Fast. McDonald's (MCD) is rapidly expanding its self-service offerings. And it is competing with Yum Brands (YUM), Chipotle Mexican Grill (CMG), Wingstop (WING) and many others to develop home delivery options.All aim to eat into what some analysts estimate to be a $180 billion takeout and delivery market.Grubhub (GRUB) has taken up a key post in that battle. At the same time, its stock has taken up a position just below a 112.51 buy point in a cup base.McDonald's said Monday it plans to expand the number of restaurants offering self-service kiosks by 1,000 per quarter for the next two years. That would place a self-service option at more than half of the burger joint's locations by the end of 2020.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseThe company has also brought aboard Uber Eats to provide delivery services for 5,000 of its restaurants.Uber Eats, Grubhub and DoorDash are the three top names rolling up restaurant deliveries through online ordering channels. All are early movers in consolidating the online delivery space. Uber Eats has the backing of its deep pockets parent. But Grubhub, the only publicly traded name among the three, has been rapidly consolidating smaller regional delivery plays since its launch in 2014.And it has some deep-pocket backing of its own. Yum Brands bought a $200 million piece of the Chicago-based company in February. Yum owns Pizza Hut, KFC and Taco Bell. Last year, Grubhub paid $288 million for Yelp's Eat24. It also acquired Groupon's OrderUp, as well as Boston-based Foodler.As with most retail and delivery markets these days, the big question resides in the shade of Amazon.com (AMZN). In September, the paradigm-crushing e-commerce giant shored up its food delivery stance with the acquisition of Olo.Grubhub shares hunkered down for five weeks following the announcement. Then they broke out on Oct. 25, and have since climbed 90%.The stock reset its base count with a deft undercut of a flat base in February. So it's current base technically counts as a first-stage structure — a positive for the stock. But shares have already run up more than 150% since an April 2017 breakout, so be cautious.An unexpected move by McDonald's or a surprise announcement from Amazon could easily send investors scrambling to lock in a profit. That means keep a close eye on the stock, know your sell signals and keep sell rules close at hand.You May Also Find Interesting:Big Restaurant Brands Dive Into Grubhub Era Of Delivery RivalryGrubhub's Stock Chart Could Spur An ArgumentGrubhub Stock Initiated At Buy For Aggressive Move Into Food DeliveryThe Latest Inside Investor's Corner
"
8,YUM,"Federated Kaufmann Small Cap Fund owes much of its success in investing in growth stocks to great team work. And this top-performing mutual fund's team is bigger than most funds' — big enough to field a baseball team.The $1.5 billion Federated Kaufmann Small Cap(FKASX) has nine portfolio managers. Each covers stocks in industries in which they have expertise. As a result, the portfolio recently has been investing in growth stocks such as Veeva Systems (VEEV), Grubhub (GRUB), Canada Goose Holdings (GOOS), RealPage (RP) and Tyler Technologies (TYL). All are market leaders with IBD EPS Ratings of 90 or higher and Relative Strength Ratings ranging from 99 to 83.This year through June 30, investing in growth stocks like these have brought gains ranging from 24% by enterprise software maker RealPage to 86% by upscale winter wear maker Canada Goose.Federated Kaufmann Small Cap Fund has another trait that stands out. The portfolio has held many of its heavy-hitting stocks since they first came to market.With its team of experts working together to find new companies that the fund can hold long-term, this top mutual fund as of Dec. 31 has beaten the S&P 500 in the past one, three, five and 10 years. That feat makes it a 2018 IBD Best Mutual Funds Award winner.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseAnd it's won the award in three categories: U.S. diversified equity funds, growth funds and small-cap funds. And that's no easy feat: Only 10.4% of eligible U.S. diversified stock funds made the Best Mutual Funds Award list.Fund lead manager Stephen DeNichilo, 42 years old, has been with federated since 2012 and has 20 years investment experience. He discussed his fund's hot streak and other aspects of the team's investment approach with IBD from his team's offices in Manhattan.Best Mutual Funds Monthly Performance ReportBeyond Q2: Stock Fund Managers' Outlook NowMoney Market Funds Back In Bond MixSee Which Stocks The Best Mutual Funds Have Been BuyingBest Mutual Funds: Six Month LeadersBest Mutual Funds: Quarterly LeadersMutual Fund Category PerformanceIBD: Nine portfolio managers guide this fund. Why so many?DeNichilo: There are two lead managers, me and John Ettinger. Each portfolio manager has buy and sell discretion. ... Each manager focuses on different sector verticals — technology, biotech, consumer, financials, software and so on. Industrials, materials and energy are my areas. Our arrangement brings buy and sell decisions closer to the research process.IBD: You've outpaced the broad market in four varying time periods. What enables the fund to outperform so consistently?DeNichilo: The consistent focus of our process. Our sole focus is to find innovative, growing companies regardless of the macro environment's noise.We at Federated have used the same philosophy on our flagship Kaufmann Fund (KAUAX) (now a $6.6 billion midcap growth portfolio) for 30 years. And members of the small-cap fund's team have been working together on average over 15 years.IBD: Why use so many portfolio managers rather than analysts?DeNichilo: When you have companies that are small and growing 15%, 20%, 30% sequentially, things are moving very fast. You need to be on top of those. Our process brings the portfolio manager closer to the research process. The closer, the better. And on top of it, we have senior managers — I am one of them — monitor the portfolio, monitor risk management. They provide a sort of check and balance.IBD: Why does your fund participate in so many initial public offerings?DeNichilo: The team analyzes virtually every IPO that comes to market. I would say, broad brush, we buy anywhere from 25% to 50% of IPOs we see, varying widely throughout the years based on the quality of deals.Each IPO is vetted by the sector PM, who often has a solid working understanding of the company and market segment before the deal comes to market.Over 50% of the fund's holdings were initially bought on IPO. That's one of the most inefficient parts of the market. And buying at IPO gives us a first-mover advantage with a stock.IBD: Why has Veeva Systems trended higher the past couple of months?DeNichilo: This is a stock we've owned since the IPO. It has a fantastic combination of experienced leadership who know what to build and how.This is a SaaS (software as a service) solutions company for the life sciences market. Sort of a Salesforce.com (CRM) for life sciences.They have a proprietary content management platform that's used for medical promotions and regulatory-clinical trials. And it enables their customers to move critical functions in regulatory submissions and manufacturing quality to the cloud. They have a knack for hiring people with deep industry knowledge, who work closely with customers to build what their most advanced customers want, and apps that can be tailored and integrated for high levels of customer success.IBD: Grubhub's earnings per share growth has sped up for three quarters. Why?DeNichilo: This is another name we bought on IPO. They're in an enormous and rapidly growing total adjustable market. They stand to benefit. They're expanding into additional cities. They're signing major restaurant chains like Yum Brands.There's some concern about competition from Uber Eats and DoorDash. But we think the market is large and growing, with room for more than one player. And Grubhub has first-mover advantage and a strong brand name.IBD: Enterprise software maker RealPage has eight straight quarters of increasing ownership by mutual funds. What's this feeding frenzy about?DeNichilo: This is another stock we bought on IPO in 2010. They are a real estate software company that helps solve huge inefficiencies in the property management vertical.They enable property managers to better manage renter life cycles and property management workflow. They are a leader in helping apartment owners manage their property, their tenants, their buildings, schedule repairs and take rental payments.They have a huge amount of recurring revenue, a nice history of hitting their numbers and they are a nice consolidator in the industry.IBD: After two quarters of declining EPS, Canada Goose posted gains of 39%, 48% and 166%. What do you like about them?DeNichilo: We think there's big growth in the consumer functional luxury space. Canada Goose is successful in their wholesale business, and is in the early stages of developing its retail business with just a handful of stores in the U.S. and Canada and Europe. And it's moving its brand beyond winter garments into an all-seasons assortment.The company limits distribution and inventory growth to maintain premium pricing and avoid discounting, which is the death knell for any retailer. Sales have grown in excess of 30% (annually). We think estimates for only 25% growth will prove conservative.IBD: Tyler Technologies is in the same IBD enterprise software group as RealPage. It provides IT management services and software for various levels of government. Why is that attractive to you?DeNichilo: They are a SaaS company for municipalities. They make government more efficient. Their software automates processes. It's used in everything from public safety to small-claims arbitration. It lets everything be done online.IBD: Government is often rapped for being slow and resisting change.DeNichilo: After the financial crisis, when municipalities found themselves in fiscal trouble, they saw the payback and return on investment for using Tyler was so large that they couldn't ignore it.IBD: What's your thesis for Novanta (NOVT), which makes photonics and motion control systems?DeNichilo: We think they are still an undercovered company on Wall Street. Management has done a fantastic job turning the company around, pivoting from cyclical to secular areas. Now they're focused on such secular growth areas as 3D printing, DNA sequencing, robotic surgery and warehouse automation.Novanta allows customers' (devices) to have precise movements down to the micron level. They've reduced their semiconductor exposure from 50% of revenue to less than 10% today. And they're focusing more on industrial automation and next-generation medical processes.IBD: What's the appeal of At Home Group (HOME)?DeNichilo: They're a value player that is taking share in retailing. They showcase a broad, inexpensive assortment of home decor in large-format stores. They were created out of the bankruptcy of the former Garden Ridge.Their productivity remains relatively low with significant opportunity for growth in same-store sales. They have plenty of real estate opportunities as other large-format stories like Sears and Kmart close.They have ability to grow 20% annually. They're not online currently, but that's a longer-term opportunity.Get instant access to more trading ideas, exclusive stock lists and IBD proprietary ratings for only $5.YOU MAY ALSO LIKE:Millennials: Tips For Reaching Goal Of Becoming A MillionaireYou Need This Much Retirement Savings At Your Age And Income
"
9,YUM,"The major indexes showed little willingness to surrender last week's fine gains as big-cap growth, semiconductor, oil-related and some defensive names flexed strength in late trading Monday.XOn the negative side, certain health care groups — namely drugstore chains, drug distribution companies, hospitals and home-based care providers — slid hard. Video-game software developers cooled off as well.The Nasdaq composite was off around 0.2% at 3 p.m. ET, following a nearly 1.5% gain last week and a 1.1% lift in the prior week. Apple (AAPL) defied the small drop, rising 0.3% to 155.80. The megacap tech is now less than 1% away from climbing back above the 156.75 buy point in an 11-week flat base. The stock, however, remains below its 50-day moving average.Apple's 78 RS Rating belies a significant rally since the stock broke out on Jan. 6-9 past a 118.12 cup-with-handle buy point. Shares have rallied as much as 39.6% since triggering that proper entry.IBD's TAKE: The cup with handle is one of the most important chart patterns that every growth investor can learn in order to master the timing of buying outstanding companies during a confirmed market uptrend. Learn more about this historically proven chart pattern and others by reading the Investor's Corner archives.The S&P 500 was off nearly 0.2%, and the Dow Jones industrials shed less than 0.1%. Volume is running sharply lower vs. the same time Friday.The Nasdaq 100-tracking PowerShares QQQ Trust (QQQ) ETF was practically at break-even. At 147.60, the index ETF is up 37% since IBD's The Big Picture column noted a rare Day 3 follow-through on June 30, 2016.Priceline (PCLN) helped push the travel booking group into the top 10 winners of the day, rising 0.9% and moving further above the 50-day moving average. Shares are forming a shallow base since hitting a peak at 2,067.99.The current base by the top online travel booking firm is now more than eight weeks long and features a 14.2% decline, or within the maximum 15% correction allowed for a flat base. On Aug. 9, shares gapped down in massive volume after Priceline, which also owns popular digital properties including TripAdvisor and OpenTable, reported Q2 results.Priceline is expected to post mild double-digit profit growth this year (up 11% to $74.79 a share) and in 2018 (up 15% to $86.31 a share). The megacap leisure-sector play has a market cap of $94 billion and a very respectable EPS Rating of 90, as seen in IBD Stock Checkup.Watch to see if Priceline can 1) hold above its 50-day moving average, and 2) improve its 80 Composite Rating, on a scale of 1 to 99.One negative in Priceline's current base: It has yet to show an up week in above-average volume. However, the week ended Sept. 1 featured a 3.2% gain in higher weekly turnover, and the stock earns a B- Accumulation/Distribution Rating on a scale of A to E. A grade of C+ or better indicates net institutional buying over the past 13 weeks.Elsewhere in the market today, Yum China (YUMC) held on to  strong gains as it broke out of a second-stage cup-like base at 42.22. The stock gapped up at the open and rushed more than 5% higher to 43 in volume running more than 90% above its 50-day average.As reported by IBD on Thursday, the China-focused chain that was spun off by Yum Brands (YUM), owner of the KFC, Taco Bell and Pizza Hut fast food outlets, reported a solid 6% increase in same-store sales in Q3. Total sales picked up 8% to $2.04 billion, the best year-over-year gain in five quarters.Earnings rose 8% to 52 cents a share, according to data from William O'Neil + Co., and are seen accelerating to a 12% increase in Q4 to 19 cents a share.One headwind for Yum China is mediocre performance by the Retail-Restaurants group. It's ranked within the bottom half of IBD's daily rankings of 197 industry groups and subgroups for six-month relative price performance. Prefer those stocks that are in groups within the top 40 or are sharply rising up the ranks.RELATED:Apple Seen Benefiting From Trump Tax Plan, Boosting SharesTrading In ETFs: The Latest IBD CoverageWhich Stocks May Become Market Leaders? Check Stocks On The MoveHow To Find Breakouts: See Stocks Near A Buy Zone
"
