,ticker,content
0,ZTS,"Zoetis (ZTS) plunged to a three-month low Wednesday after it topped Wall Street's first-quarter expectations, but noted competition hurt some products in the U.S. and 2018 profit guidance lagged by a penny.In early trading on the stock market today, Zoetis shares gapped down 4.2%, crashing through its 50-day moving average to 79.90, after earlier falling as much as 7.7%. At the same time, drug stocks collectively lost more than 1%.For the quarter, Zoetis reported adjusted income of 75 cents per share, rising 41.5% and ahead of views from analysts polled by Zacks Investment Research by a nickel. Sales of $1.37 billion grew 11% and beat analyst views for $1.34 billion.U.S. revenue was $634 million, up 5%. Sales of products for pets rose 6%, driven by growth in dermatology and new products. But ""this growth was partially offset by lower sales of certain in-line products due to expected competition,"" Zoetis said in a news release.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseSales of livestock products in the U.S. advanced 4%, led by cattle and poultry, as well as a return to growth in the swine business. But unfavorable conditions in dairy persisted, ""including declining producer profitability due to low milk prices.""Internationally, sales grew 18% to $726 million. Sales of pet products grew 28%, helped by dermatology, an oral parasiticide and vaccines in China. Livestock product sales advanced 14% on strong demand in poultry and cattle.Across the globe, livestock products accounted for $770 million in sales, up 10%, and pet products grew 14% to $590 million. But contract manufacturing plummeted 45% to $6 million.For the year, Zoetis guided to adjusted profit of $2.96-$3.10 per share and $5.675 billion to $5.8 billion in sales. The midpoint of adjusted profit missed the consensus by a penny. But the midpoint of sales guidance narrowly beat analysts' view for $5.71 billion in sales.RELATED:How To Build Long-Term Profits In Stocks? Take Many Gains At 20%-25%Looking For The Next Nvidia? Start With This Simple RoutineWhat Is Inflation, And Why Does It Matter To The Fed — And You?
"
1,ZTS,"Pharmaceutical company Zoetis (ZTS) plans to acquire Abaxis (ABAX) for nearly $2 billion — propelling Abaxis stock to break out in morning trades Wednesday.The deal values Abaxis at $83 a share in cash. Abaxis makes chemical analyzers used in human and veterinary patients. Zoetis, a pharmaceutical company, makes drugs for use in animal health. The acquisition is expected to close by the end of the year.Raymond James analyst John Ransom called the price tag rich. It represents a 15.7% premium to Abaxis stock's prior closing price and only a 5.7% premium to the high seen in January. For Abaxis shareholders, the price is reasonable. But the firm is unlikely to get another bid, he said in a note.""We view this price as somewhat rich relative to an asset that had not performed exceedingly well of late, with core chemistry growth somewhat of a question in the mind of investors,"" he said.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseBut investors rewarded Abaxis stock. On the stock market today, Abaxis shares popped 16.2% to close at 83.34. It had been consolidating with a buy point at 78.63 and was among stocks near a buy zone on Tuesday. Zoetis shares dipped a fraction to 82.85.Zoetis sees the deal as boosting its animal diagnostics exposure. The firm estimates that market is valued at north of $3 billion, with a compound annual growth rate of 10% over the past three years. Zoetis expects that segment to continue outgrowing the overall animal health market.""Together, we can bring more veterinarian customers a broader range of products that fit into our comprehensive solutions and innovations, from prediction and early detection of disease in animals to prevention and treatment,"" Zoetis Chief Executive Juan Alaix said in a written statement.Raymond James' Ransom says the deal makes sense for Zoetis, which is already in 45 countries. This will save Abaxis time and expenses of slowing building out its global infrastructure. Recently, Abaxis expanded in Europe, Latin America and Asia-Pacific.Zoetis is ""a logical (and very interested) buyer,"" Ransom said. In 2016, it bought Scandinavian Micro Biodevices for $80 million to expand its pipeline in veterinary diagnostics. The smaller firm made ""lab on a chip"" diagnostics.The acquisitions of Scandinavian Micro Biodevices and Abaxis suggest Zoetis has ""a desire to more meaningfully enter the field beyond the existing rapid assay product line,"" he said.Abaxis Chief Executive Clint Severson sees ""a prime opportunity to grow our business as part of Zoetis."" In the fiscal year ended March 31, Abaxis generated $244.7 million in sales, up 8% vs. last year. That year, about 83% of its sales were from diagnostics and services in the veterinary market.""Zoetis has the global presence and direct veterinary customer relationships to deliver greater value to more customers around the world and accelerate growth of our international operations,"" Severson said in a prepared statement.RELATED:How Much Money Do You Need To Start Investing?Long-Term Retirement Investing Strategies With ETFsLooking For The Best Stocks To Buy And Watch? Start Here
"
2,ZTS,"In a welcome move, AstraZeneca (AZN) saw its Relative Strength Rating improve from 67 to 71 on Thursday. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.This exclusive rating from Investor's Business Daily identifies market leadership with a 1 (worst) to 99 (best) score. The rating shows how a stock's price movement over the last 52 weeks holds up against all the other stocks in our database. Over 100 years of market history shows that the stocks that go on to make the biggest gains typically have an RS Rating of at least 80 as they begin their biggest price moves. See if AstraZeneca can continue to rebound and hit that benchmark. See How IBD Helps You Make More Money In StocksAstraZeneca broke out earlier, but is now trading approximately 4% below the prior 36.80 entry from a cup without handle. In the scenario where a stock breaks out then falls 7% or more below the entry price, it's considered a failed breakout. If that happens, it's best to wait for a new pattern to form. Also keep in mind that the most recent consolidation is a later-stage base, which makes it riskier to establish a new position or add shares to an existing one. Earnings growth picked up last quarter from -15% to 7%. But sales fell from 9% to 3%. Look for the next report on or around Apr. 27.The company earns the No. 11 rank among its peers in the Medical-Ethical Drugs industry group. Zoetis (ZTS), Jazz Pharmaceuticals (JAZZ) and Shire (SHPG) are among the top 5 highly rated stocks within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Biotech And Pharmaceutical Industry And Stock NewsIBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
3,ZTS,"The Relative Strength (RS) Rating for Shire (SHPG) jumped into a new percentile Wednesday, as it got a lift from 64 to 73. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.IBD's unique rating identifies market leadership with a 1 (worst) to 99 (best) score. The grade shows how a stock's price performance over the last 52 weeks compares to all the other stocks in our database. Over 100 years of market history shows that the stocks that go on to make the biggest gains tend to have an RS Rating north of 80 as they begin their biggest price moves. See if Shire can continue to show renewed price strength and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HereShire is trying to complete a cup without handle with a 192.25 buy point. See if the stock can clear the breakout price in volume at least 40% above average. While EPS growth decreased in the prior quarter from 20% to 18%, revenue rose 9%, up from 7% in the prior report. The next quarterly numbers are expected on or around May 2.The company holds the No. 3 rank among its peers in the Medical-Ethical Drugs industry group. Zoetis (ZTS) is the top-ranked stock within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Biotech And Pharmaceutical Industry And Stock NewsIBD Stock Rating Upgrades: Rising Relative StrengthWhy Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
4,ZTS,"On Friday, Zoetis (ZTS) got an upgrade for its IBD SmartSelect Composite Rating from 91 to 97. X The revised score means the stock currently tops 97% of all other stocks in terms of key performance metrics and technical strength. Winning stocks often have a 95 or higher grade in the early stages of a new price run. Zoetis is currently extended beyond a proper buy zone after breaking out from a 63.95 buy point in a flat base. See How IBD Helps You Make More Money In StocksThe stock earns a 96 EPS Rating, which means its recent quarterly and longer-term annual earnings growth tops 96% of all stocks. Its Accumulation/Distribution Rating of A- shows heavy buying by institutional investors over the last 13 weeks. In Q4, the company posted 47% earnings growth. It has now posted accelerating EPS growth for two consecutive quarters. Top line growth climbed 14%, up from 9% in the prior report. The company has now posted rising growth in each of the last two reports. Zoetis earns the No. 2 rank among its peers in the Medical-Ethical Drugs industry group. AbbVie (ABBV) is the No. 1-ranked stock within the group.RELATED:Which Companies Are Now Outperforming 95% Of All Stocks?
"
5,ZTS,"Paycom Software (PAYC) gets plastered by sellers after posting Q1 results late Tuesday, down as much as 10%. Former IBD 50 name Zoetis (ZTS) is slammed more than 7% after its Thursday report.And just a few weeks earlier, Micron Technology (MU) is sent packing to the showers, batted down nearly 20% in the span of 10 trading sessions. Why? March 22. Good fiscal Q2 numbers.Sense a pattern here?The months of January, April, July and October never fail to remind investors how stocks can soar or plunge on quarterly results. This peculiar pattern, in a way, presents a challenge to all U.S. stock investors. Have you been trading stocks the IBD way for a few months or for a few decades? All it takes is just a few quarterly results among high-powered growth stocks to know the risks of holding a big position right before the news.Earnings results are Wall Street's version of the double-edged sword.You're a smart trader. Your goal: maximize the profits in big winners and minimize losses in weaker plays. So, consider these four suggestions that can help you navigate choppy waters. They likely carry more weight now as IBD's current outlook stands at ""uptrend under pressure.""Tip 1: Study the stock's long-term character. Let's revisit Paycom. The HR management software firm and Leaderboard name cleared a base Feb. 9, 2017, a day after posting exceptional results (EPS up 80% in Q4 2016, revenue up 35%). But a pair of key follow-on buy points came in between quarterly results. The first and second pullbacks to the 10-week moving average came during the weeks ended March 31 and June 16 the same year.However, Abiomed (ABMD) has acted differently. The heart-pump firm broke out of a long cup with handle at 126.49 during the week ended April 28, 2017, a week before it shared fiscal Q4 results.A more recent breakout past a five-week flat base at 200.48 took place on Jan. 5 this year, three weeks before the next quarterly report.Tip 2: Count, count, count. That is, check the number of bases that stocks in your portfolio have created. Has your stock built a third, fourth or fifth base? Chances of a severe post-earnings slide go up. (Readers can use the pattern recognition service on MarketSmith to save time in counting bases.)A stock must rise at least 20% from a correct entry point in a primary base or the top of a base on base before it can form the next-stage base.If your stock is in an earnings turnaround and you scooped shares on an early-stage breakout, you likely may see more strong quarterly results ahead that can keep the rally humming. Apple (AAPL) is not an IBD 50 play, but it still serves as perhaps one of the finest examples in 2017. Through the March quarter, the iPhone giant has now strung together five straight quarters of double-digit profit growth. That's not easy for a firm that logged $229 billion in revenue in fiscal 2017.Tip 3: Pocket your gains on the way up. Have you heard of the expression, ""betting with house money""? It means you've sold part of your position in a winning stock and no one can take those profits away. But you keep some shares to participate in further upside. A great earnings report can carry a market leader further. But it's smart portfolio strategy to at least snatch partial gains when your stock rises 20% to 25% past the most recent breakout point. Want to aim for 30%, 40% profits? Sure. But never forget that most pigs get slaughtered.Tip 4: Check the Accumulation/Distribution Rating. Has this proprietary measure, found in Stock Checkup and in IBD's stock research tables, weakened in recent weeks? If so, perhaps institutions have been dumping more shares than usual. Why? They may lack confidence about the upcoming three-month results or next quarter's outlook. This rating studies price-and-volume interaction over the past 13 weeks.Trade the IBD 50 in one click with the Innovator IBD 50 (FFTY) ETF, managed by Innovator Funds. Also, follow Saito-Chung on Twitter at @IBD_DChung for more insights and analysis on growth stocks, buy and sell rules, charts and financial markets.RELATED:Inside IBD 50: The Lesson In 2018 So Far? Protect Your ProfitsThe Best Large Cap Stocks Today? A Peek Inside Big Cap 20When The Market Turns, Always Do This FirstAre Apple And The Stock Market ""A Random Walk?"" Nope, Here's Why
"
6,ZTS,"On Monday, Shire (SHPG) earned a positive adjustment to its Relative Strength (RS) Rating, from 67 to 73. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.IBD's unique rating identifies price movement with a 1 (worst) to 99 (best) score. The grade shows how a stock's price performance over the trailing 52 weeks compares to all the other stocks in our database. Decades of market research reveals that the best stocks tend to have an RS Rating of above 80 in the early stages of their moves. See if Shire can continue to rebound and hit that benchmark. Looking For The Best Stocks To Buy And Watch? Start HereShire is working on a cup without handle with a 192.25 entry. See if the stock can break out in heavy trading. While EPS growth declined last quarter from 20% to 18%, sales grew 9%, up from 7% in the previous report. The next quarterly numbers are expected on or around May 2.The company earns the No. 3 rank among its peers in the Medical-Ethical Drugs industry group. Zoetis (ZTS) is the top-ranked stock within the group.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseYOU MAY ALSO LIKE:Biotech And Pharmaceutical Industry And Stock NewsWhich Stocks Are Showing Improved Price Performance?Why Should You Use IBD's Relative Strength Rating?How Relative Strength Line Can Help You Judge A Stock
"
7,ZTS,"The Dow Jones industrial average and S&P 500 index rebounded from key support levels but ended slightly lower. The Nasdaq composite, fueled by Apple (AAPL), rallied. Tesla (TSLA) skidded on cash burn and Elon Musk's strange conference call. Mastercard (MA) hit a buy zone, as new payment stocks struggled. Alibaba (BABA) pulled back despite strong earnings. Sprint (S) merging with T-Mobile (TMUS) headlined several big M&A deals. The jobs report and a ""symmetric"" Fed stance eased rate-hike fears. Crude oil prices hit record highs as shale operators beat earnings views.The Dow Jones and S&P 500 undercut 200-day moving averages, but rebounded by Friday to finish the week down 0.2%. The Nasdaq composite rallied 1.3% to retake its 50-day line. Apple (AAPL), fueled by earnings, a buyback and Warren Buffett buying more shares, soared 13% to drive the major averages higher. Tesla (TSLA) fell while Alibaba (BABA) rallied and Mastercard (MA) entered a buy zone. Treasury yields pulled back, with the yield spread narrowing slightly. Crude oil rose to nearly $70 a barrel as shale earnings were strong. Apparel stocks were losers.Consumer electronics giant Apple (AAPL) earned $2.73 a share, up 30% year over year, on sales of $61.1 billion, up 16%, in its fiscal second quarter. That was the best EPS gain in years and the latest in a string of accelerating revenue growth reports. Both topped forecasts. Apple sold 52.2 million iPhones, just missing consensus. But services revenue and wearables sales were strong. Apple also announced plans for a $100 billion buyback and big dividend hike. Warren Buffett disclosed that Berkshire Hathaway (BRKB) bought another 75 million Apple shares in the first three months of 2018, bringing its total stake to nearly 5%.Apple stock surged 13.25%, its best weekly gain in six years, hitting a record high and blasting into a buy zone.Get these newsletters delivered to your inbox & more info about our products & services. Privacy Policy & Terms of UseTesla reported a smaller-than-expected loss and above-forecast revenue, but the electric car maker's Model 3 production remains low and the company burned $1 billion cash in Q1. In the post-earnings conference call, CEO Elon Musk cut off Wall Street analysts for ""boring"" questions and spent the next 20 minutes taking questions from a blogger via YouTube. Shares fell sharply Thursday, but closed the week up 1 cent.Alibaba reported better-than-expected quarterly earnings as core e-commerce revenue swelled 62% to $8.2 billion. Cloud revenue more than doubled to $699 million. Alibaba ended the quarter with 617 million monthly active users on mobile devices. Alibaba also gave a bullish outlook. Shares rose 3.5% Friday.The jobless rate slid to 3.9% in April, the lowest since 2000, as the economy added 164,000 jobs, the Labor Department reported Friday. Meanwhile, average hourly wage growth rose just 2.6% from a year ago, a little below views. The Fed's favored gauge of core inflation climbed to 1.9%, but policymakers sent the message they won't panic if it tops 2% in coming months. The Fed stressed Wednesday that its 2% inflation target is ""symmetric.""Qualys (QLYS), FireEye (FEYE) and Fortinet (FTNT) all topped earnings and revenue views, but shares retreated. CyberArk Software (CYBR) rallied on strong Q1 results and a Q2 outlook that guided slightly higher. Meanwhile Carbon Black (CBLK) jumped 26% in Friday's debut after its IPO priced late Thursday at 19, at the high end of its recently raised 17-19 range.Zendesk (ZEN) popped after Q1 results and Q2 guidance showed the customer-support and sales automation software company is building momentum against rival Salesforce.com (CRM) for larger contracts. Paycom (PAYC) reported strong earnings and sales growth, but forecast in-line June-quarter results, sending the HR and payroll processing software maker lower. Fellow payroll and HR cloud software firm Paylocity (PCTY) broke out Friday on its results. E-commerce software firm Shopify (SHOP) topped Q1 views but the size of the sales beat and updated guidance left some investors unimpressed. Shopify initially fell but rebounded for a strong gain. Ultimate Software (ULTI) reported adjusted EPS of $1.30, topping estimates of $1.13, with revenue growing 21% to $277 million, also beating. Shares rallied Wednesday, but closed below a buy point.McDonald's (MCD) surged after scoring a double beat, with EPS rising 22% to $1.79 and revenue falling 9% to $5.14 billion. Shake Shack (SHAK) skyrocketed Friday after it crushed on earnings and beat on revenue. Wingstop (WING) also jumped Friday on its results. Taco Bell parent Yum Brands' (YUM) earnings topped, but shares skidded on weak same-store sales. Yum China (YUMC) tumbled as weak Pizza Hut results in China offset overall strong earnings. Texas Roadhouse (TXRH) slipped after it came in about par with EPS of 76 cents on revenue of $627.7 million.Viper Energy Partners (VNOM), Anadarko Petroleum (APC), Concho Resources (CXO), Noble Energy (NBL), Matador Resources (MTDR), Continental Resources (CLR), Parsley Energy (PE), EOG Resources (EOG) and Pioneer Natural Resources (PXD) topped quarterly Q1 estimates. Integrated energy firm Marathon Oil (MRO) cleared a buy point following its earnings. Oil prices hit fresh multiyear highs. U.S. inventories and production increased but odds are rising that President Trump will withdraw from the Iran nuclear pact.Sprint (S) and T-Mobile US (TMUS) finally agreed on a merger, but shares fell on the lack of a price premium and fears that antitrust regulators will reject the deal. Meanwhile Marathon Petroleum (MPC) agreed to buy Andeavor (ANDV) and create the largest U.S.-based refiner. Additionally, Walmart (WMT) said its U.K. chain Asda will merge with Sainsbury's. Walmart reportedly is near a $15 billion deal to buy 75% of India's e-commerce giant Flipkart. Prologis (PLD) will buy DCT Industrial (DCT). Finally Marriott Vacations (VAC) revealed it will buy ILG (ILG).At its annual developers conference Facebook (FB) said it was entering the online dating business. More than 200 million people on Facebook identify themselves as single. Match Group (MTCH), which owns Match.com and dating app Tinder, plunged on the announcement. Facebook also introduced Oculus Go, a stand-alone VR headset announced in October, for $200.Arista Networks (ANET) late Thursday reported a 78% EPS gain while revenue swelled 41% to $472.5 million, both beating. The Cisco rival sees Q2 revenue in line with views, sending shares tumbling 8.5% Friday. Turnaround project Juniper Networks (JNPR) late Tuesday reported a 39% Q1 EPS decline that wasn't as bad as expected. Sales of network gear to cloud computing customers rebounded. Juniper forecast Q2 profit slightly above views. Shares popped but pared gains.Allergan (AGN), Zoetis (ZTS), Teva (TEVA) and Exelixis (EXEL) all topped quarterly expectations. But Allergan sank on a report it's unlikely to make a transformative deal and Zoetis fell on 2018 adjusted profit guidance that missed by a penny. Dow Jones' components Merck (MRK) and Pfizer (PFE) beat on profit, lagged on sales. Gilead (GILD) missed on sales and adjusted earnings as hepatitis C drugs fell 59% vs. last year. Regeneron (REGN) profit beat while revenue missed, though eye drug Eylea topped views. Celgene (CELG) toppled on an analyst suggestion that a key drug could be delayed by one to three years. But on Friday Celgene said it would refile the application in Q1 2019 for that drug, ozanimod, as a multiple sclerosis treatment. Celgene also topped first-quarter expectations and raised full-year guidance. Sarepta (SRPT) sales missed some views, though losses were better than expected.Mastercard (MA) shares jumped after the credit-card giant reported earnings that beat estimates, joining Visa (V) in a buy range. While Square (SQ) sales also topped, with Bitcoin making up 5% of them, the payments technology firm's current-quarter profit outlook came up short. FleetCor (FLT), which provides prepaid fuel cards for vehicle fleets and other payment products, sank on a low 2018 outlook. PayPal (PYPL) tumbled as Amazon (AMZN) reportedly offered merchants discounts to use its own payment service.The controversy over Kanye West's comments about slavery have tangled up Adidas (ADDYY), after the CEO of the No. 2 sportswear company distanced himself but would not cut ties with the rapper. West's Yeezy brand is not a significant part of Adidas revenue but contributes to the brand's style image. Shares tumbled below a buy point despite Adidas logging 10% currency-neutral revenue growth, including a solid 21% in North America. Meanwhile, Under Armour (UAA) topped estimates but gave a weak outlook as Susquehanna said inventories are a ""ticking time bomb."" Coach and Kate Spade parent Tapestry (TPR) topped Q3 consensus. But shares plunged as the upscale purse and accessories maker's raised guidance was still largely below consensus. North Face and Vans parent VF Corp. (VFC) beat views but shares retreated Friday.Snapchat operator Snap (SNAP) crashed to a record low after missing first-quarter views on revenue, user growth and several other key metrics.Grubhub (GRUB) topped first-quarter earnings estimates, but food sales missed targets. Shares fell sharply, but pared losses by Friday.World Wrestling Entertainment (WWE) spiked after WWE body slammed Q1 earnings estimates and continued to attract subscribers, with EPS rising 125% to 18 cents. However revenue of $187.7 million was a miss.Disk drive maker Seagate Technology (STX) reported quarterly earnings that beat estimates but the stock fell on cautious comments about tariffs.Ferrari (RACE) zoomed into a buy zone after a double beat, with EPS rising to 96 cents as revenue climbed to $1.02 billion.Tableau (DATA) reported Q1 sales and earnings above expectations and license revenue was ahead of consensus. The company lowered full-year margin guidance. But the Big Data firm's stock jumped.
"
8,ZTS,"Keeping your watch list up to date is key to making money in the stock market. IBD helps you do that by regularly updating stock screens like the IBD 50, Sector Leaders, IBD Big Cap 20 and IPO Leaders. In the tables below, you can see which stocks have just been added to or removed from these lists. [ibd-display-video id=2368044…
"
9,ZTS,"From A to Z — Adobe Systems (ADBE) to Zoetis (ZTS) — $17.8 billion MFS Growth Fund (MFEGX) has the sort of leading stocks that lift the portfolio into the ranks of top mutual funds.Additional top stocks like Netflix (NFLX), Lululemon Athletica (LULU) and Amazon.com (AMZN) are also big reasons why the fund is in a groove, outperforming the broad market as well as its large-cap growth peers tracked by Morningstar Inc. over short, intermediate and long periods, ranging from year-to-date to one, three, five and 10 years.So far this year, going into Wednesday, the fund was up 8.22% vs. 5.27% for its direct rivals and 1.79% for the big-cap bogey. Netflix was up 75% this year. Adobe advanced 32%. Amazon was up 29%. Lululemon had gained 20%, while Zoetis climbed 19%. Netflix, Lululemon and Amazon happen to be members of Leaderboard — IBD's premium service that spotlights play-by-play moves of top stocks.IBD'S TAKE: Netflix, for one, is a former stock on IBD's SwingTrader, an exclusive IBD feature that helps you take advantage of short-term trends by applying the rules of IBD's CAN SLIM Investing System in a swing-trading environment. Details on past trades are accessible to SwingTrade subscribers and trialists. Free trials are available.Paul Gordon, who manages the fund along with Eric Fischman and Matthew Sabel, says the fund uses a classic investment strategy. ""The underlying philosophy is that over time stocks follow earnings and cash,"" he said. ""We look for companies that grow earnings and cash flow above market-average rates across economic cycles. We look for companies with strong competitive positions in growing industries that have pricing power, good management teams and quality characteristics such as recurring revenue, low capital intensity and attractive balance sheets.""And the fund is patient. ""We have a long investment time horizon, which you see in our low (annual) turnover,"" he said.The fund has not changed its approach during the recent market volatility. But the fund added to some names on price dips. ""Volatility in the market sometimes provides an opportunity to collectively add to secular growth companies that we like,"" Gordon said.Netflix's earnings per share grew at a triple-digit pace in four of the past six quarters.As IBD reported Tuesday, Netflix stock gapped up that morning after it crushed expectations for new subscriber growth in the first quarter and guided higher than views for the current quarter.The streaming service's push into original programming is a key strategy.""Netflix has about 120 million subscribers around the world,"" Gordon said. ""They've had success ramping up subscribers. The real excitement (generated by their) January (earnings) call was the lack of (departures by customers) following their price increases, which proves the market's confidence in their long-term pricing power.""Lululemon's share price has uptrended for nearly a year, reversing an approximately yearlong downtrend. ""The issue that Lululemon faced was that it grew very rapidly for a number of years,"" Gordon said. ""They took several years to reinvest in the company, which hurt profitability. Now they seem to be coming out the other side.""Gordon added, ""As revenues continue to increase and costs increase at a slower pace, it benefits their earnings growth.""The fund trimmed modestly in recent disclosures. Gordon describes the trims as ""just selectively trimming some into (share price) strength.""Amazon, Gordon says, is firing on all cylinders. ""Its e-commerce business continues to take significant incremental share of every retail dollar that's spent,"" he said.He calls Amazon Web Services the No. 1 player in its space. ""To drive down costs to customers and invest in new services, a web services provider needs scale,"" he added. ""Amazon has that scale."" Also, it continues to post significant revenue growth, he says.The segment of Amazon's e-commerce business that involves third parties selling through Amazon — its so-called 3P business — has higher-margin growth than its 1P business, sales of inventory owned by Amazon itself, Gordon says.Adobe's share price barely slipped during the recent market volatility. Adobe owes its resilience to its leadership status and to its switch to subscription revenue from sales of packaged software. ""Adobe has very strong competitive positions in growing markets,"" Gordon said. ""And it continues to experience the benefits of moving to a subscription-based business model.""The MFS team likes both faces of Zoetis' business. Its farm-animal medicine business is steady because farmers can't afford to lose livestock. Its pet-medicine business thrives on sentimentality. ""The company calls it the humanization of pets,"" Gordon said. ""In the 1950s your dog slept in a doghouse. Now the dog sleeps on the bed with you.""Gordon added, ""Zoetis is the largest competitor in animal health, an industry growing in the mid-single digits with fewer risks than human health, given that there is no third-party payer risk.""YOU MAY ALSO LIKE:You Need This Much Retirement Savings At Your Age And IncomeRetirement Savings: More Americans Than Ever Have $1 Million Or More
"
